,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIRBA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GNAGNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2020,,,2021,,,2022,,,2023,,,2024,,,2025,,,2026,,,2027,,,2028,,,2029,,,2030,,,2031,,,2032,,,2033,,,2034,,,2035,,
, Ages,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,
,,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble
,0,  15 686   ,  15 117   ,  30 803   ,  15 807   ,  15 230   ,  31 037   ,  15 975   ,  15 402   ,  31 377   ,  16 121   ,  15 554   ,  31 675   ,  16 249   ,  15 687   ,  31 936   ,  16 371   ,  15 813   ,  32 184   ,  16 482   ,  15 924   ,  32 406   ,  16 589   ,  16 035   ,  32 624   ,  17 079   ,  16 522   ,  33 601   ,  17 188   ,  16 632   ,  33 820   ,  17 314   ,  16 761   ,  34 075   ,  17 604   ,  17 048   ,  34 652   ,  17 907   ,  17 344   ,  35 251   ,  18 212   ,  17 644   ,  35 856   ,  18 513   ,  17 938   ,  36 451   ,  18 800   ,  18 215   ,  37 015   
,1,  15 314   ,  14 817   ,  30 131   ,  15 296   ,  14 768   ,  30 064   ,  15 426   ,  14 891   ,  30 317   ,  15 603   ,  15 067   ,  30 670   ,  15 756   ,  15 222   ,  30 978   ,  15 893   ,  15 359   ,  31 252   ,  16 010   ,  15 474   ,  31 484   ,  16 131   ,  15 593   ,  31 724   ,  16 629   ,  16 086   ,  32 715   ,  16 760   ,  16 215   ,  32 975   ,  16 903   ,  16 357   ,  33 260   ,  17 016   ,  16 471   ,  33 487   ,  17 311   ,  16 760   ,  34 071   ,  17 616   ,  17 061   ,  34 677   ,  17 926   ,  17 363   ,  35 289   ,  18 231   ,  17 660   ,  35 891   
,2,  14 794   ,  14 399   ,  29 193   ,  15 120   ,  14 651   ,  29 771   ,  15 108   ,  14 609   ,  29 717   ,  15 243   ,  14 734   ,  29 977   ,  15 422   ,  14 913   ,  30 335   ,  15 578   ,  15 068   ,  30 646   ,  15 706   ,  15 194   ,  30 900   ,  15 827   ,  15 315   ,  31 142   ,  16 326   ,  15 806   ,  32 132   ,  16 466   ,  15 946   ,  32 412   ,  16 626   ,  16 102   ,  32 728   ,  16 752   ,  16 228   ,  32 980   ,  16 869   ,  16 344   ,  33 213   ,  17 165   ,  16 636   ,  33 801   ,  17 472   ,  16 937   ,  34 409   ,  17 782   ,  17 240   ,  35 022   
,3,  14 157   ,  13 866   ,  28 023   ,  14 574   ,  14 193   ,  28 767   ,  14 897   ,  14 445   ,  29 342   ,  14 890   ,  14 406   ,  29 296   ,  15 024   ,  14 530   ,  29 554   ,  15 203   ,  14 704   ,  29 907   ,  15 347   ,  14 846   ,  30 193   ,  15 477   ,  14 973   ,  30 450   ,  15 969   ,  15 462   ,  31 431   ,  16 112   ,  15 601   ,  31 713   ,  16 279   ,  15 764   ,  32 043   ,  16 417   ,  15 902   ,  32 319   ,  16 545   ,  16 028   ,  32 573   ,  16 662   ,  16 144   ,  32 806   ,  16 956   ,  16 432   ,  33 388   ,  17 262   ,  16 729   ,  33 991   
,4,  13 549   ,  13 337   ,  26 886   ,  13 981   ,  13 683   ,  27 664   ,  14 395   ,  14 008   ,  28 403   ,  14 717   ,  14 259   ,  28 976   ,  14 712   ,  14 220   ,  28 932   ,  14 847   ,  14 343   ,  29 190   ,  15 013   ,  14 505   ,  29 518   ,  15 159   ,  14 647   ,  29 806   ,  15 654   ,  15 136   ,  30 790   ,  15 796   ,  15 275   ,  31 071   ,  15 965   ,  15 441   ,  31 406   ,  16 112   ,  15 584   ,  31 696   ,  16 252   ,  15 722   ,  31 974   ,  16 379   ,  15 845   ,  32 224   ,  16 496   ,  15 961   ,  32 457   ,  16 790   ,  16 247   ,  33 037   
,5,  12 845   ,  12 704   ,  25 549   ,  13 396   ,  13 193   ,  26 589   ,  13 825   ,  13 539   ,  27 364   ,  14 237   ,  13 862   ,  28 099   ,  14 558   ,  14 110   ,  28 668   ,  14 554   ,  14 072   ,  28 626   ,  14 677   ,  14 180   ,  28 857   ,  14 845   ,  14 342   ,  29 187   ,  15 352   ,  14 844   ,  30 196   ,  15 499   ,  14 988   ,  30 487   ,  15 668   ,  15 151   ,  30 819   ,  15 816   ,  15 296   ,  31 112   ,  15 963   ,  15 440   ,  31 403   ,  16 103   ,  15 576   ,  31 679   ,  16 231   ,  15 699   ,  31 930   ,  16 348   ,  15 812   ,  32 160   
,6,  12 237   ,  12 122   ,  24 359   ,  12 758   ,  12 621   ,  25 379   ,  13 307   ,  13 111   ,  26 418   ,  13 736   ,  13 455   ,  27 191   ,  14 147   ,  13 776   ,  27 923   ,  14 468   ,  14 022   ,  28 490   ,  14 453   ,  13 970   ,  28 423   ,  14 578   ,  14 080   ,  28 658   ,  15 102   ,  14 595   ,  29 697   ,  15 267   ,  14 757   ,  30 024   ,  15 439   ,  14 924   ,  30 363   ,  15 587   ,  15 069   ,  30 656   ,  15 736   ,  15 214   ,  30 950   ,  15 883   ,  15 357   ,  31 240   ,  16 025   ,  15 491   ,  31 516   ,  16 152   ,  15 613   ,  31 765   
,7,  11 800   ,  11 670   ,  23 470   ,  12 160   ,  12 056   ,  24 216   ,  12 680   ,  12 555   ,  25 235   ,  13 228   ,  13 042   ,  26 270   ,  13 654   ,  13 386   ,  27 040   ,  14 064   ,  13 703   ,  27 767   ,  14 372   ,  13 935   ,  28 307   ,  14 360   ,  13 887   ,  28 247   ,  14 836   ,  14 344   ,  29 180   ,  15 022   ,  14 525   ,  29 547   ,  15 210   ,  14 708   ,  29 918   ,  15 365   ,  14 858   ,  30 223   ,  15 512   ,  15 001   ,  30 513   ,  15 662   ,  15 145   ,  30 807   ,  15 809   ,  15 286   ,  31 095   ,  15 949   ,  15 419   ,  31 368   
