,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOUM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DJELGODJI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2020,,,2021,,,2022,,,2023,,,2024,,,2025,,,2026,,,2027,,,2028,,,2029,,,2030,,,2031,,,2032,,,2033,,,2034,,,2035,,
, Ages,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,
,,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble
,0,  3 699   ,  3 379   ,  7 078   ,  3 694   ,  3 368   ,  7 062   ,  3 700   ,  3 373   ,  7 073   ,  3 701   ,  3 374   ,  7 075   ,  3 697   ,  3 372   ,  7 069   ,  3 693   ,  3 368   ,  7 061   ,  3 686   ,  3 363   ,  7 049   ,  3 678   ,  3 359   ,  7 037   ,  4 719   ,  4 306   ,  9 025   ,  4 740   ,  4 327   ,  9 067   ,  4 717   ,  4 308   ,  9 025   ,  4 759   ,  4 353   ,  9 112   ,  4 804   ,  4 400   ,  9 204   ,  4 849   ,  4 447   ,  9 296   ,  4 891   ,  4 492   ,  9 383   ,  4 930   ,  4 532   ,  9 462   
,1,  3 809   ,  3 481   ,  7 290   ,  3 770   ,  3 433   ,  7 203   ,  3 767   ,  3 426   ,  7 193   ,  3 775   ,  3 432   ,  7 207   ,  3 778   ,  3 435   ,  7 213   ,  3 777   ,  3 434   ,  7 211   ,  3 771   ,  3 430   ,  7 201   ,  3 767   ,  3 427   ,  7 194   ,  4 894   ,  4 473   ,  9 367   ,  4 919   ,  4 502   ,  9 421   ,  4 899   ,  4 485   ,  9 384   ,  4 894   ,  4 486   ,  9 380   ,  4 941   ,  4 535   ,  9 476   ,  4 990   ,  4 584   ,  9 574   ,  5 039   ,  4 634   ,  9 673   ,  5 084   ,  4 682   ,  9 766   
,2,  3 636   ,  3 396   ,  7 032   ,  3 681   ,  3 419   ,  7 100   ,  3 645   ,  3 375   ,  7 020   ,  3 645   ,  3 370   ,  7 015   ,  3 654   ,  3 378   ,  7 032   ,  3 659   ,  3 383   ,  7 042   ,  3 657   ,  3 382   ,  7 039   ,  3 653   ,  3 380   ,  7 033   ,  4 745   ,  4 409   ,  9 154   ,  4 775   ,  4 440   ,  9 215   ,  4 760   ,  4 427   ,  9 187   ,  4 761   ,  4 432   ,  9 193   ,  4 758   ,  4 433   ,  9 191   ,  4 803   ,  4 483   ,  9 286   ,  4 850   ,  4 534   ,  9 384   ,  4 900   ,  4 585   ,  9 485   
,3,  3 501   ,  3 282   ,  6 783   ,  3 570   ,  3 324   ,  6 894   ,  3 616   ,  3 348   ,  6 964   ,  3 581   ,  3 305   ,  6 886   ,  3 581   ,  3 302   ,  6 883   ,  3 592   ,  3 313   ,  6 905   ,  3 593   ,  3 314   ,  6 907   ,  3 592   ,  3 315   ,  6 907   ,  4 678   ,  4 338   ,  9 016   ,  4 707   ,  4 369   ,  9 076   ,  4 698   ,  4 363   ,  9 061   ,  4 703   ,  4 370   ,  9 073   ,  4 702   ,  4 375   ,  9 077   ,  4 697   ,  4 377   ,  9 074   ,  4 744   ,  4 426   ,  9 170   ,  4 792   ,  4 476   ,  9 268   
,4,  3 288   ,  3 150   ,  6 438   ,  3 362   ,  3 199   ,  6 561   ,  3 430   ,  3 242   ,  6 672   ,  3 475   ,  3 268   ,  6 743   ,  3 442   ,  3 229   ,  6 671   ,  3 443   ,  3 227   ,  6 670   ,  3 451   ,  3 236   ,  6 687   ,  3 455   ,  3 240   ,  6 695   ,  4 499   ,  4 215   ,  8 714   ,  4 530   ,  4 245   ,  8 775   ,  4 520   ,  4 239   ,  8 759   ,  4 528   ,  4 251   ,  8 779   ,  4 532   ,  4 258   ,  8 790   ,  4 532   ,  4 264   ,  8 796   ,  4 530   ,  4 267   ,  8 797   ,  4 573   ,  4 315   ,  8 888   
,5,  3 165   ,  2 916   ,  6 081   ,  3 269   ,  2 997   ,  6 266   ,  3 343   ,  3 045   ,  6 388   ,  3 412   ,  3 088   ,  6 500   ,  3 458   ,  3 113   ,  6 571   ,  3 427   ,  3 077   ,  6 504   ,  3 426   ,  3 074   ,  6 500   ,  3 435   ,  3 083   ,  6 518   ,  4 476   ,  4 024   ,  8 500   ,  4 510   ,  4 055   ,  8 565   ,  4 501   ,  4 050   ,  8 551   ,  4 509   ,  4 060   ,  8 569   ,  4 518   ,  4 072   ,  8 590   ,  4 523   ,  4 080   ,  8 603   ,  4 522   ,  4 086   ,  8 608   ,  4 520   ,  4 089   ,  8 609   
,6,  3 123   ,  2 846   ,  5 969   ,  3 225   ,  2 932   ,  6 157   ,  3 334   ,  3 015   ,  6 349   ,  3 410   ,  3 063   ,  6 473   ,  3 480   ,  3 106   ,  6 586   ,  3 528   ,  3 133   ,  6 661   ,  3 494   ,  3 095   ,  6 589   ,  3 494   ,  3 092   ,  6 586   ,  4 555   ,  4 065   ,  8 620   ,  4 596   ,  4 101   ,  8 697   ,  4 590   ,  4 100   ,  8 690   ,  4 599   ,  4 109   ,  8 708   ,  4 607   ,  4 122   ,  8 729   ,  4 615   ,  4 132   ,  8 747   ,  4 619   ,  4 139   ,  8 758   ,  4 621   ,  4 144   ,  8 765   
,7,  2 884   ,  2 808   ,  5 692   ,  2 945   ,  2 871   ,  5 816   ,  3 044   ,  2 960   ,  6 004   ,  3 146   ,  3 045   ,  6 191   ,  3 219   ,  3 096   ,  6 315   ,  3 287   ,  3 142   ,  6 429   ,  3 331   ,  3 168   ,  6 499   ,  3 299   ,  3 130   ,  6 429   ,  4 291   ,  4 058   ,  8 349   ,  4 335   ,  4 100   ,  8 435   ,  4 335   ,  4 103   ,  8 438   ,  4 346   ,  4 116   ,  8 462   ,  4 356   ,  4 128   ,  8 484   ,  4 362   ,  4 141   ,  8 503   ,  4 371   ,  4 152   ,  8 523   ,  4 374   ,  4 162   ,  8 536   
