,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOUROU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KOOSIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2020,,,2021,,,2022,,,2023,,,2024,,,2025,,,2026,,,2027,,,2028,,,2029,,,2030,,,2031,,,2032,,,2033,,,2034,,,2035,,
, Ages,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,
,,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble
,0,  7 370   ,  6 972   ,  14 342   ,  7 372   ,  6 967   ,  14 339   ,  7 396   ,  6 989   ,  14 385   ,  7 411   ,  7 003   ,  14 414   ,  7 419   ,  7 012   ,  14 431   ,  7 425   ,  7 019   ,  14 444   ,  7 481   ,  7 074   ,  14 555   ,  7 537   ,  7 129   ,  14 666   ,  7 528   ,  7 125   ,  14 653   ,  7 535   ,  7 133   ,  14 668   ,  7 527   ,  7 126   ,  14 653   ,  7 598   ,  7 195   ,  14 793   ,  7 674   ,  7 266   ,  14 940   ,  7 749   ,  7 338   ,  15 087   ,  7 822   ,  7 407   ,  15 229   ,  7 889   ,  7 469   ,  15 358   
,1,  7 244   ,  6 866   ,  14 110   ,  7 182   ,  6 787   ,  13 969   ,  7 190   ,  6 788   ,  13 978   ,  7 221   ,  6 816   ,  14 037   ,  7 242   ,  6 836   ,  14 078   ,  7 257   ,  6 850   ,  14 107   ,  7 317   ,  6 907   ,  14 224   ,  7 378   ,  6 965   ,  14 343   ,  7 379   ,  6 970   ,  14 349   ,  7 397   ,  6 986   ,  14 383   ,  7 398   ,  6 988   ,  14 386   ,  7 394   ,  6 984   ,  14 378   ,  7 468   ,  7 055   ,  14 523   ,  7 546   ,  7 129   ,  14 675   ,  7 625   ,  7 204   ,  14 829   ,  7 701   ,  7 275   ,  14 976   
,2,  7 046   ,  6 705   ,  13 751   ,  7 147   ,  6 766   ,  13 913   ,  7 090   ,  6 692   ,  13 782   ,  7 103   ,  6 698   ,  13 801   ,  7 137   ,  6 729   ,  13 866   ,  7 162   ,  6 753   ,  13 915   ,  7 226   ,  6 814   ,  14 040   ,  7 289   ,  6 873   ,  14 162   ,  7 294   ,  6 882   ,  14 176   ,  7 317   ,  6 903   ,  14 220   ,  7 326   ,  6 912   ,  14 238   ,  7 329   ,  6 914   ,  14 243   ,  7 327   ,  6 912   ,  14 239   ,  7 403   ,  6 985   ,  14 388   ,  7 482   ,  7 060   ,  14 542   ,  7 562   ,  7 136   ,  14 698   
,3,  6 789   ,  6 487   ,  13 276   ,  6 937   ,  6 585   ,  13 522   ,  7 040   ,  6 649   ,  13 689   ,  6 986   ,  6 579   ,  13 565   ,  7 001   ,  6 587   ,  13 588   ,  7 037   ,  6 621   ,  13 658   ,  7 111   ,  6 690   ,  13 801   ,  7 176   ,  6 752   ,  13 928   ,  7 184   ,  6 763   ,  13 947   ,  7 209   ,  6 786   ,  13 995   ,  7 223   ,  6 799   ,  14 022   ,  7 233   ,  6 808   ,  14 041   ,  7 237   ,  6 811   ,  14 048   ,  7 236   ,  6 810   ,  14 046   ,  7 312   ,  6 883   ,  14 195   ,  7 392   ,  6 958   ,  14 350   
,4,  6 543   ,  6 270   ,  12 813   ,  6 701   ,  6 380   ,  13 081   ,  6 850   ,  6 479   ,  13 329   ,  6 954   ,  6 545   ,  13 499   ,  6 903   ,  6 479   ,  13 382   ,  6 921   ,  6 490   ,  13 411   ,  7 004   ,  6 569   ,  13 573   ,  7 078   ,  6 638   ,  13 716   ,  7 092   ,  6 654   ,  13 746   ,  7 118   ,  6 678   ,  13 796   ,  7 134   ,  6 692   ,  13 826   ,  7 148   ,  6 705   ,  13 853   ,  7 158   ,  6 714   ,  13 872   ,  7 163   ,  6 718   ,  13 881   ,  7 163   ,  6 718   ,  13 881   ,  7 240   ,  6 791   ,  14 031   
,5,  6 247   ,  6 002   ,  12 249   ,  6 467   ,  6 183   ,  12 650   ,  6 625   ,  6 294   ,  12 919   ,  6 774   ,  6 394   ,  13 168   ,  6 880   ,  6 461   ,  13 341   ,  6 832   ,  6 399   ,  13 231   ,  6 896   ,  6 454   ,  13 350   ,  6 981   ,  6 532   ,  13 513   ,  7 004   ,  6 558   ,  13 562   ,  7 034   ,  6 585   ,  13 619   ,  7 050   ,  6 600   ,  13 650   ,  7 066   ,  6 614   ,  13 680   ,  7 081   ,  6 627   ,  13 708   ,  7 092   ,  6 636   ,  13 728   ,  7 098   ,  6 641   ,  13 739   ,  7 100   ,  6 642   ,  13 742   
,6,  5 995   ,  5 756   ,  11 751   ,  6 204   ,  5 944   ,  12 148   ,  6 424   ,  6 125   ,  12 549   ,  6 584   ,  6 237   ,  12 821   ,  6 734   ,  6 339   ,  13 073   ,  6 841   ,  6 408   ,  13 249   ,  6 840   ,  6 390   ,  13 230   ,  6 905   ,  6 445   ,  13 350   ,  6 940   ,  6 481   ,  13 421   ,  6 978   ,  6 516   ,  13 494   ,  6 998   ,  6 534   ,  13 532   ,  7 014   ,  6 548   ,  13 562   ,  7 031   ,  6 562   ,  13 593   ,  7 046   ,  6 576   ,  13 622   ,  7 058   ,  6 586   ,  13 644   ,  7 066   ,  6 591   ,  13 657   
,7,  5 823   ,  5 570   ,  11 393   ,  5 956   ,  5 707   ,  11 663   ,  6 165   ,  5 896   ,  12 061   ,  6 386   ,  6 077   ,  12 463   ,  6 547   ,  6 191   ,  12 738   ,  6 699   ,  6 295   ,  12 994   ,  6 852   ,  6 407   ,  13 259   ,  6 851   ,  6 389   ,  13 240   ,  6 867   ,  6 402   ,  13 269   ,  6 916   ,  6 446   ,  13 362   ,  6 945   ,  6 472   ,  13 417   ,  6 964   ,  6 489   ,  13 453   ,  6 981   ,  6 504   ,  13 485   ,  6 998   ,  6 519   ,  13 517   ,  7 015   ,  6 532   ,  13 547   ,  7 028   ,  6 543   ,  13 571   
