,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TANNOUNYAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMOE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2020,,,2021,,,2022,,,2023,,,2024,,,2025,,,2026,,,2027,,,2028,,,2029,,,2030,,,2031,,,2032,,,2033,,,2034,,,2035,,
, Ages,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,
,,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble
,0,  13 153   ,  12 903   ,  26 056   ,  13 306   ,  13 039   ,  26 345   ,  13 496   ,  13 225   ,  26 721   ,  13 667   ,  13 392   ,  27 059   ,  13 821   ,  13 543   ,  27 364   ,  13 969   ,  13 688   ,  27 657   ,  14 109   ,  13 824   ,  27 933   ,  14 249   ,  13 963   ,  28 212   ,  14 363   ,  14 082   ,  28 445   ,  14 509   ,  14 226   ,  28 735   ,  14 628   ,  14 343   ,  28 971   ,  14 904   ,  14 614   ,  29 518   ,  15 190   ,  14 895   ,  30 085   ,  15 481   ,  15 181   ,  30 662   ,  15 769   ,  15 465   ,  31 234   ,  16 046   ,  15 737   ,  31 783   
,1,  12 903   ,  12 716   ,  25 619   ,  12 939   ,  12 713   ,  25 652   ,  13 097   ,  12 855   ,  25 952   ,  13 292   ,  13 044   ,  26 336   ,  13 467   ,  13 213   ,  26 680   ,  13 627   ,  13 367   ,  26 994   ,  13 773   ,  13 508   ,  27 281   ,  13 923   ,  13 653   ,  27 576   ,  14 054   ,  13 786   ,  27 840   ,  14 217   ,  13 943   ,  28 160   ,  14 352   ,  14 074   ,  28 426   ,  14 477   ,  14 196   ,  28 673   ,  14 757   ,  14 472   ,  29 229   ,  15 047   ,  14 759   ,  29 806   ,  15 344   ,  15 051   ,  30 395   ,  15 636   ,  15 340   ,  30 976   
,2,  12 528   ,  12 426   ,  24 954   ,  12 854   ,  12 683   ,  25 537   ,  12 891   ,  12 682   ,  25 573   ,  13 051   ,  12 826   ,  25 877   ,  13 247   ,  13 016   ,  26 263   ,  13 424   ,  13 187   ,  26 611   ,  13 578   ,  13 336   ,  26 914   ,  13 730   ,  13 482   ,  27 212   ,  13 866   ,  13 621   ,  27 487   ,  14 038   ,  13 787   ,  27 825   ,  14 186   ,  13 931   ,  28 117   ,  14 323   ,  14 064   ,  28 387   ,  14 451   ,  14 190   ,  28 641   ,  14 735   ,  14 471   ,  29 206   ,  15 028   ,  14 762   ,  29 790   ,  15 328   ,  15 058   ,  30 386   
,3,  12 050   ,  12 032   ,  24 082   ,  12 452   ,  12 352   ,  24 804   ,  12 776   ,  12 608   ,  25 384   ,  12 813   ,  12 608   ,  25 421   ,  12 971   ,  12 750   ,  25 721   ,  13 166   ,  12 940   ,  26 106   ,  13 336   ,  13 103   ,  26 439   ,  13 493   ,  13 255   ,  26 748   ,  13 632   ,  13 396   ,  27 028   ,  13 806   ,  13 564   ,  27 370   ,  13 960   ,  13 714   ,  27 674   ,  14 109   ,  13 857   ,  27 966   ,  14 247   ,  13 992   ,  28 239   ,  14 376   ,  14 120   ,  28 496   ,  14 660   ,  14 402   ,  29 062   ,  14 954   ,  14 693   ,  29 647   
,4,  11 591   ,  11 636   ,  23 227   ,  12 007   ,  11 976   ,  23 983   ,  12 407   ,  12 295   ,  24 702   ,  12 730   ,  12 550   ,  25 280   ,  12 767   ,  12 549   ,  25 316   ,  12 925   ,  12 691   ,  25 616   ,  13 113   ,  12 872   ,  25 985   ,  13 285   ,  13 039   ,  26 324   ,  13 432   ,  13 188   ,  26 620   ,  13 605   ,  13 355   ,  26 960   ,  13 762   ,  13 507   ,  27 269   ,  13 917   ,  13 656   ,  27 573   ,  14 066   ,  13 801   ,  27 867   ,  14 205   ,  13 937   ,  28 142   ,  14 336   ,  14 066   ,  28 402   ,  14 620   ,  14 348   ,  28 968   
,5,  11 048   ,  11 147   ,  22 195   ,  11 565   ,  11 612   ,  23 177   ,  11 980   ,  11 951   ,  23 931   ,  12 379   ,  12 269   ,  24 648   ,  12 701   ,  12 522   ,  25 223   ,  12 736   ,  12 521   ,  25 257   ,  12 888   ,  12 656   ,  25 544   ,  13 078   ,  12 840   ,  25 918   ,  13 243   ,  13 006   ,  26 249   ,  13 421   ,  13 178   ,  26 599   ,  13 577   ,  13 329   ,  26 906   ,  13 734   ,  13 480   ,  27 214   ,  13 889   ,  13 631   ,  27 520   ,  14 040   ,  13 776   ,  27 816   ,  14 180   ,  13 914   ,  28 094   ,  14 311   ,  14 044   ,  28 355   
,6,  10 581   ,  10 695   ,  21 276   ,  11 074   ,  11 171   ,  22 245   ,  11 593   ,  11 637   ,  23 230   ,  12 008   ,  11 976   ,  23 984   ,  12 408   ,  12 294   ,  24 702   ,  12 728   ,  12 546   ,  25 274   ,  12 757   ,  12 538   ,  25 295   ,  12 911   ,  12 675   ,  25 586   ,  13 096   ,  12 861   ,  25 957   ,  13 288   ,  13 047   ,  26 335   ,  13 451   ,  13 203   ,  26 654   ,  13 607   ,  13 354   ,  26 961   ,  13 765   ,  13 507   ,  27 272   ,  13 922   ,  13 659   ,  27 581   ,  14 074   ,  13 806   ,  27 880   ,  14 215   ,  13 944   ,  28 159   
,7,  10 260   ,  10 356   ,  20 616   ,  10 613   ,  10 732   ,  21 345   ,  11 107   ,  11 208   ,  22 315   ,  11 627   ,  11 675   ,  23 302   ,  12 042   ,  12 013   ,  24 055   ,  12 442   ,  12 331   ,  24 773   ,  12 757   ,  12 578   ,  25 335   ,  12 788   ,  12 572   ,  25 360   ,  12 937   ,  12 712   ,  25 649   ,  13 147   ,  12 916   ,  26 063   ,  13 324   ,  13 086   ,  26 410   ,  13 486   ,  13 243   ,  26 729   ,  13 644   ,  13 394   ,  27 038   ,  13 803   ,  13 548   ,  27 351   ,  13 962   ,  13 702   ,  27 664   ,  14 114   ,  13 850   ,  27 964   
