,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAPOA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DYAMONGOU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2020,,,2021,,,2022,,,2023,,,2024,,,2025,,,2026,,,2027,,,2028,,,2029,,,2030,,,2031,,,2032,,,2033,,,2034,,,2035,,
, Ages,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,
,,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble
,0,  4 695   ,  4 525   ,  9 220   ,  4 749   ,  4 573   ,  9 322   ,  4 816   ,  4 640   ,  9 456   ,  4 875   ,  4 699   ,  9 574   ,  4 930   ,  4 754   ,  9 684   ,  4 981   ,  4 803   ,  9 784   ,  5 027   ,  4 848   ,  9 875   ,  5 072   ,  4 891   ,  9 963   ,  5 218   ,  5 035   ,  10 253   ,  5 262   ,  5 082   ,  10 344   ,  5 313   ,  5 132   ,  10 445   ,  5 412   ,  5 232   ,  10 644   ,  5 516   ,  5 332   ,  10 848   ,  5 619   ,  5 436   ,  11 055   ,  5 719   ,  5 537   ,  11 256   ,  5 815   ,  5 631   ,  11 446   
,1,  4 546   ,  4 381   ,  8 927   ,  4 558   ,  4 382   ,  8 940   ,  4 614   ,  4 431   ,  9 045   ,  4 681   ,  4 498   ,  9 179   ,  4 743   ,  4 557   ,  9 300   ,  4 799   ,  4 610   ,  9 409   ,  4 847   ,  4 655   ,  9 502   ,  4 895   ,  4 704   ,  9 599   ,  5 043   ,  4 846   ,  9 889   ,  5 093   ,  4 898   ,  9 991   ,  5 148   ,  4 952   ,  10 100   ,  5 193   ,  4 997   ,  10 190   ,  5 292   ,  5 096   ,  10 388   ,  5 394   ,  5 198   ,  10 592   ,  5 496   ,  5 301   ,  10 797   ,  5 599   ,  5 400   ,  10 999   
,2,  4 503   ,  4 288   ,  8 791   ,  4 619   ,  4 378   ,  8 997   ,  4 633   ,  4 380   ,  9 013   ,  4 689   ,  4 430   ,  9 119   ,  4 757   ,  4 497   ,  9 254   ,  4 821   ,  4 556   ,  9 377   ,  4 873   ,  4 604   ,  9 477   ,  4 924   ,  4 651   ,  9 575   ,  5 072   ,  4 797   ,  9 869   ,  5 127   ,  4 850   ,  9 977   ,  5 188   ,  4 909   ,  10 097   ,  5 239   ,  4 958   ,  10 197   ,  5 285   ,  5 003   ,  10 288   ,  5 384   ,  5 105   ,  10 489   ,  5 489   ,  5 206   ,  10 695   ,  5 595   ,  5 308   ,  10 903   
,3,  4 325   ,  4 148   ,  8 473   ,  4 468   ,  4 258   ,  8 726   ,  4 584   ,  4 349   ,  8 933   ,  4 596   ,  4 349   ,  8 945   ,  4 654   ,  4 399   ,  9 053   ,  4 723   ,  4 464   ,  9 187   ,  4 780   ,  4 516   ,  9 296   ,  4 832   ,  4 567   ,  9 399   ,  4 981   ,  4 709   ,  9 690   ,  5 036   ,  4 762   ,  9 798   ,  5 100   ,  4 824   ,  9 924   ,  5 154   ,  4 877   ,  10 031   ,  5 203   ,  4 926   ,  10 129   ,  5 247   ,  4 972   ,  10 219   ,  5 350   ,  5 069   ,  10 419   ,  5 453   ,  5 170   ,  10 623   
,4,  3 991   ,  3 948   ,  7 939   ,  4 133   ,  4 064   ,  8 197   ,  4 272   ,  4 174   ,  8 446   ,  4 383   ,  4 262   ,  8 645   ,  4 393   ,  4 262   ,  8 655   ,  4 447   ,  4 309   ,  8 756   ,  4 509   ,  4 369   ,  8 878   ,  4 565   ,  4 422   ,  8 987   ,  4 708   ,  4 565   ,  9 273   ,  4 762   ,  4 617   ,  9 379   ,  4 823   ,  4 678   ,  9 501   ,  4 877   ,  4 731   ,  9 608   ,  4 928   ,  4 782   ,  9 710   ,  4 974   ,  4 829   ,  9 803   ,  5 016   ,  4 874   ,  9 890   ,  5 113   ,  4 969   ,  10 082   
,5,  3 759   ,  3 616   ,  7 375   ,  3 933   ,  3 768   ,  7 701   ,  4 076   ,  3 878   ,  7 954   ,  4 210   ,  3 983   ,  8 193   ,  4 319   ,  4 066   ,  8 385   ,  4 331   ,  4 065   ,  8 396   ,  4 378   ,  4 106   ,  8 484   ,  4 440   ,  4 163   ,  8 603   ,  4 586   ,  4 303   ,  8 889   ,  4 640   ,  4 354   ,  8 994   ,  4 702   ,  4 413   ,  9 115   ,  4 754   ,  4 462   ,  9 216   ,  4 808   ,  4 515   ,  9 323   ,  4 858   ,  4 564   ,  9 422   ,  4 903   ,  4 608   ,  9 511   ,  4 944   ,  4 648   ,  9 592   
,6,  3 408   ,  3 327   ,  6 735   ,  3 565   ,  3 478   ,  7 043   ,  3 734   ,  3 624   ,  7 358   ,  3 868   ,  3 730   ,  7 598   ,  3 996   ,  3 829   ,  7 825   ,  4 100   ,  3 908   ,  8 008   ,  4 106   ,  3 904   ,  8 010   ,  4 152   ,  3 945   ,  8 097   ,  4 298   ,  4 083   ,  8 381   ,  4 353   ,  4 137   ,  8 490   ,  4 412   ,  4 196   ,  8 608   ,  4 464   ,  4 244   ,  8 708   ,  4 516   ,  4 294   ,  8 810   ,  4 565   ,  4 345   ,  8 910   ,  4 612   ,  4 390   ,  9 002   ,  4 655   ,  4 431   ,  9 086   
,7,  3 209   ,  3 200   ,  6 409   ,  3 319   ,  3 317   ,  6 636   ,  3 474   ,  3 465   ,  6 939   ,  3 637   ,  3 609   ,  7 246   ,  3 765   ,  3 714   ,  7 479   ,  3 889   ,  3 812   ,  7 701   ,  3 985   ,  3 886   ,  7 871   ,  3 991   ,  3 883   ,  7 874   ,  4 120   ,  4 006   ,  8 126   ,  4 181   ,  4 067   ,  8 248   ,  4 242   ,  4 129   ,  8 371   ,  4 293   ,  4 180   ,  8 473   ,  4 341   ,  4 229   ,  8 570   ,  4 392   ,  4 278   ,  8 670   ,  4 439   ,  4 324   ,  8 763   ,  4 483   ,  4 371   ,  8 854   
