,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YAADGA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LORUM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2020,,,2021,,,2022,,,2023,,,2024,,,2025,,,2026,,,2027,,,2028,,,2029,,,2030,,,2031,,,2032,,,2033,,,2034,,,2035,,
, Ages,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,
,,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble
,0,  4 021   ,  3 923   ,  7 944   ,  4 036   ,  3 933   ,  7 969   ,  4 061   ,  3 959   ,  8 020   ,  4 082   ,  3 980   ,  8 062   ,  4 099   ,  3 995   ,  8 094   ,  4 115   ,  4 010   ,  8 125   ,  4 127   ,  4 022   ,  8 149   ,  4 140   ,  4 034   ,  8 174   ,  4 373   ,  4 262   ,  8 635   ,  4 610   ,  4 492   ,  9 102   ,  4 586   ,  4 465   ,  9 051   ,  4 610   ,  4 488   ,  9 098   ,  4 636   ,  4 511   ,  9 147   ,  4 661   ,  4 533   ,  9 194   ,  4 684   ,  4 553   ,  9 237   ,  4 703   ,  4 568   ,  9 271   
,1,  3 935   ,  3 858   ,  7 793   ,  3 915   ,  3 827   ,  7 742   ,  3 931   ,  3 841   ,  7 772   ,  3 960   ,  3 868   ,  7 828   ,  3 984   ,  3 890   ,  7 874   ,  4 004   ,  3 908   ,  7 912   ,  4 020   ,  3 922   ,  7 942   ,  4 035   ,  3 936   ,  7 971   ,  4 269   ,  4 164   ,  8 433   ,  4 506   ,  4 393   ,  8 899   ,  4 488   ,  4 373   ,  8 861   ,  4 467   ,  4 350   ,  8 817   ,  4 492   ,  4 374   ,  8 866   ,  4 520   ,  4 397   ,  8 917   ,  4 547   ,  4 421   ,  8 968   ,  4 572   ,  4 443   ,  9 015   
,2,  3 812   ,  3 762   ,  7 574   ,  3 880   ,  3 810   ,  7 690   ,  3 860   ,  3 781   ,  7 641   ,  3 879   ,  3 795   ,  7 674   ,  3 909   ,  3 824   ,  7 733   ,  3 934   ,  3 848   ,  7 782   ,  3 952   ,  3 864   ,  7 816   ,  3 970   ,  3 880   ,  7 850   ,  4 201   ,  4 105   ,  8 306   ,  4 439   ,  4 336   ,  8 775   ,  4 425   ,  4 320   ,  8 745   ,  4 408   ,  4 302   ,  8 710   ,  4 389   ,  4 280   ,  8 669   ,  4 415   ,  4 303   ,  8 718   ,  4 443   ,  4 329   ,  8 772   ,  4 471   ,  4 352   ,  8 823   
,3,  3 657   ,  3 636   ,  7 293   ,  3 749   ,  3 704   ,  7 453   ,  3 816   ,  3 752   ,  7 568   ,  3 799   ,  3 723   ,  7 522   ,  3 819   ,  3 739   ,  7 558   ,  3 850   ,  3 768   ,  7 618   ,  3 873   ,  3 788   ,  7 661   ,  3 892   ,  3 806   ,  7 698   ,  4 120   ,  4 029   ,  8 149   ,  4 355   ,  4 257   ,  8 612   ,  4 344   ,  4 245   ,  8 589   ,  4 332   ,  4 230   ,  8 562   ,  4 315   ,  4 211   ,  8 526   ,  4 297   ,  4 191   ,  8 488   ,  4 323   ,  4 213   ,  8 536   ,  4 351   ,  4 238   ,  8 589   
,4,  3 509   ,  3 510   ,  7 019   ,  3 606   ,  3 583   ,  7 189   ,  3 697   ,  3 650   ,  7 347   ,  3 764   ,  3 699   ,  7 463   ,  3 749   ,  3 673   ,  7 422   ,  3 769   ,  3 687   ,  7 456   ,  3 798   ,  3 715   ,  7 513   ,  3 822   ,  3 736   ,  7 558   ,  4 049   ,  3 959   ,  8 008   ,  4 280   ,  4 183   ,  8 463   ,  4 272   ,  4 171   ,  8 443   ,  4 262   ,  4 160   ,  8 422   ,  4 250   ,  4 145   ,  8 395   ,  4 235   ,  4 128   ,  8 363   ,  4 217   ,  4 107   ,  8 324   ,  4 243   ,  4 130   ,  8 373   
,5,  3 336   ,  3 355   ,  6 691   ,  3 465   ,  3 467   ,  6 932   ,  3 560   ,  3 541   ,  7 101   ,  3 651   ,  3 609   ,  7 260   ,  3 719   ,  3 657   ,  7 376   ,  3 705   ,  3 632   ,  7 337   ,  3 722   ,  3 645   ,  7 367   ,  3 753   ,  3 673   ,  7 426   ,  3 983   ,  3 897   ,  7 880   ,  4 211   ,  4 118   ,  8 329   ,  4 204   ,  4 108   ,  8 312   ,  4 194   ,  4 098   ,  8 292   ,  4 186   ,  4 087   ,  8 273   ,  4 174   ,  4 072   ,  8 246   ,  4 159   ,  4 055   ,  8 214   ,  4 143   ,  4 035   ,  8 178   
,6,  3 187   ,  3 213   ,  6 400   ,  3 308   ,  3 330   ,  6 638   ,  3 436   ,  3 442   ,  6 878   ,  3 533   ,  3 515   ,  7 048   ,  3 624   ,  3 584   ,  7 208   ,  3 693   ,  3 632   ,  7 325   ,  3 676   ,  3 605   ,  7 281   ,  3 696   ,  3 618   ,  7 314   ,  3 928   ,  3 846   ,  7 774   ,  4 159   ,  4 070   ,  8 229   ,  4 154   ,  4 063   ,  8 217   ,  4 146   ,  4 051   ,  8 197   ,  4 137   ,  4 041   ,  8 178   ,  4 129   ,  4 030   ,  8 159   ,  4 118   ,  4 015   ,  8 133   ,  4 103   ,  3 998   ,  8 101   
,7,  3 082   ,  3 105   ,  6 187   ,  3 162   ,  3 193   ,  6 355   ,  3 284   ,  3 308   ,  6 592   ,  3 412   ,  3 420   ,  6 832   ,  3 509   ,  3 496   ,  7 005   ,  3 600   ,  3 563   ,  7 163   ,  3 666   ,  3 608   ,  7 274   ,  3 650   ,  3 581   ,  7 231   ,  3 870   ,  3 794   ,  7 664   ,  4 104   ,  4 021   ,  8 125   ,  4 103   ,  4 018   ,  8 121   ,  4 098   ,  4 010   ,  8 108   ,  4 091   ,  4 001   ,  8 092   ,  4 083   ,  3 989   ,  8 072   ,  4 075   ,  3 978   ,  8 053   ,  4 063   ,  3 964   ,  8 027   
