BANKUI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2020,,,2021,,,2022,,,2023,,,2024,,,2025,,,2026,,,2027,,,2028,,,2029,,,2030,,,2031,,,2032,,,2033,,,2034,,,2035,,
, Ages,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,
,,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble
,0,  21 793   ,  20 617   ,  42 410   ,  21 835   ,  20 633   ,  42 468   ,  21 943   ,  20 734   ,  42 677   ,  22 019   ,  20 809   ,  42 828   ,  22 074   ,  20 863   ,  42 937   ,  22 125   ,  20 916   ,  43 041   ,  21 910   ,  20 718   ,  42 628   ,  21 692   ,  20 518   ,  42 210   ,  21 745   ,  20 580   ,  42 325   ,  21 842   ,  20 676   ,  42 518   ,  21 895   ,  20 730   ,  42 625   ,  22 183   ,  21 003   ,  43 186   ,  22 480   ,  21 289   ,  43 769   ,  22 784   ,  21 574   ,  44 358   ,  23 079   ,  21 853   ,  44 932   ,  23 356   ,  22 115   ,  45 471   
,1,  21 420   ,  20 304   ,  41 724   ,  21 272   ,  20 103   ,  41 375   ,  21 332   ,  20 139   ,  41 471   ,  21 455   ,  20 252   ,  41 707   ,  21 549   ,  20 340   ,  41 889   ,  21 623   ,  20 410   ,  42 033   ,  21 430   ,  20 229   ,  41 659   ,  21 234   ,  20 048   ,  41 282   ,  21 315   ,  20 132   ,  41 447   ,  21 440   ,  20 251   ,  41 691   ,  21 522   ,  20 328   ,  41 850   ,  21 586   ,  20 388   ,  41 974   ,  21 880   ,  20 668   ,  42 548   ,  22 186   ,  20 960   ,  43 146   ,  22 497   ,  21 253   ,  43 750   ,  22 803   ,  21 540   ,  44 343   
,2,  20 834   ,  19 826   ,  40 660   ,  21 171   ,  20 040   ,  41 211   ,  21 034   ,  19 855   ,  40 889   ,  21 102   ,  19 900   ,  41 002   ,  21 234   ,  20 022   ,  41 256   ,  21 340   ,  20 121   ,  41 461   ,  21 165   ,  19 957   ,  41 122   ,  20 978   ,  19 783   ,  40 761   ,  21 068   ,  19 877   ,  40 945   ,  21 209   ,  20 011   ,  41 220   ,  21 313   ,  20 106   ,  41 419   ,  21 396   ,  20 185   ,  41 581   ,  21 466   ,  20 251   ,  41 717   ,  21 763   ,  20 535   ,  42 298   ,  22 075   ,  20 831   ,  42 906   ,  22 392   ,  21 129   ,  43 521   
,3,  20 077   ,  19 183   ,  39 260   ,  20 548   ,  19 505   ,  40 053   ,  20 886   ,  19 723   ,  40 609   ,  20 756   ,  19 548   ,  40 304   ,  20 832   ,  19 601   ,  40 433   ,  20 971   ,  19 729   ,  40 700   ,  20 825   ,  19 594   ,  40 419   ,  20 656   ,  19 436   ,  40 092   ,  20 751   ,  19 535   ,  40 286   ,  20 897   ,  19 672   ,  40 569   ,  21 013   ,  19 779   ,  40 792   ,  21 114   ,  19 873   ,  40 987   ,  21 200   ,  19 953   ,  41 153   ,  21 274   ,  20 023   ,  41 297   ,  21 573   ,  20 307   ,  41 880   ,  21 888   ,  20 602   ,  42 490   
,4,  19 348   ,  18 542   ,  37 890   ,  19 849   ,  18 899   ,  38 748   ,  20 320   ,  19 223   ,  39 543   ,  20 661   ,  19 445   ,  40 106   ,  20 541   ,  19 279   ,  39 820   ,  20 622   ,  19 339   ,  39 961   ,  20 514   ,  19 237   ,  39 751   ,  20 373   ,  19 106   ,  39 479   ,  20 483   ,  19 219   ,  39 702   ,  20 631   ,  19 357   ,  39 988   ,  20 751   ,  19 467   ,  40 218   ,  20 865   ,  19 573   ,  40 438   ,  20 970   ,  19 669   ,  40 639   ,  21 060   ,  19 750   ,  40 810   ,  21 135   ,  19 822   ,  40 957   ,  21 438   ,  20 105   ,  41 543   
,5,  18 473   ,  17 749   ,  36 222   ,  19 152   ,  18 312   ,  37 464   ,  19 655   ,  18 671   ,  38 326   ,  20 129   ,  18 998   ,  39 127   ,  20 470   ,  19 224   ,  39 694   ,  20 359   ,  19 067   ,  39 426   ,  20 198   ,  18 900   ,  39 098   ,  20 092   ,  18 801   ,  38 893   ,  20 232   ,  18 941   ,  39 173   ,  20 388   ,  19 087   ,  39 475   ,  20 510   ,  19 198   ,  39 708   ,  20 629   ,  19 306   ,  39 935   ,  20 744   ,  19 413   ,  40 157   ,  20 851   ,  19 510   ,  40 361   ,  20 943   ,  19 594   ,  40 537   ,  21 022   ,  19 666   ,  40 688   
,6,  17 725   ,  17 019   ,  34 744   ,  18 374   ,  17 606   ,  35 980   ,  19 056   ,  18 171   ,  37 227   ,  19 561   ,  18 532   ,  38 093   ,  20 036   ,  18 863   ,  38 899   ,  20 385   ,  19 095   ,  39 480   ,  20 032   ,  18 714   ,  38 746   ,  19 874   ,  18 550   ,  38 424   ,  20 045   ,  18 719   ,  38 764   ,  20 225   ,  18 886   ,  39 111   ,  20 357   ,  19 006   ,  39 363   ,  20 477   ,  19 116   ,  39 593   ,  20 596   ,  19 225   ,  39 821   ,  20 716   ,  19 331   ,  40 047   ,  20 826   ,  19 431   ,  40 257   ,  20 920   ,  19 515   ,  40 435   
,7,  17 218   ,  16 471   ,  33 689   ,  17 640   ,  16 903   ,  34 543   ,  18 292   ,  17 490   ,  35 782   ,  18 973   ,  18 056   ,  37 029   ,  19 480   ,  18 422   ,  37 902   ,  19 961   ,  18 756   ,  38 717   ,  20 066   ,  18 763   ,  38 829   ,  19 719   ,  18 388   ,  38 107   ,  19 837   ,  18 491   ,  38 328   ,  20 048   ,  18 685   ,  38 733   ,  20 202   ,  18 826   ,  39 028   ,  20 332   ,  18 945   ,  39 277   ,  20 454   ,  19 054   ,  39 508   ,  20 576   ,  19 165   ,  39 741   ,  20 695   ,  19 273   ,  39 968   ,  20 807   ,  19 372   ,  40 179   
