DJÔRÔ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2020,,,2021,,,2022,,,2023,,,2024,,,2025,,,2026,,,2027,,,2028,,,2029,,,2030,,,2031,,,2032,,,2033,,,2034,,,2035,,
, Ages,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,
,,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble
,0,  17 156   ,  16 277   ,  33 433   ,  17 215   ,  16 313   ,  33 528   ,  17 324   ,  16 412   ,  33 736   ,  17 410   ,  16 489   ,  33 899   ,  17 477   ,  16 548   ,  34 025   ,  17 538   ,  16 599   ,  34 137   ,  17 827   ,  16 866   ,  34 693   ,  18 117   ,  17 133   ,  35 250   ,  18 120   ,  17 132   ,  35 252   ,  18 159   ,  17 163   ,  35 322   ,  18 163   ,  17 161   ,  35 324   ,  18 360   ,  17 340   ,  35 700   ,  18 566   ,  17 528   ,  36 094   ,  18 775   ,  17 717   ,  36 492   ,  18 977   ,  17 896   ,  36 873   ,  19 162   ,  18 057   ,  37 219   
,1,  16 879   ,  16 077   ,  32 956   ,  16 788   ,  15 940   ,  32 728   ,  16 860   ,  15 987   ,  32 847   ,  16 982   ,  16 095   ,  33 077   ,  17 079   ,  16 180   ,  33 259   ,  17 159   ,  16 246   ,  33 405   ,  17 455   ,  16 517   ,  33 972   ,  17 754   ,  16 789   ,  34 543   ,  17 780   ,  16 808   ,  34 588   ,  17 844   ,  16 860   ,  34 704   ,  17 872   ,  16 877   ,  34 749   ,  17 886   ,  16 882   ,  34 768   ,  18 089   ,  17 068   ,  35 157   ,  18 302   ,  17 262   ,  35 564   ,  18 518   ,  17 456   ,  35 974   ,  18 727   ,  17 640   ,  36 367   
,2,  16 436   ,  15 745   ,  32 181   ,  16 727   ,  15 937   ,  32 664   ,  16 643   ,  15 808   ,  32 451   ,  16 722   ,  15 862   ,  32 584   ,  16 849   ,  15 974   ,  32 823   ,  16 952   ,  16 063   ,  33 015   ,  17 257   ,  16 342   ,  33 599   ,  17 559   ,  16 617   ,  34 176   ,  17 594   ,  16 644   ,  34 238   ,  17 672   ,  16 708   ,  34 380   ,  17 717   ,  16 742   ,  34 459   ,  17 748   ,  16 762   ,  34 510   ,  17 766   ,  16 773   ,  34 539   ,  17 974   ,  16 963   ,  34 937   ,  18 191   ,  17 159   ,  35 350   ,  18 410   ,  17 355   ,  35 765   
,3,  15 855   ,  15 280   ,  31 135   ,  16 252   ,  15 558   ,  31 810   ,  16 543   ,  15 752   ,  32 295   ,  16 465   ,  15 629   ,  32 094   ,  16 546   ,  15 685   ,  32 231   ,  16 676   ,  15 798   ,  32 474   ,  16 999   ,  16 094   ,  33 093   ,  17 307   ,  16 374   ,  33 681   ,  17 347   ,  16 407   ,  33 754   ,  17 430   ,  16 475   ,  33 905   ,  17 487   ,  16 519   ,  34 006   ,  17 533   ,  16 554   ,  34 087   ,  17 566   ,  16 576   ,  34 142   ,  17 588   ,  16 589   ,  34 177   ,  17 797   ,  16 778   ,  34 575   ,  18 014   ,  16 973   ,  34 987   
,4,  15 296   ,  14 813   ,  30 109   ,  15 716   ,  15 119   ,  30 835   ,  16 113   ,  15 397   ,  31 510   ,  16 406   ,  15 593   ,  31 999   ,  16 332   ,  15 474   ,  31 806   ,  16 417   ,  15 531   ,  31 948   ,  16 763   ,  15 848   ,  32 611   ,  17 089   ,  16 145   ,  33 234   ,  17 142   ,  16 190   ,  33 332   ,  17 226   ,  16 260   ,  33 486   ,  17 288   ,  16 308   ,  33 596   ,  17 345   ,  16 352   ,  33 697   ,  17 393   ,  16 389   ,  33 782   ,  17 429   ,  16 413   ,  33 842   ,  17 454   ,  16 427   ,  33 881   ,  17 663   ,  16 614   ,  34 277   
,5,  14 620   ,  14 224   ,  28 844   ,  15 182   ,  14 695   ,  29 877   ,  15 602   ,  15 001   ,  30 603   ,  16 000   ,  15 281   ,  31 281   ,  16 295   ,  15 477   ,  31 772   ,  16 225   ,  15 360   ,  31 585   ,  16 523   ,  15 618   ,  32 141   ,  16 871   ,  15 936   ,  32 807   ,  16 950   ,  16 005   ,  32 955   ,  17 042   ,  16 082   ,  33 124   ,  17 105   ,  16 131   ,  33 236   ,  17 166   ,  16 179   ,  33 345   ,  17 225   ,  16 225   ,  33 450   ,  17 275   ,  16 263   ,  33 538   ,  17 314   ,  16 287   ,  33 601   ,  17 340   ,  16 300   ,  33 640   
,6,  14 044   ,  13 680   ,  27 724   ,  14 580   ,  14 170   ,  28 750   ,  15 143   ,  14 643   ,  29 786   ,  15 566   ,  14 951   ,  30 517   ,  15 966   ,  15 231   ,  31 197   ,  16 263   ,  15 428   ,  31 691   ,  16 405   ,  15 510   ,  31 915   ,  16 706   ,  15 770   ,  32 476   ,  16 812   ,  15 865   ,  32 677   ,  16 924   ,  15 961   ,  32 885   ,  16 996   ,  16 018   ,  33 014   ,  17 058   ,  16 067   ,  33 125   ,  17 121   ,  16 116   ,  33 237   ,  17 182   ,  16 163   ,  33 345   ,  17 234   ,  16 200   ,  33 434   ,  17 274   ,  16 223   ,  33 497   
,7,  13 657   ,  13 279   ,  26 936   ,  14 013   ,  13 646   ,  27 659   ,  14 551   ,  14 137   ,  28 688   ,  15 116   ,  14 611   ,  29 727   ,  15 541   ,  14 920   ,  30 461   ,  15 943   ,  15 201   ,  31 144   ,  16 451   ,  15 598   ,  32 049   ,  16 594   ,  15 680   ,  32 274   ,  16 655   ,  15 719   ,  32 374   ,  16 794   ,  15 838   ,  32 632   ,  16 885   ,  15 915   ,  32 800   ,  16 956   ,  15 971   ,  32 927   ,  17 019   ,  16 021   ,  33 040   ,  17 084   ,  16 071   ,  33 155   ,  17 147   ,  16 117   ,  33 264   ,  17 201   ,  16 153   ,  33 354   
