GOULMOU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2020,,,2021,,,2022,,,2023,,,2024,,,2025,,,2026,,,2027,,,2028,,,2029,,,2030,,,2031,,,2032,,,2033,,,2034,,,2035,,
, Ages,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,
,,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble
,0,  12 750   ,  12 287   ,  25 037   ,  12 851   ,  12 381   ,  25 232   ,  12 990   ,  12 524   ,  25 514   ,  13 110   ,  12 649   ,  25 759   ,  13 218   ,  12 761   ,  25 979   ,  13 319   ,  12 865   ,  26 184   ,  13 409   ,  12 957   ,  26 366   ,  13 501   ,  13 049   ,  26 550   ,  14 032   ,  13 574   ,  27 606   ,  14 123   ,  13 668   ,  27 791   ,  14 229   ,  13 775   ,  28 004   ,  14 471   ,  14 013   ,  28 484   ,  14 722   ,  14 261   ,  28 983   ,  14 977   ,  14 510   ,  29 487   ,  15 228   ,  14 754   ,  29 982   ,  15 467   ,  14 985   ,  30 452   
,1,  12 447   ,  12 044   ,  24 491   ,  12 435   ,  12 006   ,  24 441   ,  12 544   ,  12 107   ,  24 651   ,  12 688   ,  12 253   ,  24 941   ,  12 817   ,  12 382   ,  25 199   ,  12 930   ,  12 495   ,  25 425   ,  13 028   ,  12 592   ,  25 620   ,  13 128   ,  12 691   ,  25 819   ,  13 662   ,  13 216   ,  26 878   ,  13 771   ,  13 324   ,  27 095   ,  13 893   ,  13 444   ,  27 337   ,  13 988   ,  13 539   ,  27 527   ,  14 232   ,  13 781   ,  28 013   ,  14 487   ,  14 030   ,  28 517   ,  14 745   ,  14 282   ,  29 027   ,  14 998   ,  14 527   ,  29 525   
,2,  12 025   ,  11 705   ,  23 730   ,  12 292   ,  11 912   ,  24 204   ,  12 285   ,  11 880   ,  24 165   ,  12 396   ,  11 983   ,  24 379   ,  12 544   ,  12 130   ,  24 674   ,  12 674   ,  12 260   ,  24 934   ,  12 779   ,  12 363   ,  25 142   ,  12 882   ,  12 464   ,  25 346   ,  13 413   ,  12 987   ,  26 400   ,  13 531   ,  13 103   ,  26 634   ,  13 665   ,  13 235   ,  26 900   ,  13 772   ,  13 340   ,  27 112   ,  13 869   ,  13 439   ,  27 308   ,  14 114   ,  13 681   ,  27 795   ,  14 370   ,  13 931   ,  28 301   ,  14 628   ,  14 183   ,  28 811   
,3,  11 508   ,  11 271   ,  22 779   ,  11 848   ,  11 537   ,  23 385   ,  12 114   ,  11 745   ,  23 859   ,  12 108   ,  11 714   ,  23 822   ,  12 222   ,  11 818   ,  24 040   ,  12 369   ,  11 964   ,  24 333   ,  12 488   ,  12 081   ,  24 569   ,  12 595   ,  12 186   ,  24 781   ,  13 120   ,  12 701   ,  25 821   ,  13 239   ,  12 820   ,  26 059   ,  13 380   ,  12 957   ,  26 337   ,  13 497   ,  13 071   ,  26 568   ,  13 604   ,  13 177   ,  26 781   ,  13 702   ,  13 275   ,  26 977   ,  13 947   ,  13 516   ,  27 463   ,  14 200   ,  13 763   ,  27 963   
,4,  11 013   ,  10 840   ,  21 853   ,  11 366   ,  11 124   ,  22 490   ,  11 704   ,  11 390   ,  23 094   ,  11 969   ,  11 596   ,  23 565   ,  11 967   ,  11 567   ,  23 534   ,  12 079   ,  11 669   ,  23 748   ,  12 216   ,  11 802   ,  24 018   ,  12 338   ,  11 921   ,  24 259   ,  12 862   ,  12 435   ,  25 297   ,  12 981   ,  12 552   ,  25 533   ,  13 122   ,  12 690   ,  25 812   ,  13 245   ,  12 811   ,  26 056   ,  13 362   ,  12 925   ,  26 287   ,  13 470   ,  13 031   ,  26 501   ,  13 569   ,  13 128   ,  26 697   ,  13 812   ,  13 365   ,  27 177   
,5,  10 441   ,  10 326   ,  20 767   ,  10 890   ,  10 726   ,  21 616   ,  11 241   ,  11 009   ,  22 250   ,  11 578   ,  11 273   ,  22 851   ,  11 842   ,  11 478   ,  23 320   ,  11 840   ,  11 448   ,  23 288   ,  11 942   ,  11 539   ,  23 481   ,  12 081   ,  11 673   ,  23 754   ,  12 613   ,  12 195   ,  24 808   ,  12 737   ,  12 316   ,  25 053   ,  12 877   ,  12 453   ,  25 330   ,  13 001   ,  12 574   ,  25 575   ,  13 125   ,  12 695   ,  25 820   ,  13 242   ,  12 808   ,  26 050   ,  13 350   ,  12 913   ,  26 263   ,  13 449   ,  13 009   ,  26 458   
,6,  9 947   ,  9 852   ,  19 799   ,  10 373   ,  10 261   ,  20 634   ,  10 821   ,  10 660   ,  21 481   ,  11 171   ,  10 942   ,  22 113   ,  11 507   ,  11 205   ,  22 712   ,  11 770   ,  11 407   ,  23 177   ,  11 760   ,  11 368   ,  23 128   ,  11 864   ,  11 460   ,  23 324   ,  12 407   ,  11 993   ,  24 400   ,  12 544   ,  12 126   ,  24 670   ,  12 690   ,  12 267   ,  24 957   ,  12 814   ,  12 388   ,  25 202   ,  12 938   ,  12 509   ,  25 447   ,  13 062   ,  12 628   ,  25 690   ,  13 179   ,  12 742   ,  25 921   ,  13 288   ,  12 844   ,  26 132   
,7,  9 593   ,  9 486   ,  19 079   ,  9 886   ,  9 800   ,  19 686   ,  10 310   ,  10 209   ,  20 519   ,  10 757   ,  10 607   ,  21 364   ,  11 108   ,  10 887   ,  21 995   ,  11 443   ,  11 148   ,  22 591   ,  11 695   ,  11 339   ,  23 034   ,  11 687   ,  11 300   ,  22 987   ,  12 189   ,  11 786   ,  23 975   ,  12 343   ,  11 935   ,  24 278   ,  12 502   ,  12 089   ,  24 591   ,  12 630   ,  12 214   ,  24 844   ,  12 755   ,  12 335   ,  25 090   ,  12 879   ,  12 455   ,  25 334   ,  13 004   ,  12 574   ,  25 578   ,  13 121   ,  12 684   ,  25 805   
