GUIRIKO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2020,,,2021,,,2022,,,2023,,,2024,,,2025,,,2026,,,2027,,,2028,,,2029,,,2030,,,2031,,,2032,,,2033,,,2034,,,2035,,
, Ages,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,
,,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble
,0,  41 606   ,  41 957   ,  83 563   ,  41 908   ,  42 205   ,  84 113   ,  42 323   ,  42 612   ,  84 935   ,  42 669   ,  42 958   ,  85 627   ,  42 962   ,  43 257   ,  86 219   ,  43 235   ,  43 547   ,  86 782   ,  43 471   ,  43 807   ,  87 278   ,  43 697   ,  44 062   ,  87 759   ,  41 592   ,  41 988   ,  83 580   ,  41 841   ,  42 267   ,  84 108   ,  42 004   ,  42 458   ,  84 462   ,  42 612   ,  43 095   ,  85 707   ,  43 246   ,  43 758   ,  87 004   ,  43 888   ,  44 432   ,  88 320   ,  44 517   ,  45 095   ,  89 612   ,  45 113   ,  45 731   ,  90 844   
,1,  41 216   ,  41 688   ,  82 904   ,  41 149   ,  41 485   ,  82 634   ,  41 471   ,  41 757   ,  83 228   ,  41 905   ,  42 182   ,  84 087   ,  42 272   ,  42 548   ,  84 820   ,  42 590   ,  42 874   ,  85 464   ,  42 854   ,  43 154   ,  86 008   ,  43 115   ,  43 436   ,  86 551   ,  41 093   ,  41 440   ,  82 533   ,  41 398   ,  41 768   ,  83 166   ,  41 613   ,  42 004   ,  83 617   ,  41 796   ,  42 207   ,  84 003   ,  42 423   ,  42 864   ,  85 287   ,  43 076   ,  43 550   ,  86 626   ,  43 739   ,  44 248   ,  87 987   ,  44 390   ,  44 941   ,  89 331   
,2,  40 406   ,  41 066   ,  81 472   ,  41 276   ,  41 721   ,  82 997   ,  41 215   ,  41 530   ,  82 745   ,  41 543   ,  41 814   ,  83 357   ,  41 984   ,  42 253   ,  84 237   ,  42 362   ,  42 639   ,  85 001   ,  42 657   ,  42 948   ,  85 605   ,  42 930   ,  43 242   ,  86 172   ,  40 938   ,  41 276   ,  82 214   ,  41 275   ,  41 636   ,  82 911   ,  41 533   ,  41 913   ,  83 446   ,  41 755   ,  42 152   ,  83 907   ,  41 949   ,  42 368   ,  84 317   ,  42 590   ,  43 044   ,  85 634   ,  43 257   ,  43 749   ,  87 006   ,  43 936   ,  44 472   ,  88 408   
,3,  39 243   ,  40 080   ,  79 323   ,  40 377   ,  40 959   ,  81 336   ,  41 245   ,  41 616   ,  82 861   ,  41 183   ,  41 431   ,  82 614   ,  41 511   ,  41 722   ,  83 233   ,  41 956   ,  42 173   ,  84 129   ,  42 304   ,  42 535   ,  84 839   ,  42 601   ,  42 851   ,  85 452   ,  40 639   ,  40 917   ,  81 556   ,  40 987   ,  41 286   ,  82 273   ,  41 271   ,  41 589   ,  82 860   ,  41 530   ,  41 863   ,  83 393   ,  41 758   ,  42 109   ,  83 867   ,  41 959   ,  42 335   ,  84 294   ,  42 607   ,  43 020   ,  85 627   ,  43 284   ,  43 740   ,  87 024   
,4,  38 930   ,  39 594   ,  78 524   ,  40 152   ,  40 560   ,  80 712   ,  41 311   ,  41 453   ,  82 764   ,  42 199   ,  42 124   ,  84 323   ,  42 135   ,  41 944   ,  84 079   ,  42 474   ,  42 250   ,  84 724   ,  42 899   ,  42 682   ,  85 581   ,  43 256   ,  43 054   ,  86 310   ,  41 297   ,  41 145   ,  82 442   ,  41 656   ,  41 522   ,  83 178   ,  41 958   ,  41 838   ,  83 796   ,  42 248   ,  42 140   ,  84 388   ,  42 519   ,  42 424   ,  84 943   ,  42 759   ,  42 682   ,  85 441   ,  42 970   ,  42 920   ,  85 890   ,  43 642   ,  43 629   ,  87 271   
,5,  38 160   ,  38 930   ,  77 090   ,  39 776   ,  40 368   ,  80 144   ,  41 022   ,  41 355   ,  82 377   ,  42 204   ,  42 270   ,  84 474   ,  43 110   ,  42 960   ,  86 070   ,  43 048   ,  42 786   ,  85 834   ,  43 361   ,  43 072   ,  86 433   ,  43 795   ,  43 517   ,  87 312   ,  41 873   ,  41 650   ,  83 523   ,  42 261   ,  42 053   ,  84 314   ,  42 572   ,  42 377   ,  84 949   ,  42 878   ,  42 695   ,  85 573   ,  43 180   ,  43 008   ,  86 188   ,  43 462   ,  43 305   ,  86 767   ,  43 712   ,  43 576   ,  87 288   ,  43 935   ,  43 831   ,  87 766   
,6,  37 115   ,  37 861   ,  74 976   ,  38 679   ,  39 362   ,  78 041   ,  40 313   ,  40 818   ,  81 131   ,  41 574   ,  41 819   ,  83 393   ,  42 770   ,  42 749   ,  85 519   ,  43 689   ,  43 456   ,  87 145   ,  43 591   ,  43 252   ,  86 843   ,  43 908   ,  43 546   ,  87 454   ,  42 053   ,  41 747   ,  83 800   ,  42 495   ,  42 202   ,  84 697   ,  42 831   ,  42 550   ,  85 381   ,  43 143   ,  42 872   ,  86 015   ,  43 458   ,  43 196   ,  86 654   ,  43 768   ,  43 520   ,  87 288   ,  44 057   ,  43 827   ,  87 884   ,  44 317   ,  44 112   ,  88 429   
,7,  36 119   ,  36 544   ,  72 663   ,  37 202   ,  37 692   ,  74 894   ,  38 766   ,  39 188   ,  77 954   ,  40 401   ,  40 640   ,  81 041   ,  41 661   ,  41 641   ,  83 302   ,  42 861   ,  42 575   ,  85 436   ,  43 747   ,  43 252   ,  86 999   ,  43 648   ,  43 053   ,  86 701   ,  41 692   ,  41 129   ,  82 821   ,  42 198   ,  41 643   ,  83 841   ,  42 584   ,  42 038   ,  84 622   ,  42 916   ,  42 377   ,  85 293   ,  43 233   ,  42 701   ,  85 934   ,  43 552   ,  43 030   ,  86 582   ,  43 867   ,  43 358   ,  87 225   ,  44 163   ,  43 675   ,  87 838   
