KOULSÉ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2020,,,2021,,,2022,,,2023,,,2024,,,2025,,,2026,,,2027,,,2028,,,2029,,,2030,,,2031,,,2032,,,2033,,,2034,,,2035,,
, Ages,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,
,,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble
,0,  38 163   ,  36 655   ,  74 818   ,  38 394   ,  36 838   ,  75 232   ,  38 740   ,  37 165   ,  75 905   ,  39 032   ,  37 441   ,  76 473   ,  39 285   ,  37 677   ,  76 962   ,  39 525   ,  37 897   ,  77 422   ,  39 732   ,  38 083   ,  77 815   ,  39 940   ,  38 264   ,  78 204   ,  43 587   ,  41 752   ,  85 339   ,  43 888   ,  42 017   ,  85 905   ,  44 064   ,  42 161   ,  86 225   ,  44 740   ,  42 785   ,  87 525   ,  45 446   ,  43 437   ,  88 883   ,  46 161   ,  44 098   ,  90 259   ,  46 863   ,  44 747   ,  91 610   ,  47 526   ,  45 357   ,  92 883   
,1,  37 277   ,  36 062   ,  73 339   ,  37 173   ,  35 854   ,  73 027   ,  37 430   ,  36 061   ,  73 491   ,  37 798   ,  36 403   ,  74 201   ,  38 115   ,  36 695   ,  74 810   ,  38 391   ,  36 945   ,  75 336   ,  38 621   ,  37 146   ,  75 767   ,  38 857   ,  37 349   ,  76 206   ,  42 462   ,  40 802   ,  83 264   ,  42 816   ,  41 112   ,  83 928   ,  43 045   ,  41 300   ,  84 345   ,  43 270   ,  41 490   ,  84 760   ,  43 958   ,  42 131   ,  86 089   ,  44 674   ,  42 797   ,  87 471   ,  45 400   ,  43 474   ,  88 874   ,  46 112   ,  44 135   ,  90 247   
,2,  36 035   ,  35 178   ,  71 213   ,  36 767   ,  35 706   ,  72 473   ,  36 680   ,  35 516   ,  72 196   ,  36 948   ,  35 734   ,  72 682   ,  37 327   ,  36 085   ,  73 412   ,  37 653   ,  36 384   ,  74 037   ,  37 907   ,  36 609   ,  74 516   ,  38 150   ,  36 820   ,  74 970   ,  41 711   ,  40 244   ,  81 955   ,  42 094   ,  40 582   ,  82 676   ,  42 362   ,  40 809   ,  83 171   ,  42 624   ,  41 032   ,  83 656   ,  42 860   ,  41 238   ,  84 098   ,  43 552   ,  41 888   ,  85 440   ,  44 273   ,  42 565   ,  86 838   ,  45 002   ,  43 249   ,  88 251   
,3,  34 505   ,  34 003   ,  68 508   ,  35 460   ,  34 716   ,  70 176   ,  36 191   ,  35 247   ,  71 438   ,  36 114   ,  35 067   ,  71 181   ,  36 387   ,  35 289   ,  71 676   ,  36 768   ,  35 640   ,  72 408   ,  37 065   ,  35 908   ,  72 973   ,  37 326   ,  36 136   ,  73 462   ,  40 825   ,  39 511   ,  80 336   ,  41 212   ,  39 855   ,  81 067   ,  41 503   ,  40 103   ,  81 606   ,  41 799   ,  40 359   ,  82 158   ,  42 066   ,  40 591   ,  82 657   ,  42 305   ,  40 801   ,  83 106   ,  42 995   ,  41 453   ,  84 448   ,  43 712   ,  42 128   ,  85 840   
,4,  33 042   ,  32 830   ,  65 872   ,  34 039   ,  33 600   ,  67 639   ,  34 990   ,  34 314   ,  69 304   ,  35 719   ,  34 846   ,  70 565   ,  35 652   ,  34 673   ,  70 325   ,  35 929   ,  34 897   ,  70 826   ,  36 281   ,  35 216   ,  71 497   ,  36 584   ,  35 485   ,  72 069   ,  40 045   ,  38 832   ,  78 877   ,  40 431   ,  39 174   ,  79 605   ,  40 729   ,  39 430   ,  80 159   ,  41 045   ,  39 707   ,  80 752   ,  41 344   ,  39 969   ,  81 313   ,  41 614   ,  40 205   ,  81 819   ,  41 856   ,  40 420   ,  82 276   ,  42 543   ,  41 069   ,  83 612   
,5,  31 348   ,  31 393   ,  62 741   ,  32 636   ,  32 523   ,  65 159   ,  33 629   ,  33 294   ,  66 923   ,  34 576   ,  34 007   ,  68 583   ,  35 305   ,  34 539   ,  69 844   ,  35 244   ,  34 370   ,  69 614   ,  35 494   ,  34 563   ,  70 057   ,  35 849   ,  34 883   ,  70 732   ,  39 300   ,  38 229   ,  77 529   ,  39 700   ,  38 587   ,  78 287   ,  39 997   ,  38 843   ,  78 840   ,  40 319   ,  39 125   ,  79 444   ,  40 639   ,  39 407   ,  80 046   ,  40 939   ,  39 672   ,  80 611   ,  41 210   ,  39 912   ,  81 122   ,  41 453   ,  40 127   ,  81 580   
,6,  29 885   ,  30 071   ,  59 956   ,  31 107   ,  31 235   ,  62 342   ,  32 393   ,  32 366   ,  64 759   ,  33 384   ,  33 137   ,  66 521   ,  34 332   ,  33 851   ,  68 183   ,  35 061   ,  34 382   ,  69 443   ,  34 975   ,  34 184   ,  69 159   ,  35 230   ,  34 380   ,  69 610   ,  38 686   ,  37 740   ,  76 426   ,  39 129   ,  38 141   ,  77 270   ,  39 443   ,  38 413   ,  77 856   ,  39 764   ,  38 696   ,  78 460   ,  40 089   ,  38 983   ,  79 072   ,  40 410   ,  39 268   ,  79 678   ,  40 713   ,  39 537   ,  80 250   ,  40 984   ,  39 776   ,  80 760   
,7,  28 840   ,  29 069   ,  57 909   ,  29 670   ,  29 955   ,  59 625   ,  30 890   ,  31 120   ,  62 010   ,  32 172   ,  32 251   ,  64 423   ,  33 163   ,  33 023   ,  66 186   ,  34 109   ,  33 735   ,  67 844   ,  34 807   ,  34 235   ,  69 042   ,  34 729   ,  34 041   ,  68 770   ,  38 034   ,  37 238   ,  75 272   ,  38 531   ,  37 692   ,  76 223   ,  38 888   ,  38 007   ,  76 895   ,  39 225   ,  38 306   ,  77 531   ,  39 549   ,  38 594   ,  78 143   ,  39 875   ,  38 884   ,  78 759   ,  40 198   ,  39 172   ,  79 370   ,  40 501   ,  39 440   ,  79 941   
