LIPTAKO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2020,,,2021,,,2022,,,2023,,,2024,,,2025,,,2026,,,2027,,,2028,,,2029,,,2030,,,2031,,,2032,,,2033,,,2034,,,2035,,
, Ages,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,
,,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble
,0,  13 301   ,  12 412   ,  25 713   ,  13 322   ,  12 415   ,  25 737   ,  13 382   ,  12 466   ,  25 848   ,  13 420   ,  12 502   ,  25 922   ,  13 444   ,  12 526   ,  25 970   ,  13 463   ,  12 549   ,  26 012   ,  13 472   ,  12 562   ,  26 034   ,  13 481   ,  12 577   ,  26 058   ,  15 906   ,  14 859   ,  30 765   ,  16 009   ,  14 967   ,  30 976   ,  15 962   ,  14 938   ,  30 900   ,  16 144   ,  15 123   ,  31 267   ,  16 332   ,  15 317   ,  31 649   ,  16 519   ,  15 512   ,  32 031   ,  16 700   ,  15 701   ,  32 401   ,  16 865   ,  15 878   ,  32 743   
,1,  13 068   ,  12 225   ,  25 293   ,  12 973   ,  12 096   ,  25 069   ,  13 004   ,  12 110   ,  25 114   ,  13 071   ,  12 170   ,  25 241   ,  13 119   ,  12 214   ,  25 333   ,  13 153   ,  12 247   ,  25 400   ,  13 171   ,  12 267   ,  25 438   ,  13 191   ,  12 290   ,  25 481   ,  15 586   ,  14 537   ,  30 123   ,  15 709   ,  14 662   ,  30 371   ,  15 683   ,  14 649   ,  30 332   ,  15 704   ,  14 682   ,  30 386   ,  15 889   ,  14 873   ,  30 762   ,  16 081   ,  15 071   ,  31 152   ,  16 273   ,  15 272   ,  31 545   ,  16 458   ,  15 468   ,  31 926   
,2,  12 706   ,  11 939   ,  24 645   ,  12 907   ,  12 060   ,  24 967   ,  12 818   ,  11 940   ,  24 758   ,  12 852   ,  11 959   ,  24 811   ,  12 923   ,  12 024   ,  24 947   ,  12 976   ,  12 075   ,  25 051   ,  13 003   ,  12 103   ,  25 106   ,  13 028   ,  12 130   ,  25 158   ,  15 400   ,  14 355   ,  29 755   ,  15 534   ,  14 489   ,  30 023   ,  15 525   ,  14 492   ,  30 017   ,  15 560   ,  14 537   ,  30 097   ,  15 582   ,  14 575   ,  30 157   ,  15 769   ,  14 768   ,  30 537   ,  15 962   ,  14 970   ,  30 932   ,  16 156   ,  15 174   ,  31 330   
,3,  12 239   ,  11 552   ,  23 791   ,  12 522   ,  11 738   ,  24 260   ,  12 722   ,  11 863   ,  24 585   ,  12 637   ,  11 748   ,  24 385   ,  12 673   ,  11 771   ,  24 444   ,  12 746   ,  11 840   ,  24 586   ,  12 790   ,  11 884   ,  24 674   ,  12 822   ,  11 917   ,  24 739   ,  15 162   ,  14 108   ,  29 270   ,  15 299   ,  14 244   ,  29 543   ,  15 301   ,  14 256   ,  29 557   ,  15 349   ,  14 313   ,  29 662   ,  15 385   ,  14 361   ,  29 746   ,  15 408   ,  14 400   ,  29 808   ,  15 593   ,  14 594   ,  30 187   ,  15 786   ,  14 796   ,  30 582   
,4,  11 791   ,  11 165   ,  22 956   ,  12 092   ,  11 373   ,  23 465   ,  12 374   ,  11 561   ,  23 935   ,  12 574   ,  11 686   ,  24 260   ,  12 491   ,  11 578   ,  24 069   ,  12 531   ,  11 606   ,  24 137   ,  12 595   ,  11 668   ,  24 263   ,  12 643   ,  11 715   ,  24 358   ,  14 962   ,  13 881   ,  28 843   ,  15 100   ,  14 016   ,  29 116   ,  15 106   ,  14 031   ,  29 137   ,  15 164   ,  14 097   ,  29 261   ,  15 212   ,  14 156   ,  29 368   ,  15 248   ,  14 205   ,  29 453   ,  15 272   ,  14 246   ,  29 518   ,  15 457   ,  14 440   ,  29 897   
,5,  11 254   ,  10 688   ,  21 942   ,  11 665   ,  11 020   ,  22 685   ,  11 965   ,  11 229   ,  23 194   ,  12 245   ,  11 417   ,  23 662   ,  12 445   ,  11 545   ,  23 990   ,  12 366   ,  11 442   ,  23 808   ,  12 396   ,  11 463   ,  23 859   ,  12 464   ,  11 528   ,  23 992   ,  14 773   ,  13 679   ,  28 452   ,  14 916   ,  13 820   ,  28 736   ,  14 925   ,  13 837   ,  28 762   ,  14 986   ,  13 905   ,  28 891   ,  15 043   ,  13 972   ,  29 015   ,  15 091   ,  14 031   ,  29 122   ,  15 127   ,  14 081   ,  29 208   ,  15 152   ,  14 123   ,  29 275   
,6,  10 796   ,  10 248   ,  21 044   ,  11 188   ,  10 595   ,  21 783   ,  11 597   ,  10 927   ,  22 524   ,  11 897   ,  11 136   ,  23 033   ,  12 177   ,  11 327   ,  23 504   ,  12 379   ,  11 458   ,  23 837   ,  12 292   ,  11 349   ,  23 641   ,  12 325   ,  11 373   ,  23 698   ,  14 633   ,  13 518   ,  28 151   ,  14 794   ,  13 674   ,  28 468   ,  14 810   ,  13 698   ,  28 508   ,  14 871   ,  13 766   ,  28 637   ,  14 932   ,  13 835   ,  28 767   ,  14 989   ,  13 902   ,  28 891   ,  15 037   ,  13 963   ,  29 000   ,  15 074   ,  14 014   ,  29 088   
,7,  10 484   ,  9 916   ,  20 400   ,  10 737   ,  10 170   ,  20 907   ,  11 129   ,  10 516   ,  21 645   ,  11 537   ,  10 849   ,  22 386   ,  11 837   ,  11 060   ,  22 897   ,  12 118   ,  11 253   ,  23 371   ,  12 309   ,  11 376   ,  23 685   ,  12 226   ,  11 272   ,  23 498   ,  14 476   ,  13 350   ,  27 826   ,  14 659   ,  13 525   ,  28 184   ,  14 693   ,  13 565   ,  28 258   ,  14 762   ,  13 640   ,  28 402   ,  14 824   ,  13 710   ,  28 534   ,  14 884   ,  13 779   ,  28 663   ,  14 941   ,  13 847   ,  28 788   ,  14 990   ,  13 909   ,  28 899   
