NAKAMBÉ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2020,,,2021,,,2022,,,2023,,,2024,,,2025,,,2026,,,2027,,,2028,,,2029,,,2030,,,2031,,,2032,,,2033,,,2034,,,2035,,
, Ages,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,
,,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble
,0,  34 329   ,  32 695   ,  67 024   ,  34 479   ,  32 811   ,  67 290   ,  34 733   ,  33 053   ,  67 786   ,  34 943   ,  33 250   ,  68 193   ,  35 123   ,  33 410   ,  68 533   ,  35 294   ,  33 556   ,  68 850   ,  35 444   ,  33 675   ,  69 119   ,  35 599   ,  33 793   ,  69 392   ,  34 743   ,  32 955   ,  67 698   ,  34 941   ,  33 105   ,  68 046   ,  35 080   ,  33 193   ,  68 273   ,  35 598   ,  33 636   ,  69 234   ,  36 141   ,  34 097   ,  70 238   ,  36 694   ,  34 562   ,  71 256   ,  37 237   ,  35 014   ,  72 251   ,  37 749   ,  35 432   ,  73 181   
,1,  33 530   ,  32 249   ,  65 779   ,  33 379   ,  32 017   ,  65 396   ,  33 555   ,  32 154   ,  65 709   ,  33 835   ,  32 411   ,  66 246   ,  34 073   ,  32 623   ,  66 696   ,  34 279   ,  32 797   ,  67 076   ,  34 450   ,  32 932   ,  67 382   ,  34 631   ,  33 070   ,  67 701   ,  33 843   ,  32 287   ,  66 130   ,  34 085   ,  32 475   ,  66 560   ,  34 265   ,  32 599   ,  66 864   ,  34 426   ,  32 702   ,  67 128   ,  34 955   ,  33 156   ,  68 111   ,  35 509   ,  33 629   ,  69 138   ,  36 072   ,  34 105   ,  70 177   ,  36 623   ,  34 566   ,  71 189   
,2,  32 409   ,  31 540   ,  63 949   ,  33 011   ,  31 967   ,  64 978   ,  32 879   ,  31 750   ,  64 629   ,  33 071   ,  31 898   ,  64 969   ,  33 365   ,  32 164   ,  65 529   ,  33 616   ,  32 383   ,  65 999   ,  33 809   ,  32 539   ,  66 348   ,  33 997   ,  32 686   ,  66 683   ,  33 241   ,  31 929   ,  65 170   ,  33 506   ,  32 140   ,  65 646   ,  33 718   ,  32 295   ,  66 013   ,  33 908   ,  32 425   ,  66 333   ,  34 078   ,  32 538   ,  66 616   ,  34 614   ,  33 000   ,  67 614   ,  35 172   ,  33 479   ,  68 651   ,  35 738   ,  33 960   ,  69 698   
,3,  31 031   ,  30 565   ,  61 596   ,  31 835   ,  31 161   ,  62 996   ,  32 438   ,  31 591   ,  64 029   ,  32 322   ,  31 383   ,  63 705   ,  32 523   ,  31 535   ,  64 058   ,  32 824   ,  31 802   ,  64 626   ,  33 056   ,  31 998   ,  65 054   ,  33 260   ,  32 161   ,  65 421   ,  32 532   ,  31 427   ,  63 959   ,  32 802   ,  31 645   ,  64 447   ,  33 032   ,  31 818   ,  64 850   ,  33 249   ,  31 975   ,  65 224   ,  33 444   ,  32 110   ,  65 554   ,  33 620   ,  32 227   ,  65 847   ,  34 155   ,  32 688   ,  66 843   ,  34 710   ,  33 164   ,  67 874   
,4,  30 251   ,  30 568   ,  60 819   ,  31 111   ,  31 241   ,  62 352   ,  31 928   ,  31 857   ,  63 785   ,  32 546   ,  32 303   ,  64 849   ,  32 441   ,  32 096   ,  64 537   ,  32 654   ,  32 255   ,  64 909   ,  32 941   ,  32 507   ,  65 448   ,  33 188   ,  32 714   ,  65 902   ,  32 487   ,  31 994   ,  64 481   ,  32 761   ,  32 220   ,  64 981   ,  33 001   ,  32 406   ,  65 407   ,  33 239   ,  32 586   ,  65 825   ,  33 464   ,  32 751   ,  66 215   ,  33 668   ,  32 894   ,  66 562   ,  33 850   ,  33 016   ,  66 866   ,  34 392   ,  33 490   ,  67 882   
,5,  29 592   ,  29 695   ,  59 287   ,  30 756   ,  30 720   ,  61 476   ,  31 640   ,  31 401   ,  63 041   ,  32 483   ,  32 026   ,  64 509   ,  33 124   ,  32 479   ,  65 603   ,  33 027   ,  32 273   ,  65 300   ,  33 227   ,  32 411   ,  65 638   ,  33 532   ,  32 670   ,  66 202   ,  32 873   ,  31 998   ,  64 871   ,  33 169   ,  32 241   ,  65 410   ,  33 415   ,  32 430   ,  65 845   ,  33 666   ,  32 619   ,  66 285   ,  33 915   ,  32 804   ,  66 719   ,  34 151   ,  32 974   ,  67 125   ,  34 364   ,  33 119   ,  67 483   ,  34 552   ,  33 242   ,  67 794   
,6,  28 154   ,  28 105   ,  56 259   ,  29 255   ,  29 151   ,  58 406   ,  30 415   ,  30 161   ,  60 576   ,  31 300   ,  30 835   ,  62 135   ,  32 145   ,  31 453   ,  63 598   ,  32 788   ,  31 899   ,  64 687   ,  32 675   ,  31 673   ,  64 348   ,  32 885   ,  31 814   ,  64 699   ,  32 294   ,  31 212   ,  63 506   ,  32 625   ,  31 487   ,  64 112   ,  32 885   ,  31 688   ,  64 573   ,  33 135   ,  31 876   ,  65 011   ,  33 389   ,  32 064   ,  65 453   ,  33 642   ,  32 249   ,  65 891   ,  33 880   ,  32 416   ,  66 296   ,  34 092   ,  32 558   ,  66 650   
,7,  27 612   ,  27 313   ,  54 925   ,  28 357   ,  28 105   ,  56 462   ,  29 476   ,  29 155   ,  58 631   ,  30 654   ,  30 170   ,  60 824   ,  31 556   ,  30 847   ,  62 403   ,  32 417   ,  31 466   ,  63 883   ,  33 048   ,  31 890   ,  64 938   ,  32 945   ,  31 669   ,  64 614   ,  32 266   ,  30 961   ,  63 227   ,  32 649   ,  31 283   ,  63 932   ,  32 950   ,  31 521   ,  64 471   ,  33 217   ,  31 723   ,  64 940   ,  33 475   ,  31 913   ,  65 388   ,  33 736   ,  32 104   ,  65 840   ,  33 996   ,  32 289   ,  66 285   ,  34 238   ,  32 456   ,  66 694   
