NANDO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2020,,,2021,,,2022,,,2023,,,2024,,,2025,,,2026,,,2027,,,2028,,,2029,,,2030,,,2031,,,2032,,,2033,,,2034,,,2035,,
, Ages,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,
,,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble
,0,  34 709   ,  32 571   ,  67 280   ,  34 805   ,  32 638   ,  67 443   ,  35 005   ,  32 828   ,  67 833   ,  35 159   ,  32 971   ,  68 130   ,  35 281   ,  33 077   ,  68 358   ,  35 397   ,  33 170   ,  68 567   ,  35 672   ,  33 403   ,  69 075   ,  35 948   ,  33 633   ,  69 581   ,  36 005   ,  33 654   ,  69 659   ,  36 137   ,  33 738   ,  69 875   ,  36 204   ,  33 757   ,  69 961   ,  36 659   ,  34 136   ,  70 795   ,  37 136   ,  34 534   ,  71 670   ,  37 622   ,  34 935   ,  72 557   ,  38 097   ,  35 322   ,  73 419   ,  38 545   ,  35 677   ,  74 222   
,1,  33 991   ,  32 150   ,  66 141   ,  33 785   ,  31 872   ,  65 657   ,  33 909   ,  31 960   ,  65 869   ,  34 135   ,  32 164   ,  66 299   ,  34 318   ,  32 322   ,  66 640   ,  34 471   ,  32 445   ,  66 916   ,  34 763   ,  32 691   ,  67 454   ,  35 064   ,  32 938   ,  68 002   ,  35 166   ,  32 998   ,  68 164   ,  35 346   ,  33 122   ,  68 468   ,  35 458   ,  33 178   ,  68 636   ,  35 546   ,  33 214   ,  68 760   ,  36 013   ,  33 607   ,  69 620   ,  36 503   ,  34 018   ,  70 521   ,  37 003   ,  34 432   ,  71 435   ,  37 494   ,  34 832   ,  72 326   
,2,  32 942   ,  31 468   ,  64 410   ,  33 501   ,  31 848   ,  65 349   ,  33 314   ,  31 582   ,  64 896   ,  33 453   ,  31 680   ,  65 133   ,  33 694   ,  31 893   ,  65 587   ,  33 894   ,  32 060   ,  65 954   ,  34 207   ,  32 327   ,  66 534   ,  34 514   ,  32 581   ,  67 095   ,  34 632   ,  32 657   ,  67 289   ,  34 838   ,  32 806   ,  67 644   ,  34 985   ,  32 895   ,  67 880   ,  35 104   ,  32 959   ,  68 063   ,  35 203   ,  33 006   ,  68 209   ,  35 678   ,  33 408   ,  69 086   ,  36 177   ,  33 827   ,  70 004   ,  36 685   ,  34 248   ,  70 933   
,3,  31 626   ,  30 521   ,  62 147   ,  32 395   ,  31 071   ,  63 466   ,  32 956   ,  31 451   ,  64 407   ,  32 783   ,  31 194   ,  63 977   ,  32 933   ,  31 295   ,  64 228   ,  33 185   ,  31 511   ,  64 696   ,  33 536   ,  31 815   ,  65 351   ,  33 857   ,  32 085   ,  65 942   ,  33 985   ,  32 171   ,  66 156   ,  34 198   ,  32 327   ,  66 525   ,  34 366   ,  32 436   ,  66 802   ,  34 515   ,  32 528   ,  67 043   ,  34 641   ,  32 599   ,  67 240   ,  34 747   ,  32 652   ,  67 399   ,  35 225   ,  33 055   ,  68 280   ,  35 727   ,  33 474   ,  69 201   
,4,  30 364   ,  29 570   ,  59 934   ,  31 178   ,  30 176   ,  61 354   ,  31 946   ,  30 724   ,  62 670   ,  32 510   ,  31 105   ,  63 615   ,  32 351   ,  30 856   ,  63 207   ,  32 512   ,  30 961   ,  63 473   ,  32 912   ,  31 311   ,  64 223   ,  33 271   ,  31 616   ,  64 887   ,  33 423   ,  31 728   ,  65 151   ,  33 638   ,  31 886   ,  65 524   ,  33 812   ,  32 002   ,  65 814   ,  33 981   ,  32 113   ,  66 094   ,  34 136   ,  32 211   ,  66 347   ,  34 269   ,  32 286   ,  66 555   ,  34 381   ,  32 343   ,  66 724   ,  34 862   ,  32 746   ,  67 608   
,5,  28 884   ,  28 376   ,  57 260   ,  29 972   ,  29 312   ,  59 284   ,  30 785   ,  29 916   ,  60 701   ,  31 553   ,  30 463   ,  62 016   ,  32 121   ,  30 844   ,  62 965   ,  31 977   ,  30 601   ,  62 578   ,  32 283   ,  30 838   ,  63 121   ,  32 689   ,  31 189   ,  63 878   ,  32 888   ,  31 346   ,  64 234   ,  33 117   ,  31 518   ,  64 635   ,  33 293   ,  31 637   ,  64 930   ,  33 469   ,  31 755   ,  65 224   ,  33 643   ,  31 870   ,  65 513   ,  33 803   ,  31 971   ,  65 774   ,  33 940   ,  32 049   ,  65 989   ,  34 059   ,  32 108   ,  66 167   
,6,  27 610   ,  27 277   ,  54 887   ,  28 645   ,  28 250   ,  56 895   ,  29 732   ,  29 185   ,  58 917   ,  30 547   ,  29 789   ,  60 336   ,  31 319   ,  30 337   ,  61 656   ,  31 896   ,  30 720   ,  62 616   ,  31 896   ,  30 608   ,  62 504   ,  32 210   ,  30 848   ,  63 058   ,  32 461   ,  31 054   ,  63 515   ,  32 728   ,  31 264   ,  63 992   ,  32 919   ,  31 397   ,  64 316   ,  33 096   ,  31 517   ,  64 613   ,  33 276   ,  31 638   ,  64 914   ,  33 455   ,  31 757   ,  65 212   ,  33 620   ,  31 860   ,  65 480   ,  33 764   ,  31 939   ,  65 703   
,7,  26 716   ,  26 462   ,  53 178   ,  27 394   ,  27 189   ,  54 583   ,  28 429   ,  28 162   ,  56 591   ,  29 516   ,  29 096   ,  58 612   ,  30 334   ,  29 701   ,  60 035   ,  31 113   ,  30 250   ,  61 363   ,  31 829   ,  30 764   ,  62 593   ,  31 837   ,  30 653   ,  62 490   ,  31 999   ,  30 751   ,  62 750   ,  32 314   ,  31 006   ,  63 320   ,  32 544   ,  31 177   ,  63 721   ,  32 735   ,  31 311   ,  64 046   ,  32 916   ,  31 435   ,  64 351   ,  33 101   ,  31 559   ,  64 660   ,  33 285   ,  31 679   ,  64 964   ,  33 455   ,  31 783   ,  65 238   
