NAZINON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2020,,,2021,,,2022,,,2023,,,2024,,,2025,,,2026,,,2027,,,2028,,,2029,,,2030,,,2031,,,2032,,,2033,,,2034,,,2035,,
, Ages,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,
,,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble
,0,  15 378   ,  14 263   ,  29 641   ,  15 375   ,  14 244   ,  29 619   ,  15 418   ,  14 280   ,  29 698   ,  15 443   ,  14 295   ,  29 738   ,  15 453   ,  14 295   ,  29 748   ,  15 462   ,  14 289   ,  29 751   ,  15 462   ,  14 273   ,  29 735   ,  15 465   ,  14 257   ,  29 722   ,  15 455   ,  14 230   ,  29 685   ,  15 482   ,  14 233   ,  29 715   ,  15 483   ,  14 213   ,  29 696   ,  15 652   ,  14 347   ,  29 999   ,  15 834   ,  14 492   ,  30 326   ,  16 021   ,  14 642   ,  30 663   ,  16 206   ,  14 789   ,  30 995   ,  16 381   ,  14 925   ,  31 306   
,1,  15 145   ,  14 125   ,  29 270   ,  15 008   ,  13 956   ,  28 964   ,  15 020   ,  13 948   ,  28 968   ,  15 077   ,  13 992   ,  29 069   ,  15 116   ,  14 015   ,  29 131   ,  15 142   ,  14 023   ,  29 165   ,  15 154   ,  14 015   ,  29 169   ,  15 170   ,  14 009   ,  29 179   ,  15 180   ,  13 998   ,  29 178   ,  15 228   ,  14 020   ,  29 248   ,  15 250   ,  14 015   ,  29 265   ,  15 263   ,  14 005   ,  29 268   ,  15 442   ,  14 150   ,  29 592   ,  15 633   ,  14 304   ,  29 937   ,  15 829   ,  14 464   ,  30 293   ,  16 024   ,  14 620   ,  30 644   
,2,  14 759   ,  13 870   ,  28 629   ,  14 965   ,  13 990   ,  28 955   ,  14 839   ,  13 828   ,  28 667   ,  14 859   ,  13 825   ,  28 684   ,  14 925   ,  13 873   ,  28 798   ,  14 972   ,  13 901   ,  28 873   ,  14 995   ,  13 903   ,  28 898   ,  15 015   ,  13 902   ,  28 917   ,  15 033   ,  13 898   ,  28 931   ,  15 094   ,  13 930   ,  29 024   ,  15 130   ,  13 940   ,  29 070   ,  15 158   ,  13 943   ,  29 101   ,  15 179   ,  13 941   ,  29 120   ,  15 365   ,  14 093   ,  29 458   ,  15 562   ,  14 255   ,  29 817   ,  15 766   ,  14 421   ,  30 187   
,3,  14 248   ,  13 495   ,  27 743   ,  14 550   ,  13 692   ,  28 242   ,  14 759   ,  13 814   ,  28 573   ,  14 641   ,  13 656   ,  28 297   ,  14 667   ,  13 656   ,  28 323   ,  14 739   ,  13 706   ,  28 445   ,  14 781   ,  13 727   ,  28 508   ,  14 810   ,  13 733   ,  28 543   ,  14 833   ,  13 735   ,  28 568   ,  14 897   ,  13 771   ,  28 668   ,  14 944   ,  13 789   ,  28 733   ,  14 985   ,  13 804   ,  28 789   ,  15 018   ,  13 813   ,  28 831   ,  15 045   ,  13 818   ,  28 863   ,  15 236   ,  13 974   ,  29 210   ,  15 439   ,  14 140   ,  29 579   
,4,  13 752   ,  13 114   ,  26 866   ,  14 079   ,  13 337   ,  27 416   ,  14 384   ,  13 535   ,  27 919   ,  14 597   ,  13 658   ,  28 255   ,  14 486   ,  13 505   ,  27 991   ,  14 518   ,  13 507   ,  28 025   ,  14 584   ,  13 549   ,  28 133   ,  14 632   ,  13 573   ,  28 205   ,  14 666   ,  13 586   ,  28 252   ,  14 732   ,  13 623   ,  28 355   ,  14 782   ,  13 646   ,  28 428   ,  14 832   ,  13 669   ,  28 501   ,  14 879   ,  13 689   ,  28 568   ,  14 918   ,  13 704   ,  28 622   ,  14 951   ,  13 714   ,  28 665   ,  15 146   ,  13 873   ,  29 019   
,5,  13 151   ,  12 621   ,  25 772   ,  13 606   ,  12 993   ,  26 599   ,  13 934   ,  13 217   ,  27 151   ,  14 242   ,  13 415   ,  27 657   ,  14 459   ,  13 539   ,  27 998   ,  14 354   ,  13 389   ,  27 743   ,  14 381   ,  13 384   ,  27 765   ,  14 452   ,  13 429   ,  27 881   ,  14 508   ,  13 462   ,  27 970   ,  14 580   ,  13 505   ,  28 085   ,  14 632   ,  13 529   ,  28 161   ,  14 686   ,  13 555   ,  28 241   ,  14 741   ,  13 584   ,  28 325   ,  14 793   ,  13 610   ,  28 403   ,  14 837   ,  13 629   ,  28 466   ,  14 875   ,  13 643   ,  28 518   
,6,  12 636   ,  12 167   ,  24 803   ,  13 070   ,  12 559   ,  25 629   ,  13 527   ,  12 932   ,  26 459   ,  13 859   ,  13 157   ,  27 016   ,  14 170   ,  13 355   ,  27 525   ,  14 391   ,  13 480   ,  27 871   ,  14 282   ,  13 323   ,  27 605   ,  14 313   ,  13 321   ,  27 634   ,  14 393   ,  13 375   ,  27 768   ,  14 483   ,  13 435   ,  27 918   ,  14 542   ,  13 466   ,  28 008   ,  14 597   ,  13 493   ,  28 090   ,  14 656   ,  13 524   ,  28 180   ,  14 716   ,  13 558   ,  28 274   ,  14 773   ,  13 588   ,  28 361   ,  14 822   ,  13 611   ,  28 433   
,7,  12 289   ,  11 836   ,  24 125   ,  12 563   ,  12 120   ,  24 683   ,  13 000   ,  12 512   ,  25 512   ,  13 460   ,  12 885   ,  26 345   ,  13 794   ,  13 110   ,  26 904   ,  14 110   ,  13 310   ,  27 420   ,  14 324   ,  13 426   ,  27 750   ,  14 220   ,  13 272   ,  27 492   ,  14 261   ,  13 280   ,  27 541   ,  14 373   ,  13 361   ,  27 734   ,  14 449   ,  13 407   ,  27 856   ,  14 511   ,  13 441   ,  27 952   ,  14 571   ,  13 473   ,  28 044   ,  14 635   ,  13 510   ,  28 145   ,  14 700   ,  13 547   ,  28 247   ,  14 761   ,  13 581   ,  28 342   
