OUBRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2020,,,2021,,,2022,,,2023,,,2024,,,2025,,,2026,,,2027,,,2028,,,2029,,,2030,,,2031,,,2032,,,2033,,,2034,,,2035,,
, Ages,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,
,,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble
,0,  23 792   ,  22 360   ,  46 152   ,  23 866   ,  22 404   ,  46 270   ,  24 013   ,  22 535   ,  46 548   ,  24 128   ,  22 633   ,  46 761   ,  24 220   ,  22 708   ,  46 928   ,  24 308   ,  22 773   ,  47 081   ,  24 380   ,  22 819   ,  47 199   ,  24 454   ,  22 865   ,  47 319   ,  21 280   ,  19 877   ,  41 157   ,  21 365   ,  19 932   ,  41 297   ,  21 409   ,  19 948   ,  41 357   ,  21 683   ,  20 178   ,  41 861   ,  21 968   ,  20 420   ,  42 388   ,  22 258   ,  20 664   ,  42 922   ,  22 539   ,  20 900   ,  43 439   ,  22 802   ,  21 117   ,  43 919   
,1,  23 270   ,  22 042   ,  45 312   ,  23 137   ,  21 849   ,  44 986   ,  23 231   ,  21 909   ,  45 140   ,  23 395   ,  22 050   ,  45 445   ,  23 529   ,  22 160   ,  45 689   ,  23 642   ,  22 245   ,  45 887   ,  23 730   ,  22 303   ,  46 033   ,  23 822   ,  22 363   ,  46 185   ,  20 758   ,  19 464   ,  40 222   ,  20 870   ,  19 542   ,  40 412   ,  20 942   ,  19 580   ,  40 522   ,  20 998   ,  19 607   ,  40 605   ,  21 277   ,  19 845   ,  41 122   ,  21 569   ,  20 095   ,  41 664   ,  21 864   ,  20 346   ,  42 210   ,  22 153   ,  20 589   ,  42 742   
,2,  22 525   ,  21 544   ,  44 069   ,  22 915   ,  21 802   ,  44 717   ,  22 796   ,  21 620   ,  44 416   ,  22 900   ,  21 687   ,  44 587   ,  23 074   ,  21 834   ,  44 908   ,  23 219   ,  21 950   ,  45 169   ,  23 322   ,  22 024   ,  45 346   ,  23 421   ,  22 089   ,  45 510   ,  20 418   ,  19 235   ,  39 653   ,  20 546   ,  19 328   ,  39 874   ,  20 637   ,  19 385   ,  40 022   ,  20 712   ,  19 429   ,  40 141   ,  20 774   ,  19 463   ,  40 237   ,  21 056   ,  19 706   ,  40 762   ,  21 351   ,  19 960   ,  41 311   ,  21 649   ,  20 215   ,  41 864   
,3,  21 600   ,  20 867   ,  42 467   ,  22 132   ,  21 241   ,  43 373   ,  22 524   ,  21 501   ,  44 025   ,  22 415   ,  21 326   ,  43 741   ,  22 525   ,  21 397   ,  43 922   ,  22 705   ,  21 546   ,  44 251   ,  22 836   ,  21 646   ,  44 482   ,  22 947   ,  21 723   ,  44 670   ,  20 012   ,  18 924   ,  38 936   ,  20 144   ,  19 021   ,  39 165   ,  20 247   ,  19 090   ,  39 337   ,  20 340   ,  19 149   ,  39 489   ,  20 417   ,  19 197   ,  39 614   ,  20 482   ,  19 235   ,  39 717   ,  20 764   ,  19 479   ,  40 243   ,  21 058   ,  19 732   ,  40 790   
,4,  20 713   ,  20 190   ,  40 903   ,  21 275   ,  20 602   ,  41 877   ,  21 807   ,  20 976   ,  42 783   ,  22 201   ,  21 237   ,  43 438   ,  22 101   ,  21 068   ,  43 169   ,  22 218   ,  21 141   ,  43 359   ,  22 384   ,  21 274   ,  43 658   ,  22 522   ,  21 377   ,  43 899   ,  19 658   ,  18 638   ,  38 296   ,  19 790   ,  18 735   ,  38 525   ,  19 897   ,  18 809   ,  38 706   ,  20 001   ,  18 880   ,  38 881   ,  20 095   ,  18 943   ,  39 038   ,  20 175   ,  18 993   ,  39 168   ,  20 242   ,  19 033   ,  39 275   ,  20 524   ,  19 277   ,  39 801   
,5,  19 679   ,  19 348   ,  39 027   ,  20 428   ,  19 984   ,  40 412   ,  20 989   ,  20 396   ,  41 385   ,  21 522   ,  20 769   ,  42 291   ,  21 918   ,  21 031   ,  42 949   ,  21 826   ,  20 866   ,  42 692   ,  21 931   ,  20 924   ,  42 855   ,  22 103   ,  21 059   ,  43 162   ,  19 320   ,  18 388   ,  37 708   ,  19 460   ,  18 494   ,  37 954   ,  19 569   ,  18 568   ,  38 137   ,  19 676   ,  18 643   ,  38 319   ,  19 781   ,  18 716   ,  38 497   ,  19 877   ,  18 782   ,  38 659   ,  19 959   ,  18 834   ,  38 793   ,  20 027   ,  18 875   ,  38 902   
,6,  18 789   ,  18 574   ,  37 363   ,  19 500   ,  19 235   ,  38 735   ,  20 248   ,  19 871   ,  40 119   ,  20 811   ,  20 283   ,  41 094   ,  21 345   ,  20 658   ,  42 003   ,  21 745   ,  20 920   ,  42 665   ,  21 642   ,  20 741   ,  42 383   ,  21 752   ,  20 801   ,  42 553   ,  19 046   ,  18 193   ,  37 239   ,  19 209   ,  18 320   ,  37 529   ,  19 326   ,  18 403   ,  37 729   ,  19 434   ,  18 479   ,  37 913   ,  19 543   ,  18 556   ,  38 099   ,  19 649   ,  18 631   ,  38 280   ,  19 747   ,  18 698   ,  38 445   ,  19 830   ,  18 751   ,  38 581   
,7,  18 160   ,  17 995   ,  36 155   ,  18 628   ,  18 487   ,  37 115   ,  19 339   ,  19 148   ,  38 487   ,  20 086   ,  19 784   ,  39 870   ,  20 651   ,  20 197   ,  40 848   ,  21 188   ,  20 572   ,  41 760   ,  21 572   ,  20 817   ,  42 389   ,  21 477   ,  20 642   ,  42 119   ,  18 755   ,  17 990   ,  36 745   ,  18 945   ,  18 145   ,  37 090   ,  19 084   ,  18 249   ,  37 333   ,  19 200   ,  18 333   ,  37 533   ,  19 310   ,  18 411   ,  37 721   ,  19 420   ,  18 490   ,  37 910   ,  19 528   ,  18 567   ,  38 095   ,  19 626   ,  18 634   ,  38 260   
