SIRBA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2020,,,2021,,,2022,,,2023,,,2024,,,2025,,,2026,,,2027,,,2028,,,2029,,,2030,,,2031,,,2032,,,2033,,,2034,,,2035,,
, Ages,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,
,,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble
,0,  18 084   ,  17 428   ,  35 512   ,  18 224   ,  17 558   ,  35 782   ,  18 417   ,  17 757   ,  36 174   ,  18 585   ,  17 932   ,  36 517   ,  18 733   ,  18 085   ,  36 818   ,  18 874   ,  18 230   ,  37 104   ,  19 001   ,  18 358   ,  37 359   ,  19 125   ,  18 486   ,  37 611   ,  19 745   ,  19 101   ,  38 846   ,  19 871   ,  19 229   ,  39 100   ,  20 017   ,  19 377   ,  39 394   ,  20 352   ,  19 709   ,  40 061   ,  20 702   ,  20 052   ,  40 754   ,  21 055   ,  20 398   ,  41 453   ,  21 403   ,  20 738   ,  42 141   ,  21 735   ,  21 059   ,  42 794   
,1,  17 655   ,  17 082   ,  34 737   ,  17 635   ,  17 026   ,  34 661   ,  17 784   ,  17 167   ,  34 951   ,  17 988   ,  17 370   ,  35 358   ,  18 165   ,  17 549   ,  35 714   ,  18 323   ,  17 707   ,  36 030   ,  18 458   ,  17 840   ,  36 298   ,  18 597   ,  17 977   ,  36 574   ,  19 225   ,  18 597   ,  37 822   ,  19 376   ,  18 746   ,  38 122   ,  19 542   ,  18 911   ,  38 453   ,  19 672   ,  19 042   ,  38 714   ,  20 013   ,  19 377   ,  39 390   ,  20 366   ,  19 724   ,  40 090   ,  20 724   ,  20 074   ,  40 798   ,  21 077   ,  20 417   ,  41 494   
,2,  17 056   ,  16 601   ,  33 657   ,  17 432   ,  16 891   ,  34 323   ,  17 418   ,  16 843   ,  34 261   ,  17 573   ,  16 987   ,  34 560   ,  17 780   ,  17 193   ,  34 973   ,  17 960   ,  17 372   ,  35 332   ,  18 107   ,  17 517   ,  35 624   ,  18 247   ,  17 656   ,  35 903   ,  18 875   ,  18 274   ,  37 149   ,  19 037   ,  18 435   ,  37 472   ,  19 221   ,  18 616   ,  37 837   ,  19 367   ,  18 761   ,  38 128   ,  19 502   ,  18 895   ,  38 397   ,  19 844   ,  19 233   ,  39 077   ,  20 199   ,  19 581   ,  39 780   ,  20 558   ,  19 931   ,  40 489   
,3,  16 322   ,  15 986   ,  32 308   ,  16 802   ,  16 363   ,  33 165   ,  17 175   ,  16 653   ,  33 828   ,  17 166   ,  16 608   ,  33 774   ,  17 321   ,  16 751   ,  34 072   ,  17 527   ,  16 952   ,  34 479   ,  17 693   ,  17 116   ,  34 809   ,  17 843   ,  17 262   ,  35 105   ,  18 462   ,  17 875   ,  36 337   ,  18 627   ,  18 036   ,  36 663   ,  18 820   ,  18 225   ,  37 045   ,  18 980   ,  18 384   ,  37 364   ,  19 128   ,  18 530   ,  37 658   ,  19 263   ,  18 664   ,  37 927   ,  19 603   ,  18 997   ,  38 600   ,  19 957   ,  19 341   ,  39 298   
,4,  15 620   ,  15 376   ,  30 996   ,  16 118   ,  15 775   ,  31 893   ,  16 596   ,  16 150   ,  32 746   ,  16 967   ,  16 439   ,  33 406   ,  16 961   ,  16 394   ,  33 355   ,  17 117   ,  16 536   ,  33 653   ,  17 308   ,  16 722   ,  34 030   ,  17 476   ,  16 886   ,  34 362   ,  18 098   ,  17 499   ,  35 597   ,  18 262   ,  17 660   ,  35 922   ,  18 457   ,  17 851   ,  36 308   ,  18 627   ,  18 017   ,  36 644   ,  18 789   ,  18 176   ,  36 965   ,  18 936   ,  18 319   ,  37 255   ,  19 071   ,  18 453   ,  37 524   ,  19 411   ,  18 783   ,  38 194   
,5,  14 809   ,  14 646   ,  29 455   ,  15 444   ,  15 210   ,  30 654   ,  15 939   ,  15 609   ,  31 548   ,  16 413   ,  15 981   ,  32 394   ,  16 784   ,  16 267   ,  33 051   ,  16 779   ,  16 223   ,  33 002   ,  16 921   ,  16 348   ,  33 269   ,  17 114   ,  16 535   ,  33 649   ,  17 749   ,  17 161   ,  34 910   ,  17 919   ,  17 328   ,  35 247   ,  18 114   ,  17 516   ,  35 630   ,  18 285   ,  17 684   ,  35 969   ,  18 455   ,  17 850   ,  36 305   ,  18 617   ,  18 007   ,  36 624   ,  18 765   ,  18 150   ,  36 915   ,  18 900   ,  18 280   ,  37 180   
,6,  14 108   ,  13 975   ,  28 083   ,  14 709   ,  14 551   ,  29 260   ,  15 341   ,  15 115   ,  30 456   ,  15 836   ,  15 512   ,  31 348   ,  16 310   ,  15 882   ,  32 192   ,  16 680   ,  16 166   ,  32 846   ,  16 662   ,  16 106   ,  32 768   ,  16 807   ,  16 232   ,  33 039   ,  17 460   ,  16 874   ,  34 334   ,  17 650   ,  17 061   ,  34 711   ,  17 849   ,  17 254   ,  35 103   ,  18 020   ,  17 421   ,  35 441   ,  18 193   ,  17 589   ,  35 782   ,  18 363   ,  17 754   ,  36 117   ,  18 526   ,  17 909   ,  36 435   ,  18 673   ,  18 050   ,  36 723   
,7,  13 604   ,  13 454   ,  27 058   ,  14 019   ,  13 899   ,  27 918   ,  14 619   ,  14 474   ,  29 093   ,  15 250   ,  15 036   ,  30 286   ,  15 742   ,  15 432   ,  31 174   ,  16 214   ,  15 798   ,  32 012   ,  16 569   ,  16 065   ,  32 634   ,  16 555   ,  16 010   ,  32 565   ,  17 152   ,  16 583   ,  33 735   ,  17 367   ,  16 792   ,  34 159   ,  17 585   ,  17 004   ,  34 589   ,  17 763   ,  17 177   ,  34 940   ,  17 934   ,  17 343   ,  35 277   ,  18 107   ,  17 509   ,  35 616   ,  18 277   ,  17 672   ,  35 949   ,  18 439   ,  17 826   ,  36 265   
