SOUM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2020,,,2021,,,2022,,,2023,,,2024,,,2025,,,2026,,,2027,,,2028,,,2029,,,2030,,,2031,,,2032,,,2033,,,2034,,,2035,,
, Ages,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,
,,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble
,0,  6 118   ,  5 709   ,  11 827   ,  6 112   ,  5 695   ,  11 807   ,  6 123   ,  5 705   ,  11 828   ,  6 126   ,  5 707   ,  11 833   ,  6 123   ,  5 705   ,  11 828   ,  6 117   ,  5 701   ,  11 818   ,  6 107   ,  5 695   ,  11 802   ,  6 098   ,  5 690   ,  11 788   ,  7 732   ,  7 223   ,  14 955   ,  7 767   ,  7 262   ,  15 029   ,  7 731   ,  7 234   ,  14 965   ,  7 804   ,  7 311   ,  15 115   ,  7 880   ,  7 391   ,  15 271   ,  7 956   ,  7 471   ,  15 427   ,  8 028   ,  7 548   ,  15 576   ,  8 092   ,  7 618   ,  15 710   
,1,  6 011   ,  5 623   ,  11 634   ,  5 952   ,  5 550   ,  11 502   ,  5 951   ,  5 542   ,  11 493   ,  5 967   ,  5 555   ,  11 522   ,  5 975   ,  5 562   ,  11 537   ,  5 976   ,  5 565   ,  11 541   ,  5 971   ,  5 561   ,  11 532   ,  5 968   ,  5 560   ,  11 528   ,  7 576   ,  7 067   ,  14 643   ,  7 622   ,  7 114   ,  14 736   ,  7 596   ,  7 095   ,  14 691   ,  7 591   ,  7 098   ,  14 689   ,  7 666   ,  7 177   ,  14 843   ,  7 744   ,  7 259   ,  15 003   ,  7 822   ,  7 342   ,  15 164   ,  7 897   ,  7 421   ,  15 318   
,2,  5 845   ,  5 491   ,  11 336   ,  5 921   ,  5 533   ,  11 454   ,  5 865   ,  5 464   ,  11 329   ,  5 867   ,  5 459   ,  11 326   ,  5 885   ,  5 476   ,  11 361   ,  5 895   ,  5 486   ,  11 381   ,  5 895   ,  5 487   ,  11 382   ,  5 893   ,  5 487   ,  11 380   ,  7 486   ,  6 978   ,  14 464   ,  7 537   ,  7 030   ,  14 567   ,  7 519   ,  7 018   ,  14 537   ,  7 522   ,  7 027   ,  14 549   ,  7 519   ,  7 032   ,  14 551   ,  7 594   ,  7 113   ,  14 707   ,  7 673   ,  7 196   ,  14 869   ,  7 752   ,  7 281   ,  15 033   
,3,  5 630   ,  5 313   ,  10 943   ,  5 745   ,  5 385   ,  11 130   ,  5 822   ,  5 428   ,  11 250   ,  5 768   ,  5 363   ,  11 131   ,  5 771   ,  5 361   ,  11 132   ,  5 791   ,  5 380   ,  11 171   ,  5 798   ,  5 387   ,  11 185   ,  5 800   ,  5 391   ,  11 191   ,  7 371   ,  6 858   ,  14 229   ,  7 423   ,  6 911   ,  14 334   ,  7 410   ,  6 904   ,  14 314   ,  7 420   ,  6 919   ,  14 339   ,  7 423   ,  6 929   ,  14 352   ,  7 420   ,  6 935   ,  14 355   ,  7 496   ,  7 015   ,  14 511   ,  7 575   ,  7 099   ,  14 674   
,4,  5 423   ,  5 136   ,  10 559   ,  5 548   ,  5 218   ,  10 766   ,  5 663   ,  5 290   ,  10 953   ,  5 740   ,  5 335   ,  11 075   ,  5 689   ,  5 273   ,  10 962   ,  5 693   ,  5 273   ,  10 966   ,  5 710   ,  5 289   ,  10 999   ,  5 719   ,  5 300   ,  11 019   ,  7 273   ,  6 747   ,  14 020   ,  7 326   ,  6 801   ,  14 127   ,  7 316   ,  6 796   ,  14 112   ,  7 330   ,  6 815   ,  14 145   ,  7 340   ,  6 831   ,  14 171   ,  7 343   ,  6 841   ,  14 184   ,  7 341   ,  6 848   ,  14 189   ,  7 416   ,  6 928   ,  14 344   
,5,  5 177   ,  4 916   ,  10 093   ,  5 351   ,  5 056   ,  10 407   ,  5 475   ,  5 138   ,  10 613   ,  5 590   ,  5 212   ,  10 802   ,  5 668   ,  5 258   ,  10 926   ,  5 619   ,  5 199   ,  10 818   ,  5 620   ,  5 197   ,  10 817   ,  5 638   ,  5 215   ,  10 853   ,  7 181   ,  6 650   ,  13 831   ,  7 238   ,  6 706   ,  13 944   ,  7 228   ,  6 701   ,  13 929   ,  7 244   ,  6 722   ,  13 966   ,  7 259   ,  6 741   ,  14 000   ,  7 268   ,  6 758   ,  14 026   ,  7 272   ,  6 769   ,  14 041   ,  7 270   ,  6 777   ,  14 047   
,6,  4 966   ,  4 714   ,  9 680   ,  5 132   ,  4 860   ,  9 992   ,  5 307   ,  5 000   ,  10 307   ,  5 431   ,  5 084   ,  10 515   ,  5 546   ,  5 158   ,  10 704   ,  5 624   ,  5 206   ,  10 830   ,  5 572   ,  5 145   ,  10 717   ,  5 575   ,  5 145   ,  10 720   ,  7 113   ,  6 571   ,  13 684   ,  7 178   ,  6 635   ,  13 813   ,  7 172   ,  6 634   ,  13 806   ,  7 189   ,  6 655   ,  13 844   ,  7 205   ,  6 676   ,  13 881   ,  7 219   ,  6 696   ,  13 915   ,  7 229   ,  6 712   ,  13 941   ,  7 233   ,  6 724   ,  13 957   
,7,  4 822   ,  4 561   ,  9 383   ,  4 926   ,  4 665   ,  9 591   ,  5 092   ,  4 812   ,  9 904   ,  5 266   ,  4 952   ,  10 218   ,  5 390   ,  5 037   ,  10 427   ,  5 506   ,  5 113   ,  10 619   ,  5 581   ,  5 157   ,  10 738   ,  5 531   ,  5 099   ,  10 630   ,  7 037   ,  6 490   ,  13 527   ,  7 113   ,  6 563   ,  13 676   ,  7 116   ,  6 570   ,  13 686   ,  7 136   ,  6 594   ,  13 730   ,  7 152   ,  6 615   ,  13 767   ,  7 168   ,  6 636   ,  13 804   ,  7 182   ,  6 656   ,  13 838   ,  7 192   ,  6 673   ,  13 865   
