SOUROU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2020,,,2021,,,2022,,,2023,,,2024,,,2025,,,2026,,,2027,,,2028,,,2029,,,2030,,,2031,,,2032,,,2033,,,2034,,,2035,,
, Ages,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,
,,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble
,0,  17 803   ,  16 841   ,  34 644   ,  17 809   ,  16 830   ,  34 639   ,  17 867   ,  16 884   ,  34 751   ,  17 904   ,  16 918   ,  34 822   ,  17 924   ,  16 940   ,  34 864   ,  17 940   ,  16 959   ,  34 899   ,  18 133   ,  17 146   ,  35 279   ,  18 325   ,  17 332   ,  35 657   ,  18 297   ,  17 318   ,  35 615   ,  18 308   ,  17 331   ,  35 639   ,  18 283   ,  17 309   ,  35 592   ,  18 448   ,  17 470   ,  35 918   ,  18 626   ,  17 636   ,  36 262   ,  18 802   ,  17 806   ,  36 608   ,  18 973   ,  17 966   ,  36 939   ,  19 128   ,  18 109   ,  37 237   
,1,  17 497   ,  16 585   ,  34 082   ,  17 349   ,  16 396   ,  33 745   ,  17 370   ,  16 398   ,  33 768   ,  17 445   ,  16 466   ,  33 911   ,  17 497   ,  16 515   ,  34 012   ,  17 534   ,  16 550   ,  34 084   ,  17 735   ,  16 741   ,  34 476   ,  17 939   ,  16 934   ,  34 873   ,  17 935   ,  16 941   ,  34 876   ,  17 972   ,  16 975   ,  34 947   ,  17 970   ,  16 972   ,  34 942   ,  17 954   ,  16 958   ,  34 912   ,  18 127   ,  17 124   ,  35 251   ,  18 310   ,  17 297   ,  35 607   ,  18 494   ,  17 473   ,  35 967   ,  18 672   ,  17 639   ,  36 311   
,2,  17 020   ,  16 195   ,  33 215   ,  17 265   ,  16 345   ,  33 610   ,  17 128   ,  16 166   ,  33 294   ,  17 160   ,  16 180   ,  33 340   ,  17 243   ,  16 257   ,  33 500   ,  17 303   ,  16 315   ,  33 618   ,  17 514   ,  16 516   ,  34 030   ,  17 722   ,  16 712   ,  34 434   ,  17 728   ,  16 726   ,  34 454   ,  17 779   ,  16 773   ,  34 552   ,  17 794   ,  16 788   ,  34 582   ,  17 796   ,  16 787   ,  34 583   ,  17 784   ,  16 778   ,  34 562   ,  17 962   ,  16 948   ,  34 910   ,  18 148   ,  17 124   ,  35 272   ,  18 336   ,  17 303   ,  35 639   
,3,  16 399   ,  15 670   ,  32 069   ,  16 757   ,  15 908   ,  32 665   ,  17 006   ,  16 062   ,  33 068   ,  16 878   ,  15 894   ,  32 772   ,  16 914   ,  15 914   ,  32 828   ,  17 002   ,  15 998   ,  33 000   ,  17 235   ,  16 216   ,  33 451   ,  17 447   ,  16 417   ,  33 864   ,  17 461   ,  16 437   ,  33 898   ,  17 516   ,  16 489   ,  34 005   ,  17 544   ,  16 514   ,  34 058   ,  17 562   ,  16 529   ,  34 091   ,  17 566   ,  16 532   ,  34 098   ,  17 557   ,  16 524   ,  34 081   ,  17 736   ,  16 694   ,  34 430   ,  17 923   ,  16 872   ,  34 795   
,4,  15 804   ,  15 145   ,  30 949   ,  16 188   ,  15 412   ,  31 600   ,  16 548   ,  15 652   ,  32 200   ,  16 799   ,  15 812   ,  32 611   ,  16 677   ,  15 653   ,  32 330   ,  16 721   ,  15 680   ,  32 401   ,  16 977   ,  15 921   ,  32 898   ,  17 210   ,  16 140   ,  33 350   ,  17 237   ,  16 173   ,  33 410   ,  17 294   ,  16 225   ,  33 519   ,  17 327   ,  16 255   ,  33 582   ,  17 355   ,  16 279   ,  33 634   ,  17 374   ,  16 295   ,  33 669   ,  17 380   ,  16 301   ,  33 681   ,  17 375   ,  16 295   ,  33 670   ,  17 555   ,  16 466   ,  34 021   
,5,  15 090   ,  14 498   ,  29 588   ,  15 622   ,  14 935   ,  30 557   ,  16 005   ,  15 204   ,  31 209   ,  16 365   ,  15 447   ,  31 812   ,  16 622   ,  15 610   ,  32 232   ,  16 507   ,  15 460   ,  31 967   ,  16 715   ,  15 643   ,  32 358   ,  16 973   ,  15 883   ,  32 856   ,  17 024   ,  15 939   ,  32 963   ,  17 090   ,  15 999   ,  33 089   ,  17 124   ,  16 030   ,  33 154   ,  17 156   ,  16 059   ,  33 215   ,  17 187   ,  16 084   ,  33 271   ,  17 208   ,  16 102   ,  33 310   ,  17 217   ,  16 107   ,  33 324   ,  17 215   ,  16 105   ,  33 320   
,6,  14 481   ,  13 904   ,  28 385   ,  14 987   ,  14 359   ,  29 346   ,  15 518   ,  14 796   ,  30 314   ,  15 905   ,  15 069   ,  30 974   ,  16 269   ,  15 315   ,  31 584   ,  16 528   ,  15 482   ,  32 010   ,  16 579   ,  15 488   ,  32 067   ,  16 788   ,  15 671   ,  32 459   ,  16 868   ,  15 753   ,  32 621   ,  16 954   ,  15 832   ,  32 786   ,  16 997   ,  15 870   ,  32 867   ,  17 031   ,  15 899   ,  32 930   ,  17 066   ,  15 928   ,  32 994   ,  17 096   ,  15 956   ,  33 052   ,  17 119   ,  15 973   ,  33 092   ,  17 132   ,  15 981   ,  33 113   
,7,  14 065   ,  13 455   ,  27 520   ,  14 387   ,  13 786   ,  28 173   ,  14 893   ,  14 243   ,  29 136   ,  15 428   ,  14 682   ,  30 110   ,  15 818   ,  14 957   ,  30 775   ,  16 185   ,  15 209   ,  31 394   ,  16 607   ,  15 528   ,  32 135   ,  16 658   ,  15 534   ,  32 192   ,  16 691   ,  15 560   ,  32 251   ,  16 803   ,  15 662   ,  32 465   ,  16 868   ,  15 720   ,  32 588   ,  16 909   ,  15 756   ,  32 665   ,  16 944   ,  15 787   ,  32 731   ,  16 980   ,  15 817   ,  32 797   ,  17 015   ,  15 844   ,  32 859   ,  17 041   ,  15 864   ,  32 905   
