TANNOUNYAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2020,,,2021,,,2022,,,2023,,,2024,,,2025,,,2026,,,2027,,,2028,,,2029,,,2030,,,2031,,,2032,,,2033,,,2034,,,2035,,
, Ages,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,
,,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble
,0,  16 872   ,  16 552   ,  33 424   ,  17 044   ,  16 702   ,  33 746   ,  17 263   ,  16 916   ,  34 179   ,  17 457   ,  17 106   ,  34 563   ,  17 631   ,  17 276   ,  34 907   ,  17 797   ,  17 439   ,  35 236   ,  17 957   ,  17 595   ,  35 552   ,  18 117   ,  17 753   ,  35 870   ,  18 243   ,  17 886   ,  36 129   ,  18 409   ,  18 049   ,  36 458   ,  18 540   ,  18 179   ,  36 719   ,  18 870   ,  18 503   ,  37 373   ,  19 212   ,  18 839   ,  38 051   ,  19 560   ,  19 181   ,  38 741   ,  19 903   ,  19 519   ,  39 422   ,  20 232   ,  19 842   ,  40 074   
,1,  16 552   ,  16 312   ,  32 864   ,  16 573   ,  16 284   ,  32 857   ,  16 752   ,  16 442   ,  33 194   ,  16 978   ,  16 661   ,  33 639   ,  17 180   ,  16 855   ,  34 035   ,  17 362   ,  17 030   ,  34 392   ,  17 530   ,  17 192   ,  34 722   ,  17 702   ,  17 359   ,  35 061   ,  17 850   ,  17 509   ,  35 359   ,  18 038   ,  17 691   ,  35 729   ,  18 190   ,  17 838   ,  36 028   ,  18 329   ,  17 974   ,  36 303   ,  18 664   ,  18 304   ,  36 968   ,  19 012   ,  18 648   ,  37 660   ,  19 366   ,  18 997   ,  38 363   ,  19 715   ,  19 341   ,  39 056   
,2,  16 071   ,  15 940   ,  32 011   ,  16 464   ,  16 245   ,  32 709   ,  16 488   ,  16 221   ,  32 709   ,  16 670   ,  16 383   ,  33 053   ,  16 899   ,  16 604   ,  33 503   ,  17 103   ,  16 801   ,  33 904   ,  17 282   ,  16 973   ,  34 255   ,  17 457   ,  17 142   ,  34 599   ,  17 611   ,  17 300   ,  34 911   ,  17 811   ,  17 493   ,  35 304   ,  17 980   ,  17 657   ,  35 637   ,  18 135   ,  17 807   ,  35 942   ,  18 278   ,  17 948   ,  36 226   ,  18 617   ,  18 284   ,  36 901   ,  18 968   ,  18 632   ,  37 600   ,  19 326   ,  18 986   ,  38 312   
,3,  15 458   ,  15 434   ,  30 892   ,  15 950   ,  15 822   ,  31 772   ,  16 341   ,  16 127   ,  32 468   ,  16 366   ,  16 105   ,  32 471   ,  16 547   ,  16 265   ,  32 812   ,  16 775   ,  16 486   ,  33 261   ,  16 973   ,  16 677   ,  33 650   ,  17 156   ,  16 853   ,  34 009   ,  17 314   ,  17 014   ,  34 328   ,  17 516   ,  17 210   ,  34 726   ,  17 694   ,  17 382   ,  35 076   ,  17 863   ,  17 545   ,  35 408   ,  18 019   ,  17 697   ,  35 716   ,  18 164   ,  17 840   ,  36 004   ,  18 503   ,  18 177   ,  36 680   ,  18 855   ,  18 526   ,  37 381   
,4,  14 869   ,  14 927   ,  29 796   ,  15 380   ,  15 340   ,  30 720   ,  15 870   ,  15 726   ,  31 596   ,  16 260   ,  16 030   ,  32 290   ,  16 286   ,  16 008   ,  32 294   ,  16 467   ,  16 169   ,  32 636   ,  16 689   ,  16 383   ,  33 072   ,  16 891   ,  16 578   ,  33 469   ,  17 060   ,  16 750   ,  33 810   ,  17 262   ,  16 944   ,  34 206   ,  17 443   ,  17 119   ,  34 562   ,  17 621   ,  17 290   ,  34 911   ,  17 791   ,  17 455   ,  35 246   ,  17 948   ,  17 609   ,  35 557   ,  18 094   ,  17 754   ,  35 848   ,  18 434   ,  18 091   ,  36 525   
,5,  14 172   ,  14 299   ,  28 471   ,  14 814   ,  14 874   ,  29 688   ,  15 323   ,  15 286   ,  30 609   ,  15 812   ,  15 672   ,  31 484   ,  16 202   ,  15 974   ,  32 176   ,  16 227   ,  15 953   ,  32 180   ,  16 403   ,  16 108   ,  32 511   ,  16 628   ,  16 325   ,  32 953   ,  16 820   ,  16 519   ,  33 339   ,  17 028   ,  16 720   ,  33 748   ,  17 208   ,  16 894   ,  34 102   ,  17 389   ,  17 067   ,  34 456   ,  17 567   ,  17 240   ,  34 807   ,  17 739   ,  17 406   ,  35 145   ,  17 897   ,  17 561   ,  35 458   ,  18 044   ,  17 707   ,  35 751   
,6,  13 573   ,  13 720   ,  27 293   ,  14 185   ,  14 309   ,  28 494   ,  14 828   ,  14 884   ,  29 712   ,  15 338   ,  15 297   ,  30 635   ,  15 828   ,  15 683   ,  31 511   ,  16 217   ,  15 985   ,  32 202   ,  16 237   ,  15 958   ,  32 195   ,  16 416   ,  16 116   ,  32 532   ,  16 633   ,  16 335   ,  32 968   ,  16 860   ,  16 554   ,  33 414   ,  17 048   ,  16 734   ,  33 782   ,  17 228   ,  16 908   ,  34 136   ,  17 410   ,  17 083   ,  34 493   ,  17 590   ,  17 258   ,  34 848   ,  17 763   ,  17 425   ,  35 188   ,  17 923   ,  17 581   ,  35 504   
,7,  13 161   ,  13 285   ,  26 446   ,  13 594   ,  13 746   ,  27 340   ,  14 207   ,  14 336   ,  28 543   ,  14 851   ,  14 913   ,  29 764   ,  15 361   ,  15 325   ,  30 686   ,  15 852   ,  15 711   ,  31 563   ,  16 236   ,  16 009   ,  32 245   ,  16 259   ,  15 985   ,  32 244   ,  16 431   ,  16 145   ,  32 576   ,  16 681   ,  16 387   ,  33 068   ,  16 888   ,  16 586   ,  33 474   ,  17 075   ,  16 767   ,  33 842   ,  17 257   ,  16 941   ,  34 198   ,  17 440   ,  17 118   ,  34 558   ,  17 622   ,  17 294   ,  34 916   ,  17 795   ,  17 463   ,  35 258   
