TAPOA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2020,,,2021,,,2022,,,2023,,,2024,,,2025,,,2026,,,2027,,,2028,,,2029,,,2030,,,2031,,,2032,,,2033,,,2034,,,2035,,
, Ages,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,
,,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble
,0,  14 090   ,  13 579   ,  27 669   ,  14 247   ,  13 726   ,  27 973   ,  14 444   ,  13 927   ,  28 371   ,  14 621   ,  14 107   ,  28 728   ,  14 782   ,  14 271   ,  29 053   ,  14 936   ,  14 426   ,  29 362   ,  15 076   ,  14 567   ,  29 643   ,  15 216   ,  14 707   ,  29 923   ,  15 669   ,  15 157   ,  30 826   ,  15 805   ,  15 295   ,  31 100   ,  15 959   ,  15 449   ,  31 408   ,  16 266   ,  15 751   ,  32 017   ,  16 584   ,  16 064   ,  32 648   ,  16 908   ,  16 381   ,  33 289   ,  17 229   ,  16 693   ,  33 922   ,  17 537   ,  16 991   ,  34 528   
,1,  13 756   ,  13 310   ,  27 066   ,  13 786   ,  13 310   ,  27 096   ,  13 949   ,  13 463   ,  27 412   ,  14 151   ,  13 666   ,  27 817   ,  14 334   ,  13 848   ,  28 182   ,  14 500   ,  14 012   ,  28 512   ,  14 647   ,  14 157   ,  28 804   ,  14 795   ,  14 302   ,  29 097   ,  15 256   ,  14 758   ,  30 014   ,  15 411   ,  14 911   ,  30 322   ,  15 582   ,  15 078   ,  30 660   ,  15 723   ,  15 218   ,  30 941   ,  16 033   ,  15 524   ,  31 557   ,  16 354   ,  15 839   ,  32 193   ,  16 682   ,  16 158   ,  32 840   ,  17 006   ,  16 472   ,  33 478   
,2,  13 290   ,  12 935   ,  26 225   ,  13 627   ,  13 206   ,  26 833   ,  13 661   ,  13 210   ,  26 871   ,  13 825   ,  13 364   ,  27 189   ,  14 029   ,  13 567   ,  27 596   ,  14 213   ,  13 748   ,  27 961   ,  14 367   ,  13 900   ,  28 267   ,  14 518   ,  14 047   ,  28 565   ,  14 977   ,  14 502   ,  29 479   ,  15 142   ,  14 664   ,  29 806   ,  15 326   ,  14 843   ,  30 169   ,  15 479   ,  14 994   ,  30 473   ,  15 623   ,  15 138   ,  30 761   ,  15 934   ,  15 444   ,  31 378   ,  16 258   ,  15 762   ,  32 020   ,  16 587   ,  16 081   ,  32 668   
,3,  12 718   ,  12 456   ,  25 174   ,  13 135   ,  12 791   ,  25 926   ,  13 471   ,  13 061   ,  26 532   ,  13 504   ,  13 065   ,  26 569   ,  13 668   ,  13 217   ,  26 885   ,  13 870   ,  13 416   ,  27 286   ,  14 040   ,  13 582   ,  27 622   ,  14 195   ,  13 734   ,  27 929   ,  14 650   ,  14 183   ,  28 833   ,  14 816   ,  14 346   ,  29 162   ,  15 006   ,  14 531   ,  29 537   ,  15 170   ,  14 692   ,  29 862   ,  15 324   ,  14 844   ,  30 168   ,  15 468   ,  14 987   ,  30 455   ,  15 780   ,  15 292   ,  31 072   ,  16 101   ,  15 605   ,  31 706   
,4,  12 171   ,  11 980   ,  24 151   ,  12 601   ,  12 332   ,  24 933   ,  13 015   ,  12 666   ,  25 681   ,  13 349   ,  12 933   ,  26 282   ,  13 383   ,  12 937   ,  26 320   ,  13 545   ,  13 085   ,  26 630   ,  13 734   ,  13 269   ,  27 003   ,  13 905   ,  13 435   ,  27 340   ,  14 361   ,  13 886   ,  28 247   ,  14 526   ,  14 047   ,  28 573   ,  14 716   ,  14 232   ,  28 948   ,  14 887   ,  14 399   ,  29 286   ,  15 052   ,  14 560   ,  29 612   ,  15 206   ,  14 711   ,  29 917   ,  15 352   ,  14 853   ,  30 205   ,  15 661   ,  15 154   ,  30 815   
,5,  11 539   ,  11 411   ,  22 950   ,  12 073   ,  11 891   ,  23 964   ,  12 500   ,  12 242   ,  24 742   ,  12 912   ,  12 573   ,  25 485   ,  13 244   ,  12 837   ,  26 081   ,  13 278   ,  12 838   ,  26 116   ,  13 427   ,  12 972   ,  26 399   ,  13 616   ,  13 156   ,  26 772   ,  14 084   ,  13 617   ,  27 701   ,  14 254   ,  13 783   ,  28 037   ,  14 442   ,  13 966   ,  28 408   ,  14 614   ,  14 134   ,  28 748   ,  14 785   ,  14 300   ,  29 085   ,  14 949   ,  14 460   ,  29 409   ,  15 104   ,  14 610   ,  29 714   ,  15 249   ,  14 750   ,  29 999   
,6,  10 993   ,  10 888   ,  21 881   ,  11 500   ,  11 375   ,  22 875   ,  12 033   ,  11 854   ,  23 887   ,  12 458   ,  12 203   ,  24 661   ,  12 870   ,  12 532   ,  25 402   ,  13 199   ,  12 792   ,  25 991   ,  13 221   ,  12 780   ,  26 001   ,  13 371   ,  12 915   ,  26 286   ,  13 854   ,  13 391   ,  27 245   ,  14 039   ,  13 570   ,  27 609   ,  14 232   ,  13 758   ,  27 990   ,  14 402   ,  13 924   ,  28 326   ,  14 575   ,  14 091   ,  28 666   ,  14 746   ,  14 257   ,  29 003   ,  14 911   ,  14 416   ,  29 327   ,  15 066   ,  14 564   ,  29 630   
,7,  10 600   ,  10 483   ,  21 083   ,  10 960   ,  10 865   ,  21 825   ,  11 466   ,  11 352   ,  22 818   ,  11 997   ,  11 829   ,  23 826   ,  12 422   ,  12 176   ,  24 598   ,  12 831   ,  12 501   ,  25 332   ,  13 148   ,  12 748   ,  25 896   ,  13 171   ,  12 736   ,  25 907   ,  13 611   ,  13 160   ,  26 771   ,  13 814   ,  13 357   ,  27 171   ,  14 021   ,  13 558   ,  27 579   ,  14 196   ,  13 728   ,  27 924   ,  14 367   ,  13 894   ,  28 261   ,  14 540   ,  14 061   ,  28 601   ,  14 712   ,  14 226   ,  28 938   ,  14 877   ,  14 383   ,  29 260   
