YAADGA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2020,,,2021,,,2022,,,2023,,,2024,,,2025,,,2026,,,2027,,,2028,,,2029,,,2030,,,2031,,,2032,,,2033,,,2034,,,2035,,
, Ages,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,
,,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble
,0,  37 394   ,  36 476   ,  73 870   ,  37 525   ,  36 574   ,  74 099   ,  37 768   ,  36 815   ,  74 583   ,  37 962   ,  37 006   ,  74 968   ,  38 121   ,  37 160   ,  75 281   ,  38 269   ,  37 301   ,  75 570   ,  38 389   ,  37 411   ,  75 800   ,  38 510   ,  37 522   ,  76 032   ,  38 022   ,  37 051   ,  75 073   ,  37 605   ,  36 635   ,  74 240   ,  37 798   ,  36 810   ,  74 608   ,  38 399   ,  37 381   ,  75 780   ,  39 027   ,  37 974   ,  77 001   ,  39 666   ,  38 574   ,  78 240   ,  40 298   ,  39 164   ,  79 462   ,  40 901   ,  39 724   ,  80 625   
,1,  36 595   ,  35 873   ,  72 468   ,  36 400   ,  35 585   ,  71 985   ,  36 560   ,  35 710   ,  72 270   ,  36 831   ,  35 968   ,  72 799   ,  37 055   ,  36 179   ,  73 234   ,  37 242   ,  36 351   ,  73 593   ,  37 386   ,  36 479   ,  73 865   ,  37 537   ,  36 613   ,  74 150   ,  37 111   ,  36 196   ,  73 307   ,  36 756   ,  35 835   ,  72 591   ,  36 993   ,  36 046   ,  73 039   ,  37 207   ,  36 238   ,  73 445   ,  37 820   ,  36 819   ,  74 639   ,  38 461   ,  37 424   ,  75 885   ,  39 114   ,  38 037   ,  77 151   ,  39 758   ,  38 641   ,  78 399   
,2,  35 443   ,  34 982   ,  70 425   ,  36 071   ,  35 426   ,  71 497   ,  35 895   ,  35 158   ,  71 053   ,  36 072   ,  35 295   ,  71 367   ,  36 359   ,  35 566   ,  71 925   ,  36 596   ,  35 787   ,  72 383   ,  36 765   ,  35 939   ,  72 704   ,  36 925   ,  36 082   ,  73 007   ,  36 525   ,  35 689   ,  72 214   ,  36 205   ,  35 361   ,  71 566   ,  36 476   ,  35 606   ,  72 082   ,  36 722   ,  35 826   ,  72 548   ,  36 946   ,  36 027   ,  72 973   ,  37 567   ,  36 616   ,  74 183   ,  38 216   ,  37 230   ,  75 446   ,  38 876   ,  37 852   ,  76 728   
,3,  34 006   ,  33 803   ,  67 809   ,  34 858   ,  34 434   ,  69 292   ,  35 487   ,  34 882   ,  70 369   ,  35 327   ,  34 626   ,  69 953   ,  35 514   ,  34 771   ,  70 285   ,  35 806   ,  35 045   ,  70 851   ,  36 019   ,  35 240   ,  71 259   ,  36 199   ,  35 401   ,  71 600   ,  35 819   ,  35 028   ,  70 847   ,  35 517   ,  34 716   ,  70 233   ,  35 807   ,  34 980   ,  70 787   ,  36 082   ,  35 228   ,  71 310   ,  36 333   ,  35 451   ,  71 784   ,  36 563   ,  35 656   ,  72 219   ,  37 186   ,  36 246   ,  73 432   ,  37 836   ,  36 860   ,  74 696   
,4,  32 629   ,  32 627   ,  65 256   ,  33 527   ,  33 317   ,  66 844   ,  34 378   ,  33 948   ,  68 326   ,  35 011   ,  34 397   ,  69 408   ,  34 865   ,  34 154   ,  69 019   ,  35 059   ,  34 303   ,  69 362   ,  35 327   ,  34 551   ,  69 878   ,  35 550   ,  34 753   ,  70 303   ,  35 205   ,  34 416   ,  69 621   ,  34 913   ,  34 114   ,  69 027   ,  35 209   ,  34 382   ,  69 591   ,  35 502   ,  34 648   ,  70 150   ,  35 781   ,  34 897   ,  70 678   ,  36 037   ,  35 123   ,  71 160   ,  36 273   ,  35 332   ,  71 605   ,  36 897   ,  35 922   ,  72 819   
,5,  31 018   ,  31 192   ,  62 210   ,  32 210   ,  32 242   ,  64 452   ,  33 107   ,  32 931   ,  66 038   ,  33 958   ,  33 561   ,  67 519   ,  34 595   ,  34 013   ,  68 608   ,  34 460   ,  33 777   ,  68 237   ,  34 630   ,  33 902   ,  68 532   ,  34 906   ,  34 155   ,  69 061   ,  34 619   ,  33 874   ,  68 493   ,  34 350   ,  33 594   ,  67 944   ,  34 646   ,  33 862   ,  68 508   ,  34 944   ,  34 132   ,  69 076   ,  35 241   ,  34 399   ,  69 640   ,  35 524   ,  34 650   ,  70 174   ,  35 785   ,  34 880   ,  70 665   ,  36 024   ,  35 091   ,  71 115   
,6,  29 630   ,  29 871   ,  59 501   ,  30 763   ,  30 957   ,  61 720   ,  31 954   ,  32 005   ,  63 959   ,  32 854   ,  32 695   ,  65 549   ,  33 710   ,  33 328   ,  67 038   ,  34 349   ,  33 781   ,  68 130   ,  34 193   ,  33 522   ,  67 715   ,  34 372   ,  33 654   ,  68 026   ,  34 147   ,  33 432   ,  67 579   ,  33 925   ,  33 197   ,  67 122   ,  34 234   ,  33 479   ,  67 713   ,  34 532   ,  33 749   ,  68 281   ,  34 835   ,  34 020   ,  68 855   ,  35 136   ,  34 289   ,  69 425   ,  35 424   ,  34 543   ,  69 967   ,  35 689   ,  34 775   ,  70 464   
,7,  28 654   ,  28 869   ,  57 523   ,  29 403   ,  29 681   ,  59 084   ,  30 535   ,  30 765   ,  61 300   ,  31 727   ,  31 812   ,  63 539   ,  32 630   ,  32 505   ,  65 135   ,  33 487   ,  33 138   ,  66 625   ,  34 100   ,  33 564   ,  67 664   ,  33 954   ,  33 314   ,  67 268   ,  33 641   ,  32 979   ,  66 620   ,  33 476   ,  32 798   ,  66 274   ,  33 823   ,  33 118   ,  66 941   ,  34 135   ,  33 401   ,  67 536   ,  34 437   ,  33 672   ,  68 109   ,  34 743   ,  33 945   ,  68 688   ,  35 050   ,  34 216   ,  69 266   ,  35 341   ,  34 473   ,  69 814   
