"indicateur","sexe","Unit","Date","Value"
"Évolution de l’espérance de vie à la naissance","Homme","Année","1985","48.2"
"Évolution de l’espérance de vie à la naissance","Homme","Année","1991","50.7"
"Évolution de l’espérance de vie à la naissance","Homme","Année","1996","53.5"
"Évolution de l’espérance de vie à la naissance","Homme","Année","2006","55.8"
"Évolution de l’espérance de vie à la naissance","Homme","Année","2019","60"
"Évolution de l’espérance de vie à la naissance","Femme","Année","1985","48.8"
"Évolution de l’espérance de vie à la naissance","Femme","Année","1991","53.2"
"Évolution de l’espérance de vie à la naissance","Femme","Année","1996","54.1"
"Évolution de l’espérance de vie à la naissance","Femme","Année","2006","57.5"
"Évolution de l’espérance de vie à la naissance","Femme","Année","2019","64"
"Évolution de l’espérance de vie à la naissance","Ensemble","Année","1985","48.5"
"Évolution de l’espérance de vie à la naissance","Ensemble","Année","1991","52.2"
"Évolution de l’espérance de vie à la naissance","Ensemble","Année","1996","53.8"
"Évolution de l’espérance de vie à la naissance","Ensemble","Année","2006","56.7"
"Évolution de l’espérance de vie à la naissance","Ensemble","Année","2019","61.9"
