"indicateur","rubriques","Unit","Date","Value"
"Evolution des taux de fécondité par tranche d'âge","15 à 19 ans","‰","1993","154"
"Evolution des taux de fécondité par tranche d'âge","15 à 19 ans","‰","1999","144"
"Evolution des taux de fécondité par tranche d'âge","15 à 19 ans","‰","2003","131"
"Evolution des taux de fécondité par tranche d'âge","15 à 19 ans","‰","2006","127.7"
"Evolution des taux de fécondité par tranche d'âge","15 à 19 ans","‰","2010","130"
"Evolution des taux de fécondité par tranche d'âge","15 à 19 ans","‰","2019","73.4"
"Evolution des taux de fécondité par tranche d'âge","15 à 19 ans","‰","2021","93"
"Evolution des taux de fécondité par tranche d'âge","20 à 24 ans","‰","1993","296"
"Evolution des taux de fécondité par tranche d'âge","20 à 24 ans","‰","1999","305"
"Evolution des taux de fécondité par tranche d'âge","20 à 24 ans","‰","2003","275"
"Evolution des taux de fécondité par tranche d'âge","20 à 24 ans","‰","2006","277.1"
"Evolution des taux de fécondité par tranche d'âge","20 à 24 ans","‰","2010","264"
"Evolution des taux de fécondité par tranche d'âge","20 à 24 ans","‰","2019","213.7"
"Evolution des taux de fécondité par tranche d'âge","20 à 24 ans","‰","2021","191"
"Evolution des taux de fécondité par tranche d'âge","25 à 29 ans","‰","1993","292"
"Evolution des taux de fécondité par tranche d'âge","25 à 29 ans","‰","1999","293"
"Evolution des taux de fécondité par tranche d'âge","25 à 29 ans","‰","2003","271"
"Evolution des taux de fécondité par tranche d'âge","25 à 29 ans","‰","2006","280.2"
"Evolution des taux de fécondité par tranche d'âge","25 à 29 ans","‰","2010","269"
"Evolution des taux de fécondité par tranche d'âge","25 à 29 ans","‰","2019","241"
"Evolution des taux de fécondité par tranche d'âge","25 à 29 ans","‰","2021","206"
"Evolution des taux de fécondité par tranche d'âge","30 à 34 ans","‰","1993","258"
"Evolution des taux de fécondité par tranche d'âge","30 à 34 ans","‰","1999","264"
"Evolution des taux de fécondité par tranche d'âge","30 à 34 ans","‰","2003","241"
"Evolution des taux de fécondité par tranche d'âge","30 à 34 ans","‰","2006","240.6"
"Evolution des taux de fécondité par tranche d'âge","30 à 34 ans","‰","2010","237"
"Evolution des taux de fécondité par tranche d'âge","30 à 34 ans","‰","2019","215.1"
"Evolution des taux de fécondité par tranche d'âge","30 à 34 ans","‰","2021","181"
"Evolution des taux de fécondité par tranche d'âge","35 à 39 ans","‰","1993","220"
"Evolution des taux de fécondité par tranche d'âge","35 à 39 ans","‰","1999","214"
"Evolution des taux de fécondité par tranche d'âge","35 à 39 ans","‰","2003","181"
"Evolution des taux de fécondité par tranche d'âge","35 à 39 ans","‰","2006","182"
"Evolution des taux de fécondité par tranche d'âge","35 à 39 ans","‰","2010","189"
"Evolution des taux de fécondité par tranche d'âge","35 à 39 ans","‰","2019","173.1"
"Evolution des taux de fécondité par tranche d'âge","35 à 39 ans","‰","2021","135"
"Evolution des taux de fécondité par tranche d'âge","40 à 44 ans","‰","1993","111"
"Evolution des taux de fécondité par tranche d'âge","40 à 44 ans","‰","1999","112"
"Evolution des taux de fécondité par tranche d'âge","40 à 44 ans","‰","2003","106"
"Evolution des taux de fécondité par tranche d'âge","40 à 44 ans","‰","2006","93.4"
"Evolution des taux de fécondité par tranche d'âge","40 à 44 ans","‰","2010","87"
"Evolution des taux de fécondité par tranche d'âge","40 à 44 ans","‰","2019","97.7"
"Evolution des taux de fécondité par tranche d'âge","40 à 44 ans","‰","2021","63"
"Evolution des taux de fécondité par tranche d'âge","45 à 49 ans","‰","1993","50"
"Evolution des taux de fécondité par tranche d'âge","45 à 49 ans","‰","1999","28"
"Evolution des taux de fécondité par tranche d'âge","45 à 49 ans","‰","2003","42"
"Evolution des taux de fécondité par tranche d'âge","45 à 49 ans","‰","2006","40.1"
"Evolution des taux de fécondité par tranche d'âge","45 à 49 ans","‰","2010","23"
"Evolution des taux de fécondité par tranche d'âge","45 à 49 ans","‰","2019","62.9"
"Evolution des taux de fécondité par tranche d'âge","45 à 49 ans","‰","2021","20"
"Evolution des taux de fécondité par tranche d'âge","Indice synthétique de fécondité (15 à 49 ans)","Enfants/Femme","1993","6.9"
"Evolution des taux de fécondité par tranche d'âge","Indice synthétique de fécondité (15 à 49 ans)","Enfants/Femme","1999","6.8"
"Evolution des taux de fécondité par tranche d'âge","Indice synthétique de fécondité (15 à 49 ans)","Enfants/Femme","2003","6.2"
"Evolution des taux de fécondité par tranche d'âge","Indice synthétique de fécondité (15 à 49 ans)","Enfants/Femme","2006","6.2"
"Evolution des taux de fécondité par tranche d'âge","Indice synthétique de fécondité (15 à 49 ans)","Enfants/Femme","2010","6"
"Evolution des taux de fécondité par tranche d'âge","Indice synthétique de fécondité (15 à 49 ans)","Enfants/Femme","2019","5.4"
"Evolution des taux de fécondité par tranche d'âge","Indice synthétique de fécondité (15 à 49 ans)","Enfants/Femme","2021","4.4"
