"indicateur","rubriques","Unit","Date","Value"
"Évolution des quotients de mortalité infantile, juvénile et infanto-juvénile","Quotient de mortalité infantile","‰","1960","182"
"Évolution des quotients de mortalité infantile, juvénile et infanto-juvénile","Quotient de mortalité infantile","‰","1975","167"
"Évolution des quotients de mortalité infantile, juvénile et infanto-juvénile","Quotient de mortalité infantile","‰","1985","134"
"Évolution des quotients de mortalité infantile, juvénile et infanto-juvénile","Quotient de mortalité infantile","‰","1991","114.6"
"Évolution des quotients de mortalité infantile, juvénile et infanto-juvénile","Quotient de mortalité infantile","‰","1993","93.7"
"Évolution des quotients de mortalité infantile, juvénile et infanto-juvénile","Quotient de mortalité infantile","‰","1996","107"
"Évolution des quotients de mortalité infantile, juvénile et infanto-juvénile","Quotient de mortalité infantile","‰","1999","105.3"
"Évolution des quotients de mortalité infantile, juvénile et infanto-juvénile","Quotient de mortalité infantile","‰","2003","81"
"Évolution des quotients de mortalité infantile, juvénile et infanto-juvénile","Quotient de mortalité infantile","‰","2006","91.7"
"Évolution des quotients de mortalité infantile, juvénile et infanto-juvénile","Quotient de mortalité infantile","‰","2010","65"
"Évolution des quotients de mortalité infantile, juvénile et infanto-juvénile","Quotient de mortalité infantile","‰","2019","55.9"
"Évolution des quotients de mortalité infantile, juvénile et infanto-juvénile","Quotient de mortalité infantile","‰","2021","30"
"Évolution des quotients de mortalité infantile, juvénile et infanto-juvénile","Quotient de mortalité juvénile","‰","1960","217"
"Évolution des quotients de mortalité infantile, juvénile et infanto-juvénile","Quotient de mortalité juvénile","‰","1975","123"
"Évolution des quotients de mortalité infantile, juvénile et infanto-juvénile","Quotient de mortalité juvénile","‰","1985","95"
"Évolution des quotients de mortalité infantile, juvénile et infanto-juvénile","Quotient de mortalité juvénile","‰","1991","79.4"
"Évolution des quotients de mortalité infantile, juvénile et infanto-juvénile","Quotient de mortalité juvénile","‰","1993","103"
"Évolution des quotients de mortalité infantile, juvénile et infanto-juvénile","Quotient de mortalité juvénile","‰","1996","75.1"
"Évolution des quotients de mortalité infantile, juvénile et infanto-juvénile","Quotient de mortalité juvénile","‰","1999","127.1"
"Évolution des quotients de mortalité infantile, juvénile et infanto-juvénile","Quotient de mortalité juvénile","‰","2003","111"
"Évolution des quotients de mortalité infantile, juvénile et infanto-juvénile","Quotient de mortalité juvénile","‰","2006","55.3"
"Évolution des quotients de mortalité infantile, juvénile et infanto-juvénile","Quotient de mortalité juvénile","‰","2010","68"
"Évolution des quotients de mortalité infantile, juvénile et infanto-juvénile","Quotient de mortalité juvénile","‰","2019","33.3"
"Évolution des quotients de mortalité infantile, juvénile et infanto-juvénile","Quotient de mortalité juvénile","‰","2021","18"
"Évolution des quotients de mortalité infantile, juvénile et infanto-juvénile","Quotient de mortalité Infanto-Juvénile","‰","1960","360"
"Évolution des quotients de mortalité infantile, juvénile et infanto-juvénile","Quotient de mortalité Infanto-Juvénile","‰","1975","269"
"Évolution des quotients de mortalité infantile, juvénile et infanto-juvénile","Quotient de mortalité Infanto-Juvénile","‰","1985","216.2"
"Évolution des quotients de mortalité infantile, juvénile et infanto-juvénile","Quotient de mortalité Infanto-Juvénile","‰","1991","184.9"
"Évolution des quotients de mortalité infantile, juvénile et infanto-juvénile","Quotient de mortalité Infanto-Juvénile","‰","1993","187"
"Évolution des quotients de mortalité infantile, juvénile et infanto-juvénile","Quotient de mortalité Infanto-Juvénile","‰","1996","174.2"
"Évolution des quotients de mortalité infantile, juvénile et infanto-juvénile","Quotient de mortalité Infanto-Juvénile","‰","1999","219.1"
"Évolution des quotients de mortalité infantile, juvénile et infanto-juvénile","Quotient de mortalité Infanto-Juvénile","‰","2003","184"
"Évolution des quotients de mortalité infantile, juvénile et infanto-juvénile","Quotient de mortalité Infanto-Juvénile","‰","2006","141.9"
"Évolution des quotients de mortalité infantile, juvénile et infanto-juvénile","Quotient de mortalité Infanto-Juvénile","‰","2010","129"
"Évolution des quotients de mortalité infantile, juvénile et infanto-juvénile","Quotient de mortalité Infanto-Juvénile","‰","2019","87.3"
"Évolution des quotients de mortalité infantile, juvénile et infanto-juvénile","Quotient de mortalité Infanto-Juvénile","‰","2021","48"
