"indicateur","region","Unit","Date","Value"
"Effectif des réfugiés au Burkina Faso par région administrative","TOTAL","Nombre","2019","25902"
"Effectif des réfugiés au Burkina Faso par région administrative","TOTAL","Nombre","2020","20284"
"Effectif des réfugiés au Burkina Faso par région administrative","TOTAL","Nombre","2021","25042"
"Effectif des réfugiés au Burkina Faso par région administrative","TOTAL","Nombre","2022","34932"
"Effectif des réfugiés au Burkina Faso par région administrative","TOTAL","Nombre","2023","38884"
"Effectif des réfugiés au Burkina Faso par région administrative","TOTAL","Nombre","2024","41411"
"Effectif des réfugiés au Burkina Faso par région administrative","TOTAL","Nombre","2025","42962"
"Effectif des réfugiés au Burkina Faso par région administrative","SAHEL","Nombre","2019","24643"
"Effectif des réfugiés au Burkina Faso par région administrative","SAHEL","Nombre","2020","17958"
"Effectif des réfugiés au Burkina Faso par région administrative","SAHEL","Nombre","2021","21172"
"Effectif des réfugiés au Burkina Faso par région administrative","SAHEL","Nombre","2022","26133"
"Effectif des réfugiés au Burkina Faso par région administrative","SAHEL","Nombre","2023","27522"
"Effectif des réfugiés au Burkina Faso par région administrative","SAHEL","Nombre","2024","228114"
"Effectif des réfugiés au Burkina Faso par région administrative","SAHEL","Nombre","2025","28832"
"Effectif des réfugiés au Burkina Faso par région administrative","NORD","Nombre","2019","1"
"Effectif des réfugiés au Burkina Faso par région administrative","NORD","Nombre","2020","1"
"Effectif des réfugiés au Burkina Faso par région administrative","NORD","Nombre","2021","885"
"Effectif des réfugiés au Burkina Faso par région administrative","NORD","Nombre","2022","2402"
"Effectif des réfugiés au Burkina Faso par région administrative","NORD","Nombre","2023","3071"
"Effectif des réfugiés au Burkina Faso par région administrative","NORD","Nombre","2024","3308"
"Effectif des réfugiés au Burkina Faso par région administrative","NORD","Nombre","2025","3421"
"Effectif des réfugiés au Burkina Faso par région administrative","CENTRE NORD","Nombre","2019","13"
"Effectif des réfugiés au Burkina Faso par région administrative","CENTRE NORD","Nombre","2021","0"
"Effectif des réfugiés au Burkina Faso par région administrative","CENTRE NORD","Nombre","2022","0"
"Effectif des réfugiés au Burkina Faso par région administrative","CENTRE NORD","Nombre","2023","0"
"Effectif des réfugiés au Burkina Faso par région administrative","CENTRE NORD","Nombre","2024","0"
"Effectif des réfugiés au Burkina Faso par région administrative","CENTRE NORD","Nombre","2025","0"
"Effectif des réfugiés au Burkina Faso par région administrative","CENTRE","Nombre","2019","721"
"Effectif des réfugiés au Burkina Faso par région administrative","CENTRE","Nombre","2020","1774"
"Effectif des réfugiés au Burkina Faso par région administrative","CENTRE","Nombre","2021","1746"
"Effectif des réfugiés au Burkina Faso par région administrative","CENTRE","Nombre","2022","3851"
"Effectif des réfugiés au Burkina Faso par région administrative","CENTRE","Nombre","2023","4511"
"Effectif des réfugiés au Burkina Faso par région administrative","CENTRE","Nombre","2024","4636"
"Effectif des réfugiés au Burkina Faso par région administrative","CENTRE","Nombre","2025","4869"
