"indicateur","region","rubrique","Unit","Date","Value"
"Dépenses moyennes par région","Boucle du Mouhoun","Dépenses totales (milliards CFA)","FCFA","2009","257000000000"
"Dépenses moyennes par région","Boucle du Mouhoun","Dépenses totales (milliards CFA)","FCFA","2018","446365618791.7"
"Dépenses moyennes par région","Boucle du Mouhoun","Dépenses annuelles moyennes par ménage","FCFA par ménage","2009","1283536"
"Dépenses moyennes par région","Boucle du Mouhoun","Dépenses annuelles moyennes par ménage","FCFA par ménage","2018","1625162.9"
"Dépenses moyennes par région","Boucle du Mouhoun","Dépenses annuelles moyennes par tête","FCFA par tête","2009","166567"
"Dépenses moyennes par région","Boucle du Mouhoun","Dépenses annuelles moyennes par tête","FCFA par tête","2018","267746.2"
"Dépenses moyennes par région","Boucle du Mouhoun","Dépenses mensuelles moyennes par tête","FCFA par tête","2009","13881"
"Dépenses moyennes par région","Boucle du Mouhoun","Dépenses mensuelles moyennes par tête","FCFA par tête","2018","22312.1833333333"
"Dépenses moyennes par région","Cascades","Dépenses totales (milliards CFA)","FCFA","2018","283123830172.9"
"Dépenses moyennes par région","Cascades","Dépenses annuelles moyennes par ménage","FCFA par ménage","2009","1432538"
"Dépenses moyennes par région","Cascades","Dépenses annuelles moyennes par ménage","FCFA par ménage","2018","2300940.5"
"Dépenses moyennes par région","Cascades","Dépenses annuelles moyennes par tête","FCFA par tête","2009","212912"
"Dépenses moyennes par région","Cascades","Dépenses annuelles moyennes par tête","FCFA par tête","2018","427245.6"
"Dépenses moyennes par région","Cascades","Dépenses mensuelles moyennes par tête","FCFA par tête","2009","17743"
"Dépenses moyennes par région","Cascades","Dépenses mensuelles moyennes par tête","FCFA par tête","2018","35603.8"
"Dépenses moyennes par région","Centre","Dépenses totales (milliards CFA)","FCFA","2009","547200000000"
"Dépenses moyennes par région","Centre","Dépenses totales (milliards CFA)","FCFA","2018","2200000000000"
"Dépenses moyennes par région","Centre","Dépenses annuelles moyennes par ménage","FCFA par ménage","2009","1416867"
"Dépenses moyennes par région","Centre","Dépenses annuelles moyennes par ménage","FCFA par ménage","2018","3977595.7"
"Dépenses moyennes par région","Centre","Dépenses annuelles moyennes par tête","FCFA par tête","2009","280104"
"Dépenses moyennes par région","Centre","Dépenses annuelles moyennes par tête","FCFA par tête","2018","1025075"
"Dépenses moyennes par région","Centre","Dépenses mensuelles moyennes par tête","FCFA par tête","2009","23342"
"Dépenses moyennes par région","Centre","Dépenses mensuelles moyennes par tête","FCFA par tête","2018","85422.9166666667"
"Dépenses moyennes par région","Centre-Est","Dépenses totales (milliards CFA)","FCFA","2009","191000000000"
"Dépenses moyennes par région","Centre-Est","Dépenses totales (milliards CFA)","FCFA","2018","368924238118.6"
