"indicateur","rubrique","Unit","Date","Value"
"Evolution des indices de pauvreté","Seuil de pauvreté","FCFA","1994","41099"
"Evolution des indices de pauvreté","Seuil de pauvreté","FCFA","1998","72690"
"Evolution des indices de pauvreté","Seuil de pauvreté","FCFA","2003","82672"
"Evolution des indices de pauvreté","Seuil de pauvreté","FCFA","2009","130735"
"Evolution des indices de pauvreté","Seuil de pauvreté","FCFA","2014","153530"
"Evolution des indices de pauvreté","Seuil de pauvreté","FCFA","2018","164955"
"Evolution des indices de pauvreté","Seuil de pauvreté","FCFA","2021","247806"
"Evolution des indices de pauvreté","Incidence P0","%","1994","44.5"
"Evolution des indices de pauvreté","Incidence P0","%","1998","45.3"
"Evolution des indices de pauvreté","Incidence P0","%","2003","46.4"
"Evolution des indices de pauvreté","Incidence P0","%","2009","46.7"
"Evolution des indices de pauvreté","Incidence P0","%","2014","40.1"
"Evolution des indices de pauvreté","Incidence P0","%","2018","36.2"
"Evolution des indices de pauvreté","Incidence P0","%","2021","43.2"
"Evolution des indices de pauvreté","Profondeur P1","%","1994","13.9"
"Evolution des indices de pauvreté","Profondeur P1","%","1998","13.7"
"Evolution des indices de pauvreté","Profondeur P1","%","2003","15.6"
"Evolution des indices de pauvreté","Profondeur P1","%","2009","15.1"
"Evolution des indices de pauvreté","Profondeur P1","%","2014","9.7"
"Evolution des indices de pauvreté","Profondeur P1","%","2018","12.3"
"Evolution des indices de pauvreté","Profondeur P1","%","2021","13"
"Evolution des indices de pauvreté","Sévérité P2","%","1994","6"
"Evolution des indices de pauvreté","Sévérité P2","%","1998","5.9"
"Evolution des indices de pauvreté","Sévérité P2","%","2003","7.1"
"Evolution des indices de pauvreté","Sévérité P2","%","2009","6.7"
"Evolution des indices de pauvreté","Sévérité P2","%","2014","3.3"
"Evolution des indices de pauvreté","Sévérité P2","%","2018","5"
"Evolution des indices de pauvreté","Sévérité P2","%","2021","5.4"
