"indicateur","rubrique","milieu","Unit","Date","Value"
"Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté","Incidence de pauvreté (AA_PO)","Milieu rural","%","2003","19.9"
"Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté","Incidence de pauvreté (AA_PO)","Milieu urbain","%","2003","52.3"
"Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté","Incidence de pauvreté (AA_PO)","Ensemble","%","2003","46.4"
"Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté","Incidence de pauvreté (AA_CTR)","Milieu rural","%","2003","7.8"
"Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté","Incidence de pauvreté (AA_CTR)","Milieu urbain","%","2003","92.2"
"Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté","Incidence de pauvreté (AA_CTR)","Ensemble","%","2003","100"
"Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté","Profondeur de pauvreté (AA_P1)","Milieu rural","%","2003","5.5"
"Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté","Profondeur de pauvreté (AA_P1)","Milieu urbain","%","2003","17.9"
"Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté","Profondeur de pauvreté (AA_P1)","Ensemble","%","2003","15.6"
"Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté","Profondeur de pauvreté (AA_CTR)","Milieu rural","%","2003","6.4"
"Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté","Profondeur de pauvreté (AA_CTR)","Milieu urbain","%","2003","93.6"
"Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté","Profondeur de pauvreté (AA_CTR)","Ensemble","%","2003","100"
"Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté","Sévérité de pauvreté (AA_P2)","Milieu rural","%","2003","2.2"
"Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté","Sévérité de pauvreté (AA_P2)","Milieu urbain","%","2003","8.2"
