"indicateur","rubrique","region","Unit","Date","Value"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Incidence de pauvreté (AA_PO)","Burkina Faso","%","2003","46.4"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Incidence de pauvreté (AA_PO)","Boucle du Mouhoun","%","2003","60.4"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Incidence de pauvreté (AA_PO)","Cascades","%","2003","39.1"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Incidence de pauvreté (AA_PO)","Centre","%","2003","22.3"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Incidence de pauvreté (AA_PO)","Centre-Est","%","2003","55.1"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Incidence de pauvreté (AA_PO)","Centre-Nord","%","2003","34"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Incidence de pauvreté (AA_PO)","Centre-Ouest","%","2003","41.3"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Incidence de pauvreté (AA_PO)","Centre-Sud","%","2003","66.1"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Incidence de pauvreté (AA_PO)","Est","%","2003","40.9"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Incidence de pauvreté (AA_PO)","Hauts-Bassins","%","2003","34.8"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Incidence de pauvreté (AA_PO)","Nord","%","2003","68.6"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Incidence de pauvreté (AA_PO)","Plateau Central","%","2003","58.6"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Incidence de pauvreté (AA_PO)","Sahel","%","2003","37.2"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Incidence de pauvreté (AA_PO)","Sud-Ouest","%","2003","56.6"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Incidence de pauvreté (AA_CTR)","Burkina Faso","%","2003","100"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Incidence de pauvreté (AA_CTR)","Boucle du Mouhoun","%","2003","15.9"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Incidence de pauvreté (AA_CTR)","Cascades","%","2003","3.1"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Incidence de pauvreté (AA_CTR)","Centre","%","2003","4.9"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Incidence de pauvreté (AA_CTR)","Centre-Est","%","2003","9.8"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Incidence de pauvreté (AA_CTR)","Centre-Nord","%","2003","6"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Incidence de pauvreté (AA_CTR)","Centre-Ouest","%","2003","7.7"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Incidence de pauvreté (AA_CTR)","Centre-Sud","%","2003","6.1"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Incidence de pauvreté (AA_CTR)","Est","%","2003","7.5"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Incidence de pauvreté (AA_CTR)","Hauts-Bassins","%","2003","8.1"
