"indicateur","rubriques","région","Unit","Date","Value"
"Pourcentage des ménages disposant de certains  biens par région","Bicyclette","Boucle du Mouhoun","%","2003","89.9"
"Pourcentage des ménages disposant de certains  biens par région","Bicyclette","Boucle du Mouhoun","%","2005","88.6363906860352"
"Pourcentage des ménages disposant de certains  biens par région","Bicyclette","Boucle du Mouhoun","%","2007","90.6"
"Pourcentage des ménages disposant de certains  biens par région","Bicyclette","Boucle du Mouhoun","%","2018","93"
"Pourcentage des ménages disposant de certains  biens par région","Bicyclette","Cascades","%","2003","90.8"
"Pourcentage des ménages disposant de certains  biens par région","Bicyclette","Cascades","%","2005","93.0461502075195"
"Pourcentage des ménages disposant de certains  biens par région","Bicyclette","Cascades","%","2007","86.9"
"Pourcentage des ménages disposant de certains  biens par région","Bicyclette","Cascades","%","2018","75.4"
"Pourcentage des ménages disposant de certains  biens par région","Bicyclette","Centre","%","2003","73.4"
"Pourcentage des ménages disposant de certains  biens par région","Bicyclette","Centre","%","2005","75.987663269043"
"Pourcentage des ménages disposant de certains  biens par région","Bicyclette","Centre","%","2007","71.6"
"Pourcentage des ménages disposant de certains  biens par région","Bicyclette","Centre","%","2018","61.4"
"Pourcentage des ménages disposant de certains  biens par région","Bicyclette","Centre-Est","%","2003","82.8"
"Pourcentage des ménages disposant de certains  biens par région","Bicyclette","Centre-Est","%","2005","84.7"
"Pourcentage des ménages disposant de certains  biens par région","Bicyclette","Centre-Est","%","2007","81.4"
"Pourcentage des ménages disposant de certains  biens par région","Bicyclette","Centre-Est","%","2018","91.3"
"Pourcentage des ménages disposant de certains  biens par région","Bicyclette","Centre-Nord","%","2003","84.9"
"Pourcentage des ménages disposant de certains  biens par région","Bicyclette","Centre-Nord","%","2005","65.6"
"Pourcentage des ménages disposant de certains  biens par région","Bicyclette","Centre-Nord","%","2007","86.6"
"Pourcentage des ménages disposant de certains  biens par région","Bicyclette","Centre-Nord","%","2018","83.4"
"Pourcentage des ménages disposant de certains  biens par région","Bicyclette","Centre-Ouest","%","2003","80"
"Pourcentage des ménages disposant de certains  biens par région","Bicyclette","Centre-Ouest","%","2005","87.7"
"Pourcentage des ménages disposant de certains  biens par région","Bicyclette","Centre-Ouest","%","2007","80.7"
"Pourcentage des ménages disposant de certains  biens par région","Bicyclette","Centre-Ouest","%","2018","89.3"
"Pourcentage des ménages disposant de certains  biens par région","Bicyclette","Centre-Sud","%","2003","78.7"
"Pourcentage des ménages disposant de certains  biens par région","Bicyclette","Centre-Sud","%","2005","88.5"
"Pourcentage des ménages disposant de certains  biens par région","Bicyclette","Centre-Sud","%","2007","86.6"
"Pourcentage des ménages disposant de certains  biens par région","Bicyclette","Centre-Sud","%","2018","91.2"
"Pourcentage des ménages disposant de certains  biens par région","Bicyclette","Est","%","2003","86.7"
"Pourcentage des ménages disposant de certains  biens par région","Bicyclette","Est","%","2005","93.6"
"Pourcentage des ménages disposant de certains  biens par région","Bicyclette","Est","%","2007","91.2"
"Pourcentage des ménages disposant de certains  biens par région","Bicyclette","Est","%","2018","89.8"
"Pourcentage des ménages disposant de certains  biens par région","Bicyclette","Hauts-Bassins","%","2003","74.6"
"Pourcentage des ménages disposant de certains  biens par région","Bicyclette","Hauts-Bassins","%","2005","78.8"
"Pourcentage des ménages disposant de certains  biens par région","Bicyclette","Hauts-Bassins","%","2007","81.9"
"Pourcentage des ménages disposant de certains  biens par région","Bicyclette","Hauts-Bassins","%","2018","63.7"
"Pourcentage des ménages disposant de certains  biens par région","Bicyclette","Nord","%","2003","80.1"
"Pourcentage des ménages disposant de certains  biens par région","Bicyclette","Nord","%","2005","90"
"Pourcentage des ménages disposant de certains  biens par région","Bicyclette","Nord","%","2007","84.9"
"Pourcentage des ménages disposant de certains  biens par région","Bicyclette","Nord","%","2018","82.9"
"Pourcentage des ménages disposant de certains  biens par région","Bicyclette","Plateau Central","%","2003","86.5"
"Pourcentage des ménages disposant de certains  biens par région","Bicyclette","Plateau Central","%","2005","96.8"
"Pourcentage des ménages disposant de certains  biens par région","Bicyclette","Plateau Central","%","2007","90.9"
"Pourcentage des ménages disposant de certains  biens par région","Bicyclette","Plateau Central","%","2018","90.4"
"Pourcentage des ménages disposant de certains  biens par région","Bicyclette","Sahel","%","2003","60.2"
"Pourcentage des ménages disposant de certains  biens par région","Bicyclette","Sahel","%","2005","60.5"
"Pourcentage des ménages disposant de certains  biens par région","Bicyclette","Sahel","%","2007","60.3"
"Pourcentage des ménages disposant de certains  biens par région","Bicyclette","Sahel","%","2018","40"
"Pourcentage des ménages disposant de certains  biens par région","Bicyclette","Sud-Ouest","%","2003","73.9"
"Pourcentage des ménages disposant de certains  biens par région","Bicyclette","Sud-Ouest","%","2005","79.8"
"Pourcentage des ménages disposant de certains  biens par région","Bicyclette","Sud-Ouest","%","2007","79.6"
"Pourcentage des ménages disposant de certains  biens par région","Bicyclette","Sud-Ouest","%","2018","79"
"Pourcentage des ménages disposant de certains  biens par région","Bicyclette","Burkina Faso","%","2003","79.7"
"Pourcentage des ménages disposant de certains  biens par région","Bicyclette","Burkina Faso","%","2005","82.4"
"Pourcentage des ménages disposant de certains  biens par région","Bicyclette","Burkina Faso","%","2007","82"
"Pourcentage des ménages disposant de certains  biens par région","Bicyclette","Burkina Faso","%","2018","76.7"
"Pourcentage des ménages disposant de certains  biens par région","Mobylette","Boucle du Mouhoun","%","2003","20.3"
"Pourcentage des ménages disposant de certains  biens par région","Mobylette","Boucle du Mouhoun","%","2005","22.7"
"Pourcentage des ménages disposant de certains  biens par région","Mobylette","Boucle du Mouhoun","%","2007","35"
"Pourcentage des ménages disposant de certains  biens par région","Mobylette","Boucle du Mouhoun","%","2018","64"
"Pourcentage des ménages disposant de certains  biens par région","Mobylette","Cascades","%","2003","41"
"Pourcentage des ménages disposant de certains  biens par région","Mobylette","Cascades","%","2005","53.8"
"Pourcentage des ménages disposant de certains  biens par région","Mobylette","Cascades","%","2007","50.2"
"Pourcentage des ménages disposant de certains  biens par région","Mobylette","Cascades","%","2018","70.1"
"Pourcentage des ménages disposant de certains  biens par région","Mobylette","Centre","%","2003","54.2"
"Pourcentage des ménages disposant de certains  biens par région","Mobylette","Centre","%","2005","62.8"
"Pourcentage des ménages disposant de certains  biens par région","Mobylette","Centre","%","2007","62.1"
"Pourcentage des ménages disposant de certains  biens par région","Mobylette","Centre","%","2018","82.8"
"Pourcentage des ménages disposant de certains  biens par région","Mobylette","Centre-Est","%","2003","11.9"
"Pourcentage des ménages disposant de certains  biens par région","Mobylette","Centre-Est","%","2005","14.4"
"Pourcentage des ménages disposant de certains  biens par région","Mobylette","Centre-Est","%","2007","18.1"
"Pourcentage des ménages disposant de certains  biens par région","Mobylette","Centre-Est","%","2018","51.4"
"Pourcentage des ménages disposant de certains  biens par région","Mobylette","Centre-Nord","%","2003","14.7"
"Pourcentage des ménages disposant de certains  biens par région","Mobylette","Centre-Nord","%","2005","13"
"Pourcentage des ménages disposant de certains  biens par région","Mobylette","Centre-Nord","%","2007","21.1"
"Pourcentage des ménages disposant de certains  biens par région","Mobylette","Centre-Nord","%","2018","52.1"
"Pourcentage des ménages disposant de certains  biens par région","Mobylette","Centre-Ouest","%","2003","22"
"Pourcentage des ménages disposant de certains  biens par région","Mobylette","Centre-Ouest","%","2005","32.4"
"Pourcentage des ménages disposant de certains  biens par région","Mobylette","Centre-Ouest","%","2007","34.4"
"Pourcentage des ménages disposant de certains  biens par région","Mobylette","Centre-Ouest","%","2018","48.8"
"Pourcentage des ménages disposant de certains  biens par région","Mobylette","Centre-Sud","%","2003","6.9"
"Pourcentage des ménages disposant de certains  biens par région","Mobylette","Centre-Sud","%","2005","12.8"
"Pourcentage des ménages disposant de certains  biens par région","Mobylette","Centre-Sud","%","2007","18.1"
"Pourcentage des ménages disposant de certains  biens par région","Mobylette","Centre-Sud","%","2018","41.9"
"Pourcentage des ménages disposant de certains  biens par région","Mobylette","Est","%","2003","11.7"
"Pourcentage des ménages disposant de certains  biens par région","Mobylette","Est","%","2005","19.9"
"Pourcentage des ménages disposant de certains  biens par région","Mobylette","Est","%","2007","21.3"
"Pourcentage des ménages disposant de certains  biens par région","Mobylette","Est","%","2018","47.3"
"Pourcentage des ménages disposant de certains  biens par région","Mobylette","Hauts-Bassins","%","2003","39.6"
"Pourcentage des ménages disposant de certains  biens par région","Mobylette","Hauts-Bassins","%","2005","46.3"
"Pourcentage des ménages disposant de certains  biens par région","Mobylette","Hauts-Bassins","%","2007","42.6"
"Pourcentage des ménages disposant de certains  biens par région","Mobylette","Hauts-Bassins","%","2018","64.6"
"Pourcentage des ménages disposant de certains  biens par région","Mobylette","Nord","%","2003","19.6"
"Pourcentage des ménages disposant de certains  biens par région","Mobylette","Nord","%","2005","30.2"
"Pourcentage des ménages disposant de certains  biens par région","Mobylette","Nord","%","2007","32.4"
"Pourcentage des ménages disposant de certains  biens par région","Mobylette","Nord","%","2018","47.5"
"Pourcentage des ménages disposant de certains  biens par région","Mobylette","Plateau Central","%","2003","19"
"Pourcentage des ménages disposant de certains  biens par région","Mobylette","Plateau Central","%","2005","30.7"
"Pourcentage des ménages disposant de certains  biens par région","Mobylette","Plateau Central","%","2007","28.5"
"Pourcentage des ménages disposant de certains  biens par région","Mobylette","Plateau Central","%","2018","57.4"
"Pourcentage des ménages disposant de certains  biens par région","Mobylette","Sahel","%","2003","7.7"
"Pourcentage des ménages disposant de certains  biens par région","Mobylette","Sahel","%","2005","17.9"
"Pourcentage des ménages disposant de certains  biens par région","Mobylette","Sahel","%","2007","20.8"
"Pourcentage des ménages disposant de certains  biens par région","Mobylette","Sahel","%","2018","31"
"Pourcentage des ménages disposant de certains  biens par région","Mobylette","Sud-Ouest","%","2003","9.3"
"Pourcentage des ménages disposant de certains  biens par région","Mobylette","Sud-Ouest","%","2005","13.2"
"Pourcentage des ménages disposant de certains  biens par région","Mobylette","Sud-Ouest","%","2007","11.9"
"Pourcentage des ménages disposant de certains  biens par région","Mobylette","Sud-Ouest","%","2018","43"
"Pourcentage des ménages disposant de certains  biens par région","Mobylette","Burkina Faso","%","2003","23"
"Pourcentage des ménages disposant de certains  biens par région","Mobylette","Burkina Faso","%","2005","30"
"Pourcentage des ménages disposant de certains  biens par région","Mobylette","Burkina Faso","%","2007","32.4"
"Pourcentage des ménages disposant de certains  biens par région","Mobylette","Burkina Faso","%","2018","57.3"
"Pourcentage des ménages disposant de certains  biens par région","Voiture","Boucle du Mouhoun","%","2003","0.7"
"Pourcentage des ménages disposant de certains  biens par région","Voiture","Boucle du Mouhoun","%","2005","1"
"Pourcentage des ménages disposant de certains  biens par région","Voiture","Boucle du Mouhoun","%","2007","1.2"
"Pourcentage des ménages disposant de certains  biens par région","Voiture","Boucle du Mouhoun","%","2018","1.2"
"Pourcentage des ménages disposant de certains  biens par région","Voiture","Cascades","%","2003","1.1"
"Pourcentage des ménages disposant de certains  biens par région","Voiture","Cascades","%","2005","1"
"Pourcentage des ménages disposant de certains  biens par région","Voiture","Cascades","%","2007","2.5"
"Pourcentage des ménages disposant de certains  biens par région","Voiture","Cascades","%","2018","1.4"
"Pourcentage des ménages disposant de certains  biens par région","Voiture","Centre","%","2003","12.2"
"Pourcentage des ménages disposant de certains  biens par région","Voiture","Centre","%","2005","14.4"
"Pourcentage des ménages disposant de certains  biens par région","Voiture","Centre","%","2007","13.1"
"Pourcentage des ménages disposant de certains  biens par région","Voiture","Centre","%","2018","17.1"
"Pourcentage des ménages disposant de certains  biens par région","Voiture","Centre-Est","%","2003","1.2"
"Pourcentage des ménages disposant de certains  biens par région","Voiture","Centre-Est","%","2005","3.2"
"Pourcentage des ménages disposant de certains  biens par région","Voiture","Centre-Est","%","2007","1.6"
"Pourcentage des ménages disposant de certains  biens par région","Voiture","Centre-Est","%","2018","1"
"Pourcentage des ménages disposant de certains  biens par région","Voiture","Centre-Nord","%","2003","0.8"
"Pourcentage des ménages disposant de certains  biens par région","Voiture","Centre-Nord","%","2005","1.1"
"Pourcentage des ménages disposant de certains  biens par région","Voiture","Centre-Nord","%","2007","0.9"
"Pourcentage des ménages disposant de certains  biens par région","Voiture","Centre-Nord","%","2018","0.8"
"Pourcentage des ménages disposant de certains  biens par région","Voiture","Centre-Ouest","%","2003","1.5"
"Pourcentage des ménages disposant de certains  biens par région","Voiture","Centre-Ouest","%","2005","2.2"
"Pourcentage des ménages disposant de certains  biens par région","Voiture","Centre-Ouest","%","2007","1.1"
"Pourcentage des ménages disposant de certains  biens par région","Voiture","Centre-Ouest","%","2018","1.2"
"Pourcentage des ménages disposant de certains  biens par région","Voiture","Centre-Sud","%","2003","0.2"
"Pourcentage des ménages disposant de certains  biens par région","Voiture","Centre-Sud","%","2005","0.7"
"Pourcentage des ménages disposant de certains  biens par région","Voiture","Centre-Sud","%","2007","0.7"
"Pourcentage des ménages disposant de certains  biens par région","Voiture","Centre-Sud","%","2018","0.3"
"Pourcentage des ménages disposant de certains  biens par région","Voiture","Est","%","2003","0.9"
"Pourcentage des ménages disposant de certains  biens par région","Voiture","Est","%","2005","1.5"
"Pourcentage des ménages disposant de certains  biens par région","Voiture","Est","%","2007","0.6"
"Pourcentage des ménages disposant de certains  biens par région","Voiture","Est","%","2018","0.5"
"Pourcentage des ménages disposant de certains  biens par région","Voiture","Hauts-Bassins","%","2003","3.4"
"Pourcentage des ménages disposant de certains  biens par région","Voiture","Hauts-Bassins","%","2005","3"
"Pourcentage des ménages disposant de certains  biens par région","Voiture","Hauts-Bassins","%","2007","3.7"
"Pourcentage des ménages disposant de certains  biens par région","Voiture","Hauts-Bassins","%","2018","3.5"
"Pourcentage des ménages disposant de certains  biens par région","Voiture","Nord","%","2003","0.3"
"Pourcentage des ménages disposant de certains  biens par région","Voiture","Nord","%","2005","2"
"Pourcentage des ménages disposant de certains  biens par région","Voiture","Nord","%","2007","1.4"
"Pourcentage des ménages disposant de certains  biens par région","Voiture","Nord","%","2018","0.7"
"Pourcentage des ménages disposant de certains  biens par région","Voiture","Plateau Central","%","2003","0.7"
"Pourcentage des ménages disposant de certains  biens par région","Voiture","Plateau Central","%","2005","1.5"
"Pourcentage des ménages disposant de certains  biens par région","Voiture","Plateau Central","%","2007","0.5"
"Pourcentage des ménages disposant de certains  biens par région","Voiture","Plateau Central","%","2018","1.4"
"Pourcentage des ménages disposant de certains  biens par région","Voiture","Sahel","%","2003","0.4"
"Pourcentage des ménages disposant de certains  biens par région","Voiture","Sahel","%","2005","0.4"
"Pourcentage des ménages disposant de certains  biens par région","Voiture","Sahel","%","2007","0.8"
"Pourcentage des ménages disposant de certains  biens par région","Voiture","Sahel","%","2018","0.2"
"Pourcentage des ménages disposant de certains  biens par région","Voiture","Sud-Ouest","%","2003","0.7"
"Pourcentage des ménages disposant de certains  biens par région","Voiture","Sud-Ouest","%","2005","0"
"Pourcentage des ménages disposant de certains  biens par région","Voiture","Sud-Ouest","%","2007","0.7"
"Pourcentage des ménages disposant de certains  biens par région","Voiture","Sud-Ouest","%","2018","2.2"
"Pourcentage des ménages disposant de certains  biens par région","Voiture","Burkina Faso","%","2003","2.3"
"Pourcentage des ménages disposant de certains  biens par région","Voiture","Burkina Faso","%","2005","3.1"
"Pourcentage des ménages disposant de certains  biens par région","Voiture","Burkina Faso","%","2007","2.8"
"Pourcentage des ménages disposant de certains  biens par région","Voiture","Burkina Faso","%","2018","4"
"Pourcentage des ménages disposant de certains  biens par région","Radio","Boucle du Mouhoun","%","2003","68.7"
"Pourcentage des ménages disposant de certains  biens par région","Radio","Boucle du Mouhoun","%","2005","70.1"
"Pourcentage des ménages disposant de certains  biens par région","Radio","Boucle du Mouhoun","%","2007","69.9"
"Pourcentage des ménages disposant de certains  biens par région","Radio","Boucle du Mouhoun","%","2018","50.2"
"Pourcentage des ménages disposant de certains  biens par région","Radio","Cascades","%","2003","77.2"
"Pourcentage des ménages disposant de certains  biens par région","Radio","Cascades","%","2005","88.9"
"Pourcentage des ménages disposant de certains  biens par région","Radio","Cascades","%","2007","76.9"
"Pourcentage des ménages disposant de certains  biens par région","Radio","Cascades","%","2018","48.5"
"Pourcentage des ménages disposant de certains  biens par région","Radio","Centre","%","2003","87.9"
"Pourcentage des ménages disposant de certains  biens par région","Radio","Centre","%","2005","87.4"
"Pourcentage des ménages disposant de certains  biens par région","Radio","Centre","%","2007","83.5"
"Pourcentage des ménages disposant de certains  biens par région","Radio","Centre","%","2018","40.8"
"Pourcentage des ménages disposant de certains  biens par région","Radio","Centre-Est","%","2003","57.6"
"Pourcentage des ménages disposant de certains  biens par région","Radio","Centre-Est","%","2005","61"
"Pourcentage des ménages disposant de certains  biens par région","Radio","Centre-Est","%","2007","62.4"
"Pourcentage des ménages disposant de certains  biens par région","Radio","Centre-Est","%","2018","37.4"
"Pourcentage des ménages disposant de certains  biens par région","Radio","Centre-Nord","%","2003","66"
"Pourcentage des ménages disposant de certains  biens par région","Radio","Centre-Nord","%","2005","43.8"
"Pourcentage des ménages disposant de certains  biens par région","Radio","Centre-Nord","%","2007","63.5"
"Pourcentage des ménages disposant de certains  biens par région","Radio","Centre-Nord","%","2018","39.1"
"Pourcentage des ménages disposant de certains  biens par région","Radio","Centre-Ouest","%","2003","69.9"
"Pourcentage des ménages disposant de certains  biens par région","Radio","Centre-Ouest","%","2005","71.2"
"Pourcentage des ménages disposant de certains  biens par région","Radio","Centre-Ouest","%","2007","65.3"
"Pourcentage des ménages disposant de certains  biens par région","Radio","Centre-Ouest","%","2018","30.4"
"Pourcentage des ménages disposant de certains  biens par région","Radio","Centre-Sud","%","2003","57.8"
"Pourcentage des ménages disposant de certains  biens par région","Radio","Centre-Sud","%","2005","56.6"
