"indicateur","rubrique","localites","Unit","Date","Value"
"Quelques indicateurs sur les  conditions de vie des ménages","Accès à l'eau potable","NATIONAL","%","2014","76.3"
"Quelques indicateurs sur les  conditions de vie des ménages","Accès à l'eau potable","NATIONAL","%","2018","78.1"
"Quelques indicateurs sur les  conditions de vie des ménages","Accès à l'eau potable","NATIONAL","%","2021","77.2"
"Quelques indicateurs sur les  conditions de vie des ménages","Accès à l'eau potable","Milieu Urbain","%","2014","93.5"
"Quelques indicateurs sur les  conditions de vie des ménages","Accès à l'eau potable","Milieu Urbain","%","2018","94.9"
"Quelques indicateurs sur les  conditions de vie des ménages","Accès à l'eau potable","Milieu Urbain","%","2021","91.3"
"Quelques indicateurs sur les  conditions de vie des ménages","Accès à l'eau potable","Milieu Rural","%","2014","69.6"
"Quelques indicateurs sur les  conditions de vie des ménages","Accès à l'eau potable","Milieu Rural","%","2018","70.4"
"Quelques indicateurs sur les  conditions de vie des ménages","Accès à l'eau potable","Milieu Rural","%","2021","71.2"
"Quelques indicateurs sur les  conditions de vie des ménages","Accès à l'assainissement (Latrine améliorée)","NATIONAL","%","2014","8.1"
"Quelques indicateurs sur les  conditions de vie des ménages","Accès à l'assainissement (Latrine améliorée)","NATIONAL","%","2018","14.4"
"Quelques indicateurs sur les  conditions de vie des ménages","Accès à l'assainissement (Latrine améliorée)","NATIONAL","%","2021","15.2"
"Quelques indicateurs sur les  conditions de vie des ménages","Accès à l'assainissement (Latrine améliorée)","Milieu Urbain","%","2014","18.8"
"Quelques indicateurs sur les  conditions de vie des ménages","Accès à l'assainissement (Latrine améliorée)","Milieu Urbain","%","2018","30.1"
"Quelques indicateurs sur les  conditions de vie des ménages","Accès à l'assainissement (Latrine améliorée)","Milieu Urbain","%","2021","29.3"
"Quelques indicateurs sur les  conditions de vie des ménages","Accès à l'assainissement (Latrine améliorée)","Milieu Rural","%","2014","3.9"
"Quelques indicateurs sur les  conditions de vie des ménages","Accès à l'assainissement (Latrine améliorée)","Milieu Rural","%","2018","7.3"
"Quelques indicateurs sur les  conditions de vie des ménages","Accès à l'assainissement (Latrine améliorée)","Milieu Rural","%","2021","9.2"
"Quelques indicateurs sur les  conditions de vie des ménages","% de ménages vivant en promiscuité (plus de 3 personnes par pièce)","NATIONAL","%","2014","27.8"
"Quelques indicateurs sur les  conditions de vie des ménages","% de ménages vivant en promiscuité (plus de 3 personnes par pièce)","NATIONAL","%","2018","23.2"
"Quelques indicateurs sur les  conditions de vie des ménages","% de ménages vivant en promiscuité (plus de 3 personnes par pièce)","NATIONAL","%","2021","28.8"
"Quelques indicateurs sur les  conditions de vie des ménages","% de ménages vivant en promiscuité (plus de 3 personnes par pièce)","Milieu Urbain","%","2014","19.4"
"Quelques indicateurs sur les  conditions de vie des ménages","% de ménages vivant en promiscuité (plus de 3 personnes par pièce)","Milieu Urbain","%","2018","10.1"
"Quelques indicateurs sur les  conditions de vie des ménages","% de ménages vivant en promiscuité (plus de 3 personnes par pièce)","Milieu Urbain","%","2021","19.2"
"Quelques indicateurs sur les  conditions de vie des ménages","% de ménages vivant en promiscuité (plus de 3 personnes par pièce)","Milieu Rural","%","2014","31.1"
"Quelques indicateurs sur les  conditions de vie des ménages","% de ménages vivant en promiscuité (plus de 3 personnes par pièce)","Milieu Rural","%","2018","29.2"
"Quelques indicateurs sur les  conditions de vie des ménages","% de ménages vivant en promiscuité (plus de 3 personnes par pièce)","Milieu Rural","%","2021","32.9"
"Quelques indicateurs sur les  conditions de vie des ménages","% de ménage dont le  Mur du batiment principal est en matériaux non définitifs","NATIONAL","%","2014","76.5"
"Quelques indicateurs sur les  conditions de vie des ménages","% de ménage dont le  Mur du batiment principal est en matériaux non définitifs","NATIONAL","%","2018","62.9"
"Quelques indicateurs sur les  conditions de vie des ménages","% de ménage dont le  Mur du batiment principal est en matériaux non définitifs","Milieu Urbain","%","2014","38.6"
"Quelques indicateurs sur les  conditions de vie des ménages","% de ménage dont le  Mur du batiment principal est en matériaux non définitifs","Milieu Urbain","%","2018","21.6"
"Quelques indicateurs sur les  conditions de vie des ménages","% de ménage dont le  Mur du batiment principal est en matériaux non définitifs","Milieu Rural","%","2014","91.5"
"Quelques indicateurs sur les  conditions de vie des ménages","% de ménage dont le  Mur du batiment principal est en matériaux non définitifs","Milieu Rural","%","2018","81.6"
"Quelques indicateurs sur les  conditions de vie des ménages","% de ménage dont la toiture du batiment principal est en matériaux non définitifs","NATIONAL","%","2014","34.8"
"Quelques indicateurs sur les  conditions de vie des ménages","% de ménage dont la toiture du batiment principal est en matériaux non définitifs","NATIONAL","%","2018","19.5"
"Quelques indicateurs sur les  conditions de vie des ménages","% de ménage dont la toiture du batiment principal est en matériaux non définitifs","Milieu Urbain","%","2014","5"
"Quelques indicateurs sur les  conditions de vie des ménages","% de ménage dont la toiture du batiment principal est en matériaux non définitifs","Milieu Urbain","%","2018","1.69999999999999"
"Quelques indicateurs sur les  conditions de vie des ménages","% de ménage dont la toiture du batiment principal est en matériaux non définitifs","Milieu Rural","%","2014","46.5"
"Quelques indicateurs sur les  conditions de vie des ménages","% de ménage dont la toiture du batiment principal est en matériaux non définitifs","Milieu Rural","%","2018","27.6"
"Quelques indicateurs sur les  conditions de vie des ménages","% de ménage dont le logement principal est en matériaux non définitifs","NATIONAL","%","2014","77"
"Quelques indicateurs sur les  conditions de vie des ménages","% de ménage dont le logement principal est en matériaux non définitifs","NATIONAL","%","2018","62.5"
"Quelques indicateurs sur les  conditions de vie des ménages","% de ménage dont le logement principal est en matériaux non définitifs","Milieu Urbain","%","2014","39.5"
"Quelques indicateurs sur les  conditions de vie des ménages","% de ménage dont le logement principal est en matériaux non définitifs","Milieu Urbain","%","2018","21.5"
"Quelques indicateurs sur les  conditions de vie des ménages","% de ménage dont le logement principal est en matériaux non définitifs","Milieu Rural","%","2014","91.9"
"Quelques indicateurs sur les  conditions de vie des ménages","% de ménage dont le logement principal est en matériaux non définitifs","Milieu Rural","%","2018","81.2"
