"indicateur","libelle","rubrique","Unit","Date","Value"
"Revenu des emplois des ménages","Revenu total de l'emploi des ménages (Millions de FCFA)","Burkina Faso","FCFA","2018","1614881127097"
"Revenu des emplois des ménages","Revenu total de l'emploi des ménages (Millions de FCFA)","Boucle du Mouhoun","FCFA","2018","44807688898"
"Revenu des emplois des ménages","Revenu total de l'emploi des ménages (Millions de FCFA)","Cascades","FCFA","2018","44935686153"
"Revenu des emplois des ménages","Revenu total de l'emploi des ménages (Millions de FCFA)","Centre","FCFA","2018","942997994069"
"Revenu des emplois des ménages","Revenu total de l'emploi des ménages (Millions de FCFA)","Centre-Est","FCFA","2018","50313003565"
"Revenu des emplois des ménages","Revenu total de l'emploi des ménages (Millions de FCFA)","Centre-Nord","FCFA","2018","43582394699"
"Revenu des emplois des ménages","Revenu total de l'emploi des ménages (Millions de FCFA)","Centre-Ouest","FCFA","2018","64115210269"
"Revenu des emplois des ménages","Revenu total de l'emploi des ménages (Millions de FCFA)","Centre-Sud","FCFA","2018","21315928313"
"Revenu des emplois des ménages","Revenu total de l'emploi des ménages (Millions de FCFA)","Est","FCFA","2018","50937034714"
"Revenu des emplois des ménages","Revenu total de l'emploi des ménages (Millions de FCFA)","Hauts Bassins","FCFA","2018","138891614939"
"Revenu des emplois des ménages","Revenu total de l'emploi des ménages (Millions de FCFA)","Nord","FCFA","2018","56754751549"
"Revenu des emplois des ménages","Revenu total de l'emploi des ménages (Millions de FCFA)","Plateau-Central","FCFA","2018","24132315092"
"Revenu des emplois des ménages","Revenu total de l'emploi des ménages (Millions de FCFA)","Sahel","FCFA","2018","102752391253"
"Revenu des emplois des ménages","Revenu total de l'emploi des ménages (Millions de FCFA)","Sud-Ouest","FCFA","2018","29345113585"
"Revenu des emplois des ménages","Revenu total de l'emploi des ménages (Millions de FCFA)","Urbain","FCFA","2018","1233042433273"
"Revenu des emplois des ménages","Revenu total de l'emploi des ménages (Millions de FCFA)","Rural","FCFA","2018","381838693824"
"Revenu des emplois des ménages","Revenu total de l'emploi des ménages (Millions de FCFA)","Masculin","FCFA","2018","1413452886726"
"Revenu des emplois des ménages","Revenu total de l'emploi des ménages (Millions de FCFA)","Féminin","FCFA","2018","201428240371"
"Revenu des emplois des ménages","Revenu total de l'emploi des ménages (Millions de FCFA)","Aucun","FCFA","2018","625264086233"
"Revenu des emplois des ménages","Revenu total de l'emploi des ménages (Millions de FCFA)","Primaire","FCFA","2018","111234900136"
"Revenu des emplois des ménages","Revenu total de l'emploi des ménages (Millions de FCFA)","Post primaire","FCFA","2018","154019543691"
"Revenu des emplois des ménages","Revenu total de l'emploi des ménages (Millions de FCFA)","Secondaire et plus","FCFA","2018","724362597037"
"Revenu des emplois des ménages","Revenu total de l'emploi des ménages (Millions de FCFA)","Inactif","FCFA","2018","113251415271"
"Revenu des emplois des ménages","Revenu total de l'emploi des ménages (Millions de FCFA)","Agriculture","FCFA","2018","183831010333"
"Revenu des emplois des ménages","Revenu total de l'emploi des ménages (Millions de FCFA)","Industrie","FCFA","2018","172022336831"
"Revenu des emplois des ménages","Revenu total de l'emploi des ménages (Millions de FCFA)","Service","FCFA","2018","1145776364662"
"Revenu des emplois des ménages","revenu total des ménages (Millions de FCFA)","Burkina Faso","FCFA","2018","6288176584054"
"Revenu des emplois des ménages","revenu total des ménages (Millions de FCFA)","Boucle du Mouhoun","FCFA","2018","441713284003"
"Revenu des emplois des ménages","revenu total des ménages (Millions de FCFA)","Cascades","FCFA","2018","294839671894"
"Revenu des emplois des ménages","revenu total des ménages (Millions de FCFA)","Centre","FCFA","2018","2665000245789"
"Revenu des emplois des ménages","revenu total des ménages (Millions de FCFA)","Centre-Est","FCFA","2018","428889817434"
"Revenu des emplois des ménages","revenu total des ménages (Millions de FCFA)","Centre-Nord","FCFA","2018","150970830565"
"Revenu des emplois des ménages","revenu total des ménages (Millions de FCFA)","Centre-Ouest","FCFA","2018","240455059624"
"Revenu des emplois des ménages","revenu total des ménages (Millions de FCFA)","Centre-Sud","FCFA","2018","185491087364"
"Revenu des emplois des ménages","revenu total des ménages (Millions de FCFA)","Est","FCFA","2018","259310646523"
"Revenu des emplois des ménages","revenu total des ménages (Millions de FCFA)","Hauts Bassins","FCFA","2018","877633785733"
"Revenu des emplois des ménages","revenu total des ménages (Millions de FCFA)","Nord","FCFA","2018","201562948726"
"Revenu des emplois des ménages","revenu total des ménages (Millions de FCFA)","Plateau-Central","FCFA","2018","134876279932"
"Revenu des emplois des ménages","revenu total des ménages (Millions de FCFA)","Sahel","FCFA","2018","244845117399"
"Revenu des emplois des ménages","revenu total des ménages (Millions de FCFA)","Sud-Ouest","FCFA","2018","162587809069"
"Revenu des emplois des ménages","revenu total des ménages (Millions de FCFA)","Urbain","FCFA","2018","3949964583766"
"Revenu des emplois des ménages","revenu total des ménages (Millions de FCFA)","Rural","FCFA","2018","2338212000288"
"Revenu des emplois des ménages","revenu total des ménages (Millions de FCFA)","Masculin","FCFA","2018","5835655173275"
"Revenu des emplois des ménages","revenu total des ménages (Millions de FCFA)","Féminin","FCFA","2018","452521410779"
"Revenu des emplois des ménages","revenu total des ménages (Millions de FCFA)","Aucun","FCFA","2018","2913323469309"
"Revenu des emplois des ménages","revenu total des ménages (Millions de FCFA)","Primaire","FCFA","2018","711092510505"
"Revenu des emplois des ménages","revenu total des ménages (Millions de FCFA)","Post primaire","FCFA","2018","527274024958"
"Revenu des emplois des ménages","revenu total des ménages (Millions de FCFA)","Secondaire et plus","FCFA","2018","2136486579281"
"Revenu des emplois des ménages","revenu total des ménages (Millions de FCFA)","Inactif","FCFA","2018","399680081033"
"Revenu des emplois des ménages","revenu total des ménages (Millions de FCFA)","Agriculture","FCFA","2018","1847947044316"
"Revenu des emplois des ménages","revenu total des ménages (Millions de FCFA)","Industrie","FCFA","2018","447332340304"
"Revenu des emplois des ménages","revenu total des ménages (Millions de FCFA)","Service","FCFA","2018","3593217118400"
"Revenu des emplois des ménages","Part de revenu de l'emploi (%)","Burkina Faso","%","2018","25.7"
"Revenu des emplois des ménages","Part de revenu de l'emploi (%)","Boucle du Mouhoun","%","2018","10.1"
"Revenu des emplois des ménages","Part de revenu de l'emploi (%)","Cascades","%","2018","15.2"
"Revenu des emplois des ménages","Part de revenu de l'emploi (%)","Centre","%","2018","35.4"
"Revenu des emplois des ménages","Part de revenu de l'emploi (%)","Centre-Est","%","2018","11.7"
"Revenu des emplois des ménages","Part de revenu de l'emploi (%)","Centre-Nord","%","2018","28.9"
"Revenu des emplois des ménages","Part de revenu de l'emploi (%)","Centre-Ouest","%","2018","26.7"
"Revenu des emplois des ménages","Part de revenu de l'emploi (%)","Centre-Sud","%","2018","11.5"
"Revenu des emplois des ménages","Part de revenu de l'emploi (%)","Est","%","2018","19.6"
"Revenu des emplois des ménages","Part de revenu de l'emploi (%)","Hauts Bassins","%","2018","15.8"
"Revenu des emplois des ménages","Part de revenu de l'emploi (%)","Nord","%","2018","28.2"
"Revenu des emplois des ménages","Part de revenu de l'emploi (%)","Plateau-Central","%","2018","17.9"
"Revenu des emplois des ménages","Part de revenu de l'emploi (%)","Sahel","%","2018","42"
"Revenu des emplois des ménages","Part de revenu de l'emploi (%)","Sud-Ouest","%","2018","18"
"Revenu des emplois des ménages","Part de revenu de l'emploi (%)","Urbain","%","2018","31.2"
"Revenu des emplois des ménages","Part de revenu de l'emploi (%)","Rural","%","2018","16.3"
"Revenu des emplois des ménages","Part de revenu de l'emploi (%)","Masculin","%","2018","24.2"
"Revenu des emplois des ménages","Part de revenu de l'emploi (%)","Féminin","%","2018","44.5"
