"indicateur","region","rubrique","Unit","Date","Value"
"Répartition des ménages par région selon la nature des murs du logement","Haut-Bassins","Ciment/Béton/Pierres","%","2018","19.4"
"Répartition des ménages par région selon la nature des murs du logement","Haut-Bassins","Briques cuites","%","2018","2"
"Répartition des ménages par région selon la nature des murs du logement","Haut-Bassins","Banco amélioré/ semi-dur","%","2018","48.3"
"Répartition des ménages par région selon la nature des murs du logement","Haut-Bassins","Pierres simples","%","2018","2"
"Répartition des ménages par région selon la nature des murs du logement","Haut-Bassins","Paille, motte de terre","%","2018","27"
"Répartition des ménages par région selon la nature des murs du logement","Haut-Bassins","Autre","%","2018","1.2"
"Répartition des ménages par région selon la nature des murs du logement","Haut-Bassins","Ensemble","%","2018","100"
"Répartition des ménages par région selon la nature des murs du logement","Boucle du Mouhoun","Ciment/Béton/Pierres","%","2018","39.7"
"Répartition des ménages par région selon la nature des murs du logement","Boucle du Mouhoun","Briques cuites","%","2018","2"
"Répartition des ménages par région selon la nature des murs du logement","Boucle du Mouhoun","Banco amélioré/ semi-dur","%","2018","41.9"
"Répartition des ménages par région selon la nature des murs du logement","Boucle du Mouhoun","Pierres simples","%","2018","0.9"
"Répartition des ménages par région selon la nature des murs du logement","Boucle du Mouhoun","Paille, motte de terre","%","2018","14.6"
"Répartition des ménages par région selon la nature des murs du logement","Boucle du Mouhoun","Autre","%","2018","0.9"
"Répartition des ménages par région selon la nature des murs du logement","Boucle du Mouhoun","Ensemble","%","2018","100"
"Répartition des ménages par région selon la nature des murs du logement","Sahel","Ciment/Béton/Pierres","%","2018","80.3"
"Répartition des ménages par région selon la nature des murs du logement","Sahel","Briques cuites","%","2018","3.1"
"Répartition des ménages par région selon la nature des murs du logement","Sahel","Banco amélioré/ semi-dur","%","2018","14.4"
"Répartition des ménages par région selon la nature des murs du logement","Sahel","Pierres simples","%","2018","0"
"Répartition des ménages par région selon la nature des murs du logement","Sahel","Paille, motte de terre","%","2018","1.8"
"Répartition des ménages par région selon la nature des murs du logement","Sahel","Autre","%","2018","0.4"
"Répartition des ménages par région selon la nature des murs du logement","Sahel","Ensemble","%","2018","100"
"Répartition des ménages par région selon la nature des murs du logement","Est","Ciment/Béton/Pierres","%","2018","46.9"
"Répartition des ménages par région selon la nature des murs du logement","Est","Briques cuites","%","2018","12.8"
"Répartition des ménages par région selon la nature des murs du logement","Est","Banco amélioré/ semi-dur","%","2018","22"
"Répartition des ménages par région selon la nature des murs du logement","Est","Pierres simples","%","2018","0.1"
"Répartition des ménages par région selon la nature des murs du logement","Est","Paille, motte de terre","%","2018","17.1"
"Répartition des ménages par région selon la nature des murs du logement","Est","Autre","%","2018","1.1"
"Répartition des ménages par région selon la nature des murs du logement","Est","Ensemble","%","2018","100"
"Répartition des ménages par région selon la nature des murs du logement","Sud-Ouest","Ciment/Béton/Pierres","%","2018","8.3"
"Répartition des ménages par région selon la nature des murs du logement","Sud-Ouest","Briques cuites","%","2018","3.2"
"Répartition des ménages par région selon la nature des murs du logement","Sud-Ouest","Banco amélioré/ semi-dur","%","2018","49.2"
"Répartition des ménages par région selon la nature des murs du logement","Sud-Ouest","Pierres simples","%","2018","2"
"Répartition des ménages par région selon la nature des murs du logement","Sud-Ouest","Paille, motte de terre","%","2018","36.8"
"Répartition des ménages par région selon la nature des murs du logement","Sud-Ouest","Autre","%","2018","0.4"
"Répartition des ménages par région selon la nature des murs du logement","Sud-Ouest","Ensemble","%","2018","100"
"Répartition des ménages par région selon la nature des murs du logement","Centre-Nord","Ciment/Béton/Pierres","%","2018","20.4"
"Répartition des ménages par région selon la nature des murs du logement","Centre-Nord","Briques cuites","%","2018","0.9"
"Répartition des ménages par région selon la nature des murs du logement","Centre-Nord","Banco amélioré/ semi-dur","%","2018","41.5"
"Répartition des ménages par région selon la nature des murs du logement","Centre-Nord","Pierres simples","%","2018","0.4"
"Répartition des ménages par région selon la nature des murs du logement","Centre-Nord","Paille, motte de terre","%","2018","34.8"
"Répartition des ménages par région selon la nature des murs du logement","Centre-Nord","Autre","%","2018","2"
"Répartition des ménages par région selon la nature des murs du logement","Centre-Nord","Ensemble","%","2018","100"
"Répartition des ménages par région selon la nature des murs du logement","Centre-Ouest","Ciment/Béton/Pierres","%","2018","27.1"
"Répartition des ménages par région selon la nature des murs du logement","Centre-Ouest","Briques cuites","%","2018","5.6"
"Répartition des ménages par région selon la nature des murs du logement","Centre-Ouest","Banco amélioré/ semi-dur","%","2018","41.5"
