"indicateur","region","rubrique","Unit","Date","Value"
"Répartition des ménages par région selon le mode d'approvisionnement en eau","Haut-Bassins","Robinet privé","%","2018","8.8"
"Répartition des ménages par région selon le mode d'approvisionnement en eau","Haut-Bassins","Borne fontaine/Robinet public","%","2018","9.1"
"Répartition des ménages par région selon le mode d'approvisionnement en eau","Haut-Bassins","Puits ouverts","%","2018","43.1"
"Répartition des ménages par région selon le mode d'approvisionnement en eau","Haut-Bassins","Puits couverts","%","2018","4"
"Répartition des ménages par région selon le mode d'approvisionnement en eau","Haut-Bassins","Forage","%","2018","34.3"
"Répartition des ménages par région selon le mode d'approvisionnement en eau","Haut-Bassins","Sources","%","2018","0"
"Répartition des ménages par région selon le mode d'approvisionnement en eau","Haut-Bassins","Fleuve/Rivière/Lac/Barrage","%","2018","0.3"
"Répartition des ménages par région selon le mode d'approvisionnement en eau","Haut-Bassins","Eau en bouteille","%","2018","0"
"Répartition des ménages par région selon le mode d'approvisionnement en eau","Haut-Bassins","Vendeur ambulant","%","2018","0.3"
"Répartition des ménages par région selon le mode d'approvisionnement en eau","Haut-Bassins","Autre","%","2018","0"
"Répartition des ménages par région selon le mode d'approvisionnement en eau","Haut-Bassins","Total","%","2018","100"
"Répartition des ménages par région selon le mode d'approvisionnement en eau","Boucle du Mouhoun","Robinet privé","%","2018","12.5"
"Répartition des ménages par région selon le mode d'approvisionnement en eau","Boucle du Mouhoun","Borne fontaine/Robinet public","%","2018","21.1"
"Répartition des ménages par région selon le mode d'approvisionnement en eau","Boucle du Mouhoun","Puits ouverts","%","2018","9"
"Répartition des ménages par région selon le mode d'approvisionnement en eau","Boucle du Mouhoun","Puits couverts","%","2018","6.3"
"Répartition des ménages par région selon le mode d'approvisionnement en eau","Boucle du Mouhoun","Forage","%","2018","50.7"
"Répartition des ménages par région selon le mode d'approvisionnement en eau","Boucle du Mouhoun","Sources","%","2018","0"
"Répartition des ménages par région selon le mode d'approvisionnement en eau","Boucle du Mouhoun","Fleuve/Rivière/Lac/Barrage","%","2018","0"
