"indicateur","rubrique","région","Unit","Date","Value"
"Répartition des ménages selon le lieu d'aisance par région","W,C avec chasse d'eau","Boucle du Mouhoun","%","2018","0.5"
"Répartition des ménages selon le lieu d'aisance par région","W,C avec chasse d'eau","Cascades","%","2018","1.7"
"Répartition des ménages selon le lieu d'aisance par région","W,C avec chasse d'eau","Centre","%","2018","21.6"
"Répartition des ménages selon le lieu d'aisance par région","W,C avec chasse d'eau","Centre-Est","%","2018","1.3"
"Répartition des ménages selon le lieu d'aisance par région","W,C avec chasse d'eau","Centre-Nord","%","2018","0.2"
"Répartition des ménages selon le lieu d'aisance par région","W,C avec chasse d'eau","Centre-Ouest","%","2018","1.6"
"Répartition des ménages selon le lieu d'aisance par région","W,C avec chasse d'eau","Centre-Sud","%","2018","1.6"
"Répartition des ménages selon le lieu d'aisance par région","W,C avec chasse d'eau","Est","%","2018","0.3"
"Répartition des ménages selon le lieu d'aisance par région","W,C avec chasse d'eau","Hauts Bassins","%","2018","1.5"
"Répartition des ménages selon le lieu d'aisance par région","W,C avec chasse d'eau","Nord","%","2018","0.6"
"Répartition des ménages selon le lieu d'aisance par région","W,C avec chasse d'eau","Plateau-Central","%","2018","2.5"
"Répartition des ménages selon le lieu d'aisance par région","W,C avec chasse d'eau","Sahel","%","2018","0.1"
"Répartition des ménages selon le lieu d'aisance par région","W,C avec chasse d'eau","Sud-Ouest","%","2018","0.1"
"Répartition des ménages selon le lieu d'aisance par région","W,C avec chasse d'eau","Burkina Faso","%","2018","4.6"
"Répartition des ménages selon le lieu d'aisance par région","Latrines VIP","Boucle du Mouhoun","%","2018","0.4"
"Répartition des ménages selon le lieu d'aisance par région","Latrines VIP","Cascades","%","2018","0.9"
"Répartition des ménages selon le lieu d'aisance par région","Latrines VIP","Centre","%","2018","10.7"
"Répartition des ménages selon le lieu d'aisance par région","Latrines VIP","Centre-Est","%","2018","3.3"
"Répartition des ménages selon le lieu d'aisance par région","Latrines VIP","Centre-Nord","%","2018","9.6"
"Répartition des ménages selon le lieu d'aisance par région","Latrines VIP","Centre-Ouest","%","2018","3.1"
"Répartition des ménages selon le lieu d'aisance par région","Latrines VIP","Centre-Sud","%","2018","1"
"Répartition des ménages selon le lieu d'aisance par région","Latrines VIP","Est","%","2018","3"
"Répartition des ménages selon le lieu d'aisance par région","Latrines VIP","Hauts Bassins","%","2018","1.8"
"Répartition des ménages selon le lieu d'aisance par région","Latrines VIP","Nord","%","2018","0.1"
"Répartition des ménages selon le lieu d'aisance par région","Latrines VIP","Plateau-Central","%","2018","1.3"
"Répartition des ménages selon le lieu d'aisance par région","Latrines VIP","Sahel","%","2018","19.1"
"Répartition des ménages selon le lieu d'aisance par région","Latrines VIP","Sud-Ouest","%","2018","1.7"
"Répartition des ménages selon le lieu d'aisance par région","Latrines VIP","Burkina Faso","%","2018","5.2"
"Répartition des ménages selon le lieu d'aisance par région","Latrines ECOSAN","Boucle du Mouhoun","%","2018","2.5"
"Répartition des ménages selon le lieu d'aisance par région","Latrines ECOSAN","Cascades","%","2018","9.9"
"Répartition des ménages selon le lieu d'aisance par région","Latrines ECOSAN","Centre","%","2018","10.3"
"Répartition des ménages selon le lieu d'aisance par région","Latrines ECOSAN","Centre-Est","%","2018","9.6"
"Répartition des ménages selon le lieu d'aisance par région","Latrines ECOSAN","Centre-Nord","%","2018","4.2"
"Répartition des ménages selon le lieu d'aisance par région","Latrines ECOSAN","Centre-Ouest","%","2018","2.5"
"Répartition des ménages selon le lieu d'aisance par région","Latrines ECOSAN","Centre-Sud","%","2018","2.3"
"Répartition des ménages selon le lieu d'aisance par région","Latrines ECOSAN","Est","%","2018","2.8"
"Répartition des ménages selon le lieu d'aisance par région","Latrines ECOSAN","Hauts Bassins","%","2018","1.1"
"Répartition des ménages selon le lieu d'aisance par région","Latrines ECOSAN","Nord","%","2018","2.3"
"Répartition des ménages selon le lieu d'aisance par région","Latrines ECOSAN","Plateau-Central","%","2018","6.4"
"Répartition des ménages selon le lieu d'aisance par région","Latrines ECOSAN","Sahel","%","2018","1.1"
"Répartition des ménages selon le lieu d'aisance par région","Latrines ECOSAN","Sud-Ouest","%","2018","2.2"
"Répartition des ménages selon le lieu d'aisance par région","Latrines ECOSAN","Burkina Faso","%","2018","4.7"
"Répartition des ménages selon le lieu d'aisance par région","Latrines SANPLAT","Boucle du Mouhoun","%","2018","5.4"
"Répartition des ménages selon le lieu d'aisance par région","Latrines SANPLAT","Cascades","%","2018","21.9"
"Répartition des ménages selon le lieu d'aisance par région","Latrines SANPLAT","Centre","%","2018","11.2"
"Répartition des ménages selon le lieu d'aisance par région","Latrines SANPLAT","Centre-Est","%","2018","1.9"
"Répartition des ménages selon le lieu d'aisance par région","Latrines SANPLAT","Centre-Nord","%","2018","6.8"
"Répartition des ménages selon le lieu d'aisance par région","Latrines SANPLAT","Centre-Ouest","%","2018","5.3"
"Répartition des ménages selon le lieu d'aisance par région","Latrines SANPLAT","Centre-Sud","%","2018","3.7"
"Répartition des ménages selon le lieu d'aisance par région","Latrines SANPLAT","Est","%","2018","7.5"
"Répartition des ménages selon le lieu d'aisance par région","Latrines SANPLAT","Hauts Bassins","%","2018","9.9"
"Répartition des ménages selon le lieu d'aisance par région","Latrines SANPLAT","Nord","%","2018","4.4"
"Répartition des ménages selon le lieu d'aisance par région","Latrines SANPLAT","Plateau-Central","%","2018","13.1"
"Répartition des ménages selon le lieu d'aisance par région","Latrines SANPLAT","Sahel","%","2018","4"
