domaine,chemin_relatif,format,nb_lignes,nb_colonnes,nb_valeurs_vides,ratio_valeurs_vides,colonnes,statut_analyse,message
sante,data_raw/sante/couverture_sanitaire/Evolution des accouchements assistés par milieu de résidence.csv,csv,26,6,0,0.0,indicateur | accouchements-assistés | milieu | Unit | Date | Value,OK,"Delimiteur detecte: ,"
sante,data_raw/sante/couverture_sanitaire/Taux de consultation.csv,csv,52,6,0,0.0,indicateur | sexe | milieu | Unit | Date | Value,OK,"Delimiteur detecte: ,"
sante,data_raw/sante/couverture_sanitaire/Taux de couverture CPN.csv,csv,210,5,0,0.0,indicateur | region | Unit | Date | Value,OK,"Delimiteur detecte: ,"
sante,data_raw/sante/couverture_sanitaire/couverture vaccinale.csv,csv,104,5,0,0.0,indicateur | couverture-vaccinale | Unit | Date | Value,OK,"Delimiteur detecte: ,"
sante,data_raw/sante/indicateurs_epidemiologiques/Evolution des indicateurs de santé.csv,csv,509,6,0,0.0,indicateur | motifs-de-deces | rubriques | Unit | Date | Value,OK,"Delimiteur detecte: ,"
sante,data_raw/sante/indicateurs_epidemiologiques/Les 10 principales causes de décès dans les centres médicaux et les hôpitaux.csv,csv,73,5,0,0.0,indicateur | rubriques | Unit | Date | Value,OK,"Delimiteur detecte: ,"
sante,data_raw/sante/indicateurs_epidemiologiques/Taux de morbidite.csv,csv,50,6,0,0.0,indicateur | sexe | milieu | Unit | Date | Value,OK,"Delimiteur detecte: ,"
sante,data_raw/sante/indicateurs_epidemiologiques/cas de deces epidemies.csv,csv,185,5,0,0.0,indicateur | décès | Unit | Date | Value,OK,"Delimiteur detecte: ,"
sante,data_raw/sante/infrastructures_sanitaires/Evolution des Infrastructures sanitaires.csv,csv,169,5,0,0.0,indicateur | infrastructures | Unit | Date | Value,OK,"Delimiteur detecte: ,"
sante,data_raw/sante/infrastructures_sanitaires/Evolution des personnels de santé du secteur public 2017.csv,csv,80,6,0,0.0,indicateur | emploi | rubriques | Unit | Date | Value,OK,"Delimiteur detecte: ,"
sante,data_raw/sante/infrastructures_sanitaires/Evolution des personnels de santé du secteur public.csv,csv,147,5,0,0.0,indicateur | personnel | Unit | Date | Value,OK,"Delimiteur detecte: ,"
sante,data_raw/sante/infrastructures_sanitaires/Infrastructures sanitaires par région à partir de 2017.csv,csv,938,6,0,0.0,indicateur | region | infrastructures | Unit | Date | Value,OK,"Delimiteur detecte: ,"
sante,data_raw/sante/sante_afristat.csv,csv,701,5,0,0.0,indicateurs | pays | Unit | Date | Value,OK,"Delimiteur detecte: ,"
