"indicateur","accouchements-assistés","milieu","Unit","Date","Value"
"Evolution des accouchements assistés par milieu de résidence","Médecin","Ensemble","%","1993","1.3"
"Evolution des accouchements assistés par milieu de résidence","Médecin","Ensemble","%","1998","0.8"
"Evolution des accouchements assistés par milieu de résidence","Médecin","Ensemble","%","2003","1.4"
"Evolution des accouchements assistés par milieu de résidence","Médecin","Ensemble","%","2010","1"
"Evolution des accouchements assistés par milieu de résidence","Médecin","Ensemble","%","2021","3"
"Evolution des accouchements assistés par milieu de résidence","Médecin","Urbain","%","1993","3.7"
"Evolution des accouchements assistés par milieu de résidence","Médecin","Urbain","%","1998","4.4"
"Evolution des accouchements assistés par milieu de résidence","Médecin","Urbain","%","2003","6.6"
"Evolution des accouchements assistés par milieu de résidence","Médecin","Urbain","%","2010","4.6"
"Evolution des accouchements assistés par milieu de résidence","Médecin","Rural","%","1993","0.9"
"Evolution des accouchements assistés par milieu de résidence","Médecin","Rural","%","1998","0.4"
"Evolution des accouchements assistés par milieu de résidence","Médecin","Rural","%","2003","0.6"
"Evolution des accouchements assistés par milieu de résidence","Médecin","Rural","%","2010","0.2"
"Evolution des accouchements assistés par milieu de résidence","Autres personnel de santé (sage femme, infirmière, matrone)","Ensemble","%","1993","40.2"
"Evolution des accouchements assistés par milieu de résidence","Autres personnel de santé (sage femme, infirmière, matrone)","Ensemble","%","1998","30.2"
"Evolution des accouchements assistés par milieu de résidence","Autres personnel de santé (sage femme, infirmière, matrone)","Ensemble","%","2003","55.1"
"Evolution des accouchements assistés par milieu de résidence","Autres personnel de santé (sage femme, infirmière, matrone)","Ensemble","%","2010","22"
"Evolution des accouchements assistés par milieu de résidence","Autres personnel de santé (sage femme, infirmière, matrone)","Ensemble","%","2021","74"
"Evolution des accouchements assistés par milieu de résidence","Autres personnel de santé (sage femme, infirmière, matrone)","Urbain","%","1993","87.9"
"Evolution des accouchements assistés par milieu de résidence","Autres personnel de santé (sage femme, infirmière, matrone)","Urbain","%","1998","85.8"
"Evolution des accouchements assistés par milieu de résidence","Autres personnel de santé (sage femme, infirmière, matrone)","Urbain","%","2003","84.1"
"Evolution des accouchements assistés par milieu de résidence","Autres personnel de santé (sage femme, infirmière, matrone)","Urbain","%","2010","98.3"
"Evolution des accouchements assistés par milieu de résidence","Autres personnel de santé (sage femme, infirmière, matrone)","Rural","%","1993","32.2"
"Evolution des accouchements assistés par milieu de résidence","Autres personnel de santé (sage femme, infirmière, matrone)","Rural","%","1998","24.1"
"Evolution des accouchements assistés par milieu de résidence","Autres personnel de santé (sage femme, infirmière, matrone)","Rural","%","2003","50.8"
"Evolution des accouchements assistés par milieu de résidence","Autres personnel de santé (sage femme, infirmière, matrone)","Rural","%","2010","61.5"
