"indicateur","sexe","milieu","Unit","Date","Value"
"Evolution du taux de consultation selon le sexe et le milieu de résidence","Ensemble","Urbain","%","1994","12.3"
"Evolution du taux de consultation selon le sexe et le milieu de résidence","Ensemble","Urbain","%","1998","5.2"
"Evolution du taux de consultation selon le sexe et le milieu de résidence","Ensemble","Urbain","%","2003","5.8"
"Evolution du taux de consultation selon le sexe et le milieu de résidence","Ensemble","Urbain","%","2005","9.9"
"Evolution du taux de consultation selon le sexe et le milieu de résidence","Ensemble","Urbain","%","2007","9.3"
"Evolution du taux de consultation selon le sexe et le milieu de résidence","Ensemble","Urbain","%","2014","11.8"
"Evolution du taux de consultation selon le sexe et le milieu de résidence","Ensemble","Urbain","%","2018","56.3"
"Evolution du taux de consultation selon le sexe et le milieu de résidence","Ensemble","Urbain","%","2021","60.6"
"Evolution du taux de consultation selon le sexe et le milieu de résidence","Ensemble","Rural","%","1994","5.1"
"Evolution du taux de consultation selon le sexe et le milieu de résidence","Ensemble","Rural","%","1998","2.5"
"Evolution du taux de consultation selon le sexe et le milieu de résidence","Ensemble","Rural","%","2003","3.8"
"Evolution du taux de consultation selon le sexe et le milieu de résidence","Ensemble","Rural","%","2005","6.3"
"Evolution du taux de consultation selon le sexe et le milieu de résidence","Ensemble","Rural","%","2007","5.6"
"Evolution du taux de consultation selon le sexe et le milieu de résidence","Ensemble","Rural","%","2014","7.7"
"Evolution du taux de consultation selon le sexe et le milieu de résidence","Ensemble","Rural","%","2018","57.9"
"Evolution du taux de consultation selon le sexe et le milieu de résidence","Ensemble","Rural","%","2021","67.7"
"Evolution du taux de consultation selon le sexe et le milieu de résidence","Ensemble","Ensemble","%","1994","6.2"
"Evolution du taux de consultation selon le sexe et le milieu de résidence","Ensemble","Ensemble","%","1998","2.9"
"Evolution du taux de consultation selon le sexe et le milieu de résidence","Ensemble","Ensemble","%","2003","4.2"
"Evolution du taux de consultation selon le sexe et le milieu de résidence","Ensemble","Ensemble","%","2005","6.9"
"Evolution du taux de consultation selon le sexe et le milieu de résidence","Ensemble","Ensemble","%","2007","6.2"
"Evolution du taux de consultation selon le sexe et le milieu de résidence","Ensemble","Ensemble","%","2014","8.4"
"Evolution du taux de consultation selon le sexe et le milieu de résidence","Ensemble","Ensemble","%","2018","57.4"
"Evolution du taux de consultation selon le sexe et le milieu de résidence","Ensemble","Ensemble","%","2021","65.7"
"Evolution du taux de consultation selon le sexe et le milieu de résidence","Masculin","Urbain","%","1998","4.7"
"Evolution du taux de consultation selon le sexe et le milieu de résidence","Masculin","Urbain","%","2003","5.4"
"Evolution du taux de consultation selon le sexe et le milieu de résidence","Masculin","Urbain","%","2018","55.6"
"Evolution du taux de consultation selon le sexe et le milieu de résidence","Masculin","Rural","%","1998","2.4"
"Evolution du taux de consultation selon le sexe et le milieu de résidence","Masculin","Rural","%","2003","3.7"
"Evolution du taux de consultation selon le sexe et le milieu de résidence","Masculin","Rural","%","2018","57.2"
"Evolution du taux de consultation selon le sexe et le milieu de résidence","Masculin","Ensemble","%","1994","6.5"
"Evolution du taux de consultation selon le sexe et le milieu de résidence","Masculin","Ensemble","%","1998","2.8"
"Evolution du taux de consultation selon le sexe et le milieu de résidence","Masculin","Ensemble","%","2003","4"
"Evolution du taux de consultation selon le sexe et le milieu de résidence","Masculin","Ensemble","%","2005","6.8"
"Evolution du taux de consultation selon le sexe et le milieu de résidence","Masculin","Ensemble","%","2007","5.8"
"Evolution du taux de consultation selon le sexe et le milieu de résidence","Masculin","Ensemble","%","2014","7.9"
"Evolution du taux de consultation selon le sexe et le milieu de résidence","Masculin","Ensemble","%","2018","56.8"
"Evolution du taux de consultation selon le sexe et le milieu de résidence","Masculin","Ensemble","%","2021","66.3"
"Evolution du taux de consultation selon le sexe et le milieu de résidence","Feminin","Urbain","%","1998","5.8"
"Evolution du taux de consultation selon le sexe et le milieu de résidence","Feminin","Urbain","%","2003","6.1"
"Evolution du taux de consultation selon le sexe et le milieu de résidence","Feminin","Urbain","%","2018","56.9"
"Evolution du taux de consultation selon le sexe et le milieu de résidence","Feminin","Rural","%","1998","2.5"
"Evolution du taux de consultation selon le sexe et le milieu de résidence","Feminin","Rural","%","2003","4"
"Evolution du taux de consultation selon le sexe et le milieu de résidence","Feminin","Rural","%","2018","58.5"
"Evolution du taux de consultation selon le sexe et le milieu de résidence","Feminin","Ensemble","%","1994","6"
"Evolution du taux de consultation selon le sexe et le milieu de résidence","Feminin","Ensemble","%","1998","5.3"
"Evolution du taux de consultation selon le sexe et le milieu de résidence","Feminin","Ensemble","%","2003","4.4"
"Evolution du taux de consultation selon le sexe et le milieu de résidence","Feminin","Ensemble","%","2005","7"
"Evolution du taux de consultation selon le sexe et le milieu de résidence","Feminin","Ensemble","%","2007","6.6"
"Evolution du taux de consultation selon le sexe et le milieu de résidence","Feminin","Ensemble","%","2014","8.8"
"Evolution du taux de consultation selon le sexe et le milieu de résidence","Feminin","Ensemble","%","2018","58"
"Evolution du taux de consultation selon le sexe et le milieu de résidence","Feminin","Ensemble","%","2021","65.2"
