"indicateur","couverture-vaccinale","Unit","Date","Value"
"Evolution de la couverture vaccinale des enfants de 0 à 11 mois","BCG","%","1998","50.9"
"Evolution de la couverture vaccinale des enfants de 0 à 11 mois","BCG","%","1999","56.3"
"Evolution de la couverture vaccinale des enfants de 0 à 11 mois","BCG","%","2000","71"
"Evolution de la couverture vaccinale des enfants de 0 à 11 mois","BCG","%","2001","78.3"
"Evolution de la couverture vaccinale des enfants de 0 à 11 mois","BCG","%","2002","83.4"
"Evolution de la couverture vaccinale des enfants de 0 à 11 mois","BCG","%","2003","80.4"
"Evolution de la couverture vaccinale des enfants de 0 à 11 mois","BCG","%","2004","102.1"
"Evolution de la couverture vaccinale des enfants de 0 à 11 mois","BCG","%","2005","103.8"
"Evolution de la couverture vaccinale des enfants de 0 à 11 mois","BCG","%","2006","104.3"
"Evolution de la couverture vaccinale des enfants de 0 à 11 mois","BCG","%","2007","108.4"
"Evolution de la couverture vaccinale des enfants de 0 à 11 mois","BCG","%","2008","108.4"
"Evolution de la couverture vaccinale des enfants de 0 à 11 mois","BCG","%","2009","106.1"
"Evolution de la couverture vaccinale des enfants de 0 à 11 mois","BCG","%","2010","104.2"
"Evolution de la couverture vaccinale des enfants de 0 à 11 mois","BCG","%","2011","110.036461143501"
"Evolution de la couverture vaccinale des enfants de 0 à 11 mois","BCG","%","2012","109.4"
"Evolution de la couverture vaccinale des enfants de 0 à 11 mois","BCG","%","2013","106.4"
"Evolution de la couverture vaccinale des enfants de 0 à 11 mois","BCG","%","2014","105.8"
"Evolution de la couverture vaccinale des enfants de 0 à 11 mois","BCG","%","2015","104"
"Evolution de la couverture vaccinale des enfants de 0 à 11 mois","BCG","%","2016","102.988165694051"
"Evolution de la couverture vaccinale des enfants de 0 à 11 mois","BCG","%","2017","101.6"
"Evolution de la couverture vaccinale des enfants de 0 à 11 mois","BCG","%","2018","99.5228283508159"
"Evolution de la couverture vaccinale des enfants de 0 à 11 mois","BCG","%","2019","94"
"Evolution de la couverture vaccinale des enfants de 0 à 11 mois","BCG","%","2020","95.1"
"Evolution de la couverture vaccinale des enfants de 0 à 11 mois","BCG","%","2021","116.2"
"Evolution de la couverture vaccinale des enfants de 0 à 11 mois","BCG","%","2022","106.459161337796"
"Evolution de la couverture vaccinale des enfants de 0 à 11 mois","BCG","%","2023","101.295007136509"
"Evolution de la couverture vaccinale des enfants de 0 à 11 mois","DTCHepB-Hib3","%","1998","32.1"
"Evolution de la couverture vaccinale des enfants de 0 à 11 mois","DTCHepB-Hib3","%","1999","42.2"
"Evolution de la couverture vaccinale des enfants de 0 à 11 mois","DTCHepB-Hib3","%","2000","54.6"
"Evolution de la couverture vaccinale des enfants de 0 à 11 mois","DTCHepB-Hib3","%","2001","64.6"
"Evolution de la couverture vaccinale des enfants de 0 à 11 mois","DTCHepB-Hib3","%","2002","69.4"
"Evolution de la couverture vaccinale des enfants de 0 à 11 mois","DTCHepB-Hib3","%","2003","79.7"
"Evolution de la couverture vaccinale des enfants de 0 à 11 mois","DTCHepB-Hib3","%","2004","89.7"
"Evolution de la couverture vaccinale des enfants de 0 à 11 mois","DTCHepB-Hib3","%","2005","98.7"
"Evolution de la couverture vaccinale des enfants de 0 à 11 mois","DTCHepB-Hib3","%","2006","99.1"
"Evolution de la couverture vaccinale des enfants de 0 à 11 mois","DTCHepB-Hib3","%","2007","102.1"
"Evolution de la couverture vaccinale des enfants de 0 à 11 mois","DTCHepB-Hib3","%","2008","103.5"
"Evolution de la couverture vaccinale des enfants de 0 à 11 mois","DTCHepB-Hib3","%","2009","102.9"
"Evolution de la couverture vaccinale des enfants de 0 à 11 mois","DTCHepB-Hib3","%","2010","103.2"
"Evolution de la couverture vaccinale des enfants de 0 à 11 mois","DTCHepB-Hib3","%","2011","100.524670400914"
"Evolution de la couverture vaccinale des enfants de 0 à 11 mois","DTCHepB-Hib3","%","2012","102.9"
"Evolution de la couverture vaccinale des enfants de 0 à 11 mois","DTCHepB-Hib3","%","2013","101.5"
"Evolution de la couverture vaccinale des enfants de 0 à 11 mois","DTCHepB-Hib3","%","2014","103.1"
"Evolution de la couverture vaccinale des enfants de 0 à 11 mois","DTCHepB-Hib3","%","2015","105.3"
"Evolution de la couverture vaccinale des enfants de 0 à 11 mois","DTCHepB-Hib3","%","2016","102.960814170375"
"Evolution de la couverture vaccinale des enfants de 0 à 11 mois","DTCHepB-Hib3","%","2017","104.6"
"Evolution de la couverture vaccinale des enfants de 0 à 11 mois","DTCHepB-Hib3","%","2018","104.794858102413"
"Evolution de la couverture vaccinale des enfants de 0 à 11 mois","DTCHepB-Hib3","%","2019","99"
"Evolution de la couverture vaccinale des enfants de 0 à 11 mois","DTCHepB-Hib3","%","2020","98.7"
"Evolution de la couverture vaccinale des enfants de 0 à 11 mois","DTCHepB-Hib3","%","2021","100.4"
"Evolution de la couverture vaccinale des enfants de 0 à 11 mois","DTCHepB-Hib3","%","2022","95.5812655174526"
"Evolution de la couverture vaccinale des enfants de 0 à 11 mois","DTCHepB-Hib3","%","2023","94.0398495664944"
"Evolution de la couverture vaccinale des enfants de 0 à 11 mois","Anti-rougeoleux","%","1998","39.2"
"Evolution de la couverture vaccinale des enfants de 0 à 11 mois","Anti-rougeoleux","%","1999","53.7"
"Evolution de la couverture vaccinale des enfants de 0 à 11 mois","Anti-rougeoleux","%","2000","56.3"
