"indicateur","motifs-de-deces","rubriques","Unit","Date","Value"
"Les 10 principales causes de décès dans les centres médicaux et les hôpitaux à partir de 2014","Infection du nouveau né","< 1 ans","Nombre","2014","918"
"Les 10 principales causes de décès dans les centres médicaux et les hôpitaux à partir de 2014","Infection du nouveau né","< 1 ans","Nombre","2015","925"
"Les 10 principales causes de décès dans les centres médicaux et les hôpitaux à partir de 2014","Infection du nouveau né","< 1 ans","Nombre","2016","1257"
"Les 10 principales causes de décès dans les centres médicaux et les hôpitaux à partir de 2014","Infection du nouveau né","< 1 ans","Nombre","2017","1348"
"Les 10 principales causes de décès dans les centres médicaux et les hôpitaux à partir de 2014","Infection du nouveau né","< 1 ans","Nombre","2018","1465"
"Les 10 principales causes de décès dans les centres médicaux et les hôpitaux à partir de 2014","Infection du nouveau né","1-4 ans","Nombre","2014","0"
"Les 10 principales causes de décès dans les centres médicaux et les hôpitaux à partir de 2014","Infection du nouveau né","1-4 ans","Nombre","2015","0"
"Les 10 principales causes de décès dans les centres médicaux et les hôpitaux à partir de 2014","Infection du nouveau né","1-4 ans","Nombre","2016","0"
"Les 10 principales causes de décès dans les centres médicaux et les hôpitaux à partir de 2014","Infection du nouveau né","1-4 ans","Nombre","2017","0"
"Les 10 principales causes de décès dans les centres médicaux et les hôpitaux à partir de 2014","Infection du nouveau né","1-4 ans","Nombre","2018","0"
"Les 10 principales causes de décès dans les centres médicaux et les hôpitaux à partir de 2014","Infection du nouveau né","5-14 ans","Nombre","2014","0"
"Les 10 principales causes de décès dans les centres médicaux et les hôpitaux à partir de 2014","Infection du nouveau né","5-14 ans","Nombre","2015","0"
"Les 10 principales causes de décès dans les centres médicaux et les hôpitaux à partir de 2014","Infection du nouveau né","5-14 ans","Nombre","2016","0"
"Les 10 principales causes de décès dans les centres médicaux et les hôpitaux à partir de 2014","Infection du nouveau né","5-14 ans","Nombre","2017","0"
"Les 10 principales causes de décès dans les centres médicaux et les hôpitaux à partir de 2014","Infection du nouveau né","5-14 ans","Nombre","2018","0"
"Les 10 principales causes de décès dans les centres médicaux et les hôpitaux à partir de 2014","Infection du nouveau né","5-14 ans","Nombre","2021","0"
"Les 10 principales causes de décès dans les centres médicaux et les hôpitaux à partir de 2014","Infection du nouveau né","5-14 ans","Nombre","2022","0"
"Les 10 principales causes de décès dans les centres médicaux et les hôpitaux à partir de 2014","Infection du nouveau né","Adultes Feminins","Nombre","2014","0"
"Les 10 principales causes de décès dans les centres médicaux et les hôpitaux à partir de 2014","Infection du nouveau né","Adultes Feminins","Nombre","2015","0"
"Les 10 principales causes de décès dans les centres médicaux et les hôpitaux à partir de 2014","Infection du nouveau né","Adultes Feminins","Nombre","2016","0"
"Les 10 principales causes de décès dans les centres médicaux et les hôpitaux à partir de 2014","Infection du nouveau né","Adultes Feminins","Nombre","2017","0"
"Les 10 principales causes de décès dans les centres médicaux et les hôpitaux à partir de 2014","Infection du nouveau né","Adultes Feminins","Nombre","2018","0"
"Les 10 principales causes de décès dans les centres médicaux et les hôpitaux à partir de 2014","Infection du nouveau né","Adultes Masculins","Nombre","2014","0"
"Les 10 principales causes de décès dans les centres médicaux et les hôpitaux à partir de 2014","Infection du nouveau né","Adultes Masculins","Nombre","2015","0"
