"indicateur","rubriques","Unit","Date","Value"
"Evolution des indicateurs de santé","Taux brut de natalité (‰)","‰","1960","50"
"Evolution des indicateurs de santé","Taux brut de natalité (‰)","‰","1975","46"
"Evolution des indicateurs de santé","Taux brut de natalité (‰)","‰","1985","49.6"
"Evolution des indicateurs de santé","Taux brut de natalité (‰)","‰","1991","45.2"
"Evolution des indicateurs de santé","Taux brut de natalité (‰)","‰","1993","43"
"Evolution des indicateurs de santé","Taux brut de natalité (‰)","‰","1996","46.1"
"Evolution des indicateurs de santé","Taux brut de natalité (‰)","‰","1999","45.1"
"Evolution des indicateurs de santé","Taux brut de natalité (‰)","‰","2006","46"
"Evolution des indicateurs de santé","Taux brut de natalité (‰)","‰","2010","41.6"
"Evolution des indicateurs de santé","Taux brut de natalité (‰)","‰","2019","39.4"
"Evolution des indicateurs de santé","Taux brut de natalité (‰)","‰","2021","30.7"
"Evolution des indicateurs de santé","Taux brut de mortalité (‰)","‰","1960","32"
"Evolution des indicateurs de santé","Taux brut de mortalité (‰)","‰","1975","24"
"Evolution des indicateurs de santé","Taux brut de mortalité (‰)","‰","1985","17.5"
"Evolution des indicateurs de santé","Taux brut de mortalité (‰)","‰","1991","16.4"
"Evolution des indicateurs de santé","Taux brut de mortalité (‰)","‰","1996","14.8"
"Evolution des indicateurs de santé","Taux brut de mortalité (‰)","‰","2006","11.8"
"Evolution des indicateurs de santé","Taux brut de mortalité (‰)","‰","2010","11.8"
"Evolution des indicateurs de santé","Taux brut de mortalité (‰)","‰","2019","9.2"
"Evolution des indicateurs de santé","Quotient de mortalité infantile (‰)","‰","1960","182"
"Evolution des indicateurs de santé","Quotient de mortalité infantile (‰)","‰","1975","167"
"Evolution des indicateurs de santé","Quotient de mortalité infantile (‰)","‰","1985","134"
"Evolution des indicateurs de santé","Quotient de mortalité infantile (‰)","‰","1991","114.6"
"Evolution des indicateurs de santé","Quotient de mortalité infantile (‰)","‰","1993","93.7"
"Evolution des indicateurs de santé","Quotient de mortalité infantile (‰)","‰","1996","107.1"
"Evolution des indicateurs de santé","Quotient de mortalité infantile (‰)","‰","1999","105.3"
