"indicateur","sexe","milieu","Unit","Date","Value"
"Evolution du taux de morbidité selon le sexe et le milieu de résidence","Masculin","Urbain","%","1998","10.1"
"Evolution du taux de morbidité selon le sexe et le milieu de résidence","Masculin","Urbain","%","2003","6.3"
"Evolution du taux de morbidité selon le sexe et le milieu de résidence","Masculin","Urbain","%","2018","30.6"
"Evolution du taux de morbidité selon le sexe et le milieu de résidence","Masculin","Rural","%","1998","6.2"
"Evolution du taux de morbidité selon le sexe et le milieu de résidence","Masculin","Rural","%","2003","5.5"
"Evolution du taux de morbidité selon le sexe et le milieu de résidence","Masculin","Rural","%","2018","27.4"
"Evolution du taux de morbidité selon le sexe et le milieu de résidence","Masculin","Ensemble","%","1994","16.1"
"Evolution du taux de morbidité selon le sexe et le milieu de résidence","Masculin","Ensemble","%","1998","7.2"
"Evolution du taux de morbidité selon le sexe et le milieu de résidence","Masculin","Ensemble","%","2003","5.7"
"Evolution du taux de morbidité selon le sexe et le milieu de résidence","Masculin","Ensemble","%","2005","10.6"
"Evolution du taux de morbidité selon le sexe et le milieu de résidence","Masculin","Ensemble","%","2007","7.9"
"Evolution du taux de morbidité selon le sexe et le milieu de résidence","Masculin","Ensemble","%","2014","7.9"
"Evolution du taux de morbidité selon le sexe et le milieu de résidence","Masculin","Ensemble","%","2018","28.2"
"Evolution du taux de morbidité selon le sexe et le milieu de résidence","Masculin","Ensemble","%","2021","26.3"
"Evolution du taux de morbidité selon le sexe et le milieu de résidence","Feminin","Urbain","%","1998","11.5"
"Evolution du taux de morbidité selon le sexe et le milieu de résidence","Feminin","Urbain","%","2003","7.3"
"Evolution du taux de morbidité selon le sexe et le milieu de résidence","Feminin","Urbain","%","2018","34.5"
"Evolution du taux de morbidité selon le sexe et le milieu de résidence","Feminin","Rural","%","1998","6.4"
"Evolution du taux de morbidité selon le sexe et le milieu de résidence","Feminin","Rural","%","2003","5.6"
"Evolution du taux de morbidité selon le sexe et le milieu de résidence","Feminin","Rural","%","2018","29.4"
"Evolution du taux de morbidité selon le sexe et le milieu de résidence","Feminin","Ensemble","%","1994","15.5"
"Evolution du taux de morbidité selon le sexe et le milieu de résidence","Feminin","Ensemble","%","1998","7.1"
"Evolution du taux de morbidité selon le sexe et le milieu de résidence","Feminin","Ensemble","%","2003","5.9"
"Evolution du taux de morbidité selon le sexe et le milieu de résidence","Feminin","Ensemble","%","2005","11.2"
"Evolution du taux de morbidité selon le sexe et le milieu de résidence","Feminin","Ensemble","%","2007","8.8"
"Evolution du taux de morbidité selon le sexe et le milieu de résidence","Feminin","Ensemble","%","2014","8.8"
"Evolution du taux de morbidité selon le sexe et le milieu de résidence","Feminin","Ensemble","%","2018","30.7"
"Evolution du taux de morbidité selon le sexe et le milieu de résidence","Feminin","Ensemble","%","2021","29.3"
"Evolution du taux de morbidité selon le sexe et le milieu de résidence","Ensemble","Urbain","%","1994","268"
"Evolution du taux de morbidité selon le sexe et le milieu de résidence","Ensemble","Urbain","%","1998","10.6"
"Evolution du taux de morbidité selon le sexe et le milieu de résidence","Ensemble","Urbain","%","2003","6.8"
"Evolution du taux de morbidité selon le sexe et le milieu de résidence","Ensemble","Urbain","%","2007","11.8"
"Evolution du taux de morbidité selon le sexe et le milieu de résidence","Ensemble","Urbain","%","2014","11.8"
"Evolution du taux de morbidité selon le sexe et le milieu de résidence","Ensemble","Urbain","%","2018","32.7"
"Evolution du taux de morbidité selon le sexe et le milieu de résidence","Ensemble","Urbain","%","2021","29.5"
"Evolution du taux de morbidité selon le sexe et le milieu de résidence","Ensemble","Rural","%","1994","137"
"Evolution du taux de morbidité selon le sexe et le milieu de résidence","Ensemble","Rural","%","1998","6.3"
"Evolution du taux de morbidité selon le sexe et le milieu de résidence","Ensemble","Rural","%","2003","5.5"
"Evolution du taux de morbidité selon le sexe et le milieu de résidence","Ensemble","Rural","%","2007","7.7"
"Evolution du taux de morbidité selon le sexe et le milieu de résidence","Ensemble","Rural","%","2014","7.7"
"Evolution du taux de morbidité selon le sexe et le milieu de résidence","Ensemble","Rural","%","2018","28.4"
"Evolution du taux de morbidité selon le sexe et le milieu de résidence","Ensemble","Rural","%","2021","27.3"
"Evolution du taux de morbidité selon le sexe et le milieu de résidence","Ensemble","Ensemble","%","1994","15.8"
"Evolution du taux de morbidité selon le sexe et le milieu de résidence","Ensemble","Ensemble","%","1998","7.1"
"Evolution du taux de morbidité selon le sexe et le milieu de résidence","Ensemble","Ensemble","%","2003","5.8"
"Evolution du taux de morbidité selon le sexe et le milieu de résidence","Ensemble","Ensemble","%","2005","10.9"
"Evolution du taux de morbidité selon le sexe et le milieu de résidence","Ensemble","Ensemble","%","2007","8.4"
"Evolution du taux de morbidité selon le sexe et le milieu de résidence","Ensemble","Ensemble","%","2014","8.4"
"Evolution du taux de morbidité selon le sexe et le milieu de résidence","Ensemble","Ensemble","%","2018","29.5"
"Evolution du taux de morbidité selon le sexe et le milieu de résidence","Ensemble","Ensemble","%","2021","27.9"
