"indicateur","décès","Unit","Date","Value"
"Evolution des cas et des décès des maladies épidémiques","Cas de méningite","Nombre","2014","3633"
"Evolution des cas et des décès des maladies épidémiques","Cas de méningite","Nombre","2015","1590"
"Evolution des cas et des décès des maladies épidémiques","Cas de méningite","Nombre","2016","2761"
"Evolution des cas et des décès des maladies épidémiques","Cas de méningite","Nombre","2017","2707"
"Evolution des cas et des décès des maladies épidémiques","Cas de méningite","Nombre","2018","2514"
"Evolution des cas et des décès des maladies épidémiques","Cas de méningite","Nombre","2019","1865"
"Evolution des cas et des décès des maladies épidémiques","Cas de méningite","Nombre","2020","1845"
"Evolution des cas et des décès des maladies épidémiques","Cas de méningite","Nombre","2021","1920"
"Evolution des cas et des décès des maladies épidémiques","Cas de méningite","Nombre","2022","2071"
"Evolution des cas et des décès des maladies épidémiques","Cas de méningite","Nombre","2023","1971"
"Evolution des cas et des décès des maladies épidémiques","Cas de méningite","Nombre","2024","1984"
"Evolution des cas et des décès des maladies épidémiques","Décès de méningite","Nombre","2014","397"
"Evolution des cas et des décès des maladies épidémiques","Décès de méningite","Nombre","2015","299"
"Evolution des cas et des décès des maladies épidémiques","Décès de méningite","Nombre","2016","290"
"Evolution des cas et des décès des maladies épidémiques","Décès de méningite","Nombre","2017","209"
"Evolution des cas et des décès des maladies épidémiques","Décès de méningite","Nombre","2018","171"
"Evolution des cas et des décès des maladies épidémiques","Décès de méningite","Nombre","2019","130"
"Evolution des cas et des décès des maladies épidémiques","Décès de méningite","Nombre","2020","126"
"Evolution des cas et des décès des maladies épidémiques","Décès de méningite","Nombre","2021","104"
"Evolution des cas et des décès des maladies épidémiques","Décès de méningite","Nombre","2022","81"
"Evolution des cas et des décès des maladies épidémiques","Décès de méningite","Nombre","2023","75"
"Evolution des cas et des décès des maladies épidémiques","Décès de méningite","Nombre","2024","64"
"Evolution des cas et des décès des maladies épidémiques","Cas de choléra","Nombre","2014","0"
"Evolution des cas et des décès des maladies épidémiques","Cas de choléra","Nombre","2015","0"
"Evolution des cas et des décès des maladies épidémiques","Cas de choléra","Nombre","2016","0"
"Evolution des cas et des décès des maladies épidémiques","Cas de choléra","Nombre","2017","0"
"Evolution des cas et des décès des maladies épidémiques","Cas de choléra","Nombre","2018","0"
"Evolution des cas et des décès des maladies épidémiques","Cas de choléra","Nombre","2019","0"
"Evolution des cas et des décès des maladies épidémiques","Cas de choléra","Nombre","2020","0"
"Evolution des cas et des décès des maladies épidémiques","Cas de choléra","Nombre","2021","2"
"Evolution des cas et des décès des maladies épidémiques","Cas de choléra","Nombre","2022","4"
"Evolution des cas et des décès des maladies épidémiques","Cas de choléra","Nombre","2023","0"
"Evolution des cas et des décès des maladies épidémiques","Cas de choléra","Nombre","2024","0"
"Evolution des cas et des décès des maladies épidémiques","Décès de choléra","Nombre","2014","0"
"Evolution des cas et des décès des maladies épidémiques","Décès de choléra","Nombre","2015","0"
"Evolution des cas et des décès des maladies épidémiques","Décès de choléra","Nombre","2016","0"
"Evolution des cas et des décès des maladies épidémiques","Décès de choléra","Nombre","2017","0"
"Evolution des cas et des décès des maladies épidémiques","Décès de choléra","Nombre","2018","0"
"Evolution des cas et des décès des maladies épidémiques","Décès de choléra","Nombre","2019","0"
"Evolution des cas et des décès des maladies épidémiques","Décès de choléra","Nombre","2020","0"
"Evolution des cas et des décès des maladies épidémiques","Décès de choléra","Nombre","2021","0"
