"indicateur","infrastructures","Unit","Date","Value"
"Evolution des Infrastructures sanitaires","Hôpitaux nationaux","Nombre","1996","2"
"Evolution des Infrastructures sanitaires","Hôpitaux nationaux","Nombre","1997","2"
"Evolution des Infrastructures sanitaires","Hôpitaux nationaux","Nombre","1998","2"
"Evolution des Infrastructures sanitaires","Hôpitaux nationaux","Nombre","1999","2"
"Evolution des Infrastructures sanitaires","Hôpitaux nationaux","Nombre","2000","2"
"Evolution des Infrastructures sanitaires","Hôpitaux nationaux","Nombre","2001","3"
"Evolution des Infrastructures sanitaires","Hôpitaux nationaux","Nombre","2002","3"
"Evolution des Infrastructures sanitaires","Hôpitaux nationaux","Nombre","2003","3"
"Evolution des Infrastructures sanitaires","Hôpitaux nationaux","Nombre","2004","3"
"Evolution des Infrastructures sanitaires","Hôpitaux nationaux","Nombre","2005","3"
"Evolution des Infrastructures sanitaires","Hôpitaux nationaux","Nombre","2006","3"
"Evolution des Infrastructures sanitaires","Hôpitaux nationaux","Nombre","2007","3"
"Evolution des Infrastructures sanitaires","Hôpitaux nationaux","Nombre","2008","3"
"Evolution des Infrastructures sanitaires","Hôpitaux nationaux","Nombre","2009","3"
"Evolution des Infrastructures sanitaires","Hôpitaux nationaux","Nombre","2010","3"
"Evolution des Infrastructures sanitaires","Hôpitaux nationaux","Nombre","2011","4"
"Evolution des Infrastructures sanitaires","Hôpitaux nationaux","Nombre","2012","4"
"Evolution des Infrastructures sanitaires","Hôpitaux nationaux","Nombre","2013","4"
"Evolution des Infrastructures sanitaires","Hôpitaux nationaux","Nombre","2014","4"
"Evolution des Infrastructures sanitaires","Hôpitaux nationaux","Nombre","2015","4"
"Evolution des Infrastructures sanitaires","Hôpitaux nationaux","Nombre","2016","5"
"Evolution des Infrastructures sanitaires","Hôpitaux nationaux","Nombre","2017","6"
"Evolution des Infrastructures sanitaires","Hôpitaux nationaux","Nombre","2018","6"
"Evolution des Infrastructures sanitaires","Hôpitaux nationaux","Nombre","2019","6"
"Evolution des Infrastructures sanitaires","Hôpitaux nationaux","Nombre","2020","6"
"Evolution des Infrastructures sanitaires","Hôpitaux nationaux","Nombre","2021","6"
"Evolution des Infrastructures sanitaires","Hôpitaux nationaux","Nombre","2022","6"
"Evolution des Infrastructures sanitaires","Hôpitaux nationaux","Nombre","2023","6"
"Evolution des Infrastructures sanitaires","Hôpitaux régionaux","Nombre","1996","9"
"Evolution des Infrastructures sanitaires","Hôpitaux régionaux","Nombre","1997","9"
"Evolution des Infrastructures sanitaires","Hôpitaux régionaux","Nombre","1998","9"
"Evolution des Infrastructures sanitaires","Hôpitaux régionaux","Nombre","1999","9"
"Evolution des Infrastructures sanitaires","Hôpitaux régionaux","Nombre","2000","9"
"Evolution des Infrastructures sanitaires","Hôpitaux régionaux","Nombre","2001","9"
"Evolution des Infrastructures sanitaires","Hôpitaux régionaux","Nombre","2002","9"
"Evolution des Infrastructures sanitaires","Hôpitaux régionaux","Nombre","2003","9"
"Evolution des Infrastructures sanitaires","Hôpitaux régionaux","Nombre","2004","9"
"Evolution des Infrastructures sanitaires","Hôpitaux régionaux","Nombre","2005","9"
"Evolution des Infrastructures sanitaires","Hôpitaux régionaux","Nombre","2006","9"
"Evolution des Infrastructures sanitaires","Hôpitaux régionaux","Nombre","2007","9"
"Evolution des Infrastructures sanitaires","Hôpitaux régionaux","Nombre","2008","9"
"Evolution des Infrastructures sanitaires","Hôpitaux régionaux","Nombre","2009","9"
"Evolution des Infrastructures sanitaires","Hôpitaux régionaux","Nombre","2010","9"
"Evolution des Infrastructures sanitaires","Hôpitaux régionaux","Nombre","2011","9"
"Evolution des Infrastructures sanitaires","Hôpitaux régionaux","Nombre","2012","9"
"Evolution des Infrastructures sanitaires","Hôpitaux régionaux","Nombre","2013","9"
"Evolution des Infrastructures sanitaires","Hôpitaux régionaux","Nombre","2014","9"
"Evolution des Infrastructures sanitaires","Hôpitaux régionaux","Nombre","2015","9"
"Evolution des Infrastructures sanitaires","Hôpitaux régionaux","Nombre","2016","8"
"Evolution des Infrastructures sanitaires","Hôpitaux régionaux","Nombre","2017","8"
"Evolution des Infrastructures sanitaires","Hôpitaux régionaux","Nombre","2018","8"
"Evolution des Infrastructures sanitaires","Hôpitaux régionaux","Nombre","2019","9"
"Evolution des Infrastructures sanitaires","Hôpitaux régionaux","Nombre","2020","9"
"Evolution des Infrastructures sanitaires","Hôpitaux régionaux","Nombre","2021","9"
"Evolution des Infrastructures sanitaires","Hôpitaux régionaux","Nombre","2022","9"
"Evolution des Infrastructures sanitaires","Hôpitaux régionaux","Nombre","2023","9"
"Evolution des Infrastructures sanitaires","Centres médicaux et CMA","Nombre","1996","72"
"Evolution des Infrastructures sanitaires","Centres médicaux et CMA","Nombre","1997","73"
"Evolution des Infrastructures sanitaires","Centres médicaux et CMA","Nombre","1998","72"
"Evolution des Infrastructures sanitaires","Centres médicaux et CMA","Nombre","1999","72"
"Evolution des Infrastructures sanitaires","Centres médicaux et CMA","Nombre","2000","72"
"Evolution des Infrastructures sanitaires","Centres médicaux et CMA","Nombre","2001","69"
"Evolution des Infrastructures sanitaires","Centres médicaux et CMA","Nombre","2002","64"
"Evolution des Infrastructures sanitaires","Centres médicaux et CMA","Nombre","2003","71"
"Evolution des Infrastructures sanitaires","Centres médicaux et CMA","Nombre","2004","83"
"Evolution des Infrastructures sanitaires","Centres médicaux et CMA","Nombre","2005","76"
"Evolution des Infrastructures sanitaires","Centres médicaux et CMA","Nombre","2006","68"
"Evolution des Infrastructures sanitaires","Centres médicaux et CMA","Nombre","2007","75"
"Evolution des Infrastructures sanitaires","Centres médicaux et CMA","Nombre","2008","74"
"Evolution des Infrastructures sanitaires","Centres médicaux et CMA","Nombre","2009","73"
"Evolution des Infrastructures sanitaires","Centres médicaux et CMA","Nombre","2010","73"
"Evolution des Infrastructures sanitaires","Centres médicaux et CMA","Nombre","2011","80"
"Evolution des Infrastructures sanitaires","Centres médicaux et CMA","Nombre","2012","95"
"Evolution des Infrastructures sanitaires","Centres médicaux et CMA","Nombre","2013","77"
"Evolution des Infrastructures sanitaires","Centres médicaux et CMA","Nombre","2014","82"
"Evolution des Infrastructures sanitaires","Centres médicaux et CMA","Nombre","2015","90"
"Evolution des Infrastructures sanitaires","Centres médicaux et CMA","Nombre","2016","98"
"Evolution des Infrastructures sanitaires","Centres médicaux et CMA","Nombre","2017","102"
"Evolution des Infrastructures sanitaires","Centres médicaux et CMA","Nombre","2018","167"
"Evolution des Infrastructures sanitaires","Centres médicaux et CMA","Nombre","2019","116"
"Evolution des Infrastructures sanitaires","Centres médicaux et CMA","Nombre","2020","117"
"Evolution des Infrastructures sanitaires","Centres médicaux et CMA","Nombre","2021","129"
"Evolution des Infrastructures sanitaires","Centres médicaux et CMA","Nombre","2022","145"
"Evolution des Infrastructures sanitaires","Centres médicaux et CMA","Nombre","2023","162"
"Evolution des Infrastructures sanitaires","Centre de Santé et de Promotion Sociale, dispensaires, maternités","Nombre","1996","721"
"Evolution des Infrastructures sanitaires","Centre de Santé et de Promotion Sociale, dispensaires, maternités","Nombre","1997","767"
"Evolution des Infrastructures sanitaires","Centre de Santé et de Promotion Sociale, dispensaires, maternités","Nombre","1998","769"
"Evolution des Infrastructures sanitaires","Centre de Santé et de Promotion Sociale, dispensaires, maternités","Nombre","1999","774"
"Evolution des Infrastructures sanitaires","Centre de Santé et de Promotion Sociale, dispensaires, maternités","Nombre","2000","798"
"Evolution des Infrastructures sanitaires","Centre de Santé et de Promotion Sociale, dispensaires, maternités","Nombre","2001","835"
"Evolution des Infrastructures sanitaires","Centre de Santé et de Promotion Sociale, dispensaires, maternités","Nombre","2002","1051"
"Evolution des Infrastructures sanitaires","Centre de Santé et de Promotion Sociale, dispensaires, maternités","Nombre","2003","1147"
"Evolution des Infrastructures sanitaires","Centre de Santé et de Promotion Sociale, dispensaires, maternités","Nombre","2004","1148"
"Evolution des Infrastructures sanitaires","Centre de Santé et de Promotion Sociale, dispensaires, maternités","Nombre","2005","1172"
"Evolution des Infrastructures sanitaires","Centre de Santé et de Promotion Sociale, dispensaires, maternités","Nombre","2006","1211"
"Evolution des Infrastructures sanitaires","Centre de Santé et de Promotion Sociale, dispensaires, maternités","Nombre","2007","1268"
"Evolution des Infrastructures sanitaires","Centre de Santé et de Promotion Sociale, dispensaires, maternités","Nombre","2008","1352"
"Evolution des Infrastructures sanitaires","Centre de Santé et de Promotion Sociale, dispensaires, maternités","Nombre","2009","1373"
"Evolution des Infrastructures sanitaires","Centre de Santé et de Promotion Sociale, dispensaires, maternités","Nombre","2010","1429"
"Evolution des Infrastructures sanitaires","Centre de Santé et de Promotion Sociale, dispensaires, maternités","Nombre","2011","1443"
"Evolution des Infrastructures sanitaires","Centre de Santé et de Promotion Sociale, dispensaires, maternités","Nombre","2012","1495"
"Evolution des Infrastructures sanitaires","Centre de Santé et de Promotion Sociale, dispensaires, maternités","Nombre","2013","1606"
"Evolution des Infrastructures sanitaires","Centre de Santé et de Promotion Sociale, dispensaires, maternités","Nombre","2014","1643"
"Evolution des Infrastructures sanitaires","Centre de Santé et de Promotion Sociale, dispensaires, maternités","Nombre","2015","1698"
"Evolution des Infrastructures sanitaires","Centre de Santé et de Promotion Sociale, dispensaires, maternités","Nombre","2016","1760"
"Evolution des Infrastructures sanitaires","Centre de Santé et de Promotion Sociale, dispensaires, maternités","Nombre","2017","1839"
"Evolution des Infrastructures sanitaires","Centre de Santé et de Promotion Sociale, dispensaires, maternités","Nombre","2018","1955"
"Evolution des Infrastructures sanitaires","Centre de Santé et de Promotion Sociale, dispensaires, maternités","Nombre","2019","1948"
"Evolution des Infrastructures sanitaires","Centre de Santé et de Promotion Sociale, dispensaires, maternités","Nombre","2020","2041"
"Evolution des Infrastructures sanitaires","Centre de Santé et de Promotion Sociale, dispensaires, maternités","Nombre","2021","2126"
"Evolution des Infrastructures sanitaires","Centre de Santé et de Promotion Sociale, dispensaires, maternités","Nombre","2022","2207"
"Evolution des Infrastructures sanitaires","Centre de Santé et de Promotion Sociale, dispensaires, maternités","Nombre","2023","2233"
"Evolution des Infrastructures sanitaires","Dispensaires seuls","Nombre","1996","130"
"Evolution des Infrastructures sanitaires","Dispensaires seuls","Nombre","1997","124"
"Evolution des Infrastructures sanitaires","Dispensaires seuls","Nombre","1998","130"
"Evolution des Infrastructures sanitaires","Dispensaires seuls","Nombre","1999","145"
"Evolution des Infrastructures sanitaires","Dispensaires seuls","Nombre","2000","145"
"Evolution des Infrastructures sanitaires","Dispensaires seuls","Nombre","2001","145"
"Evolution des Infrastructures sanitaires","Dispensaires seuls","Nombre","2002","87"
"Evolution des Infrastructures sanitaires","Dispensaires seuls","Nombre","2003","93"
"Evolution des Infrastructures sanitaires","Dispensaires seuls","Nombre","2004","67"
"Evolution des Infrastructures sanitaires","Dispensaires seuls","Nombre","2005","83"
"Evolution des Infrastructures sanitaires","Dispensaires seuls","Nombre","2006","178"
"Evolution des Infrastructures sanitaires","Dispensaires seuls","Nombre","2007","101"
"Evolution des Infrastructures sanitaires","Dispensaires seuls","Nombre","2008","113"
"Evolution des Infrastructures sanitaires","Dispensaires seuls","Nombre","2009","122"
"Evolution des Infrastructures sanitaires","Dispensaires seuls","Nombre","2010","124"
"Evolution des Infrastructures sanitaires","Dispensaires seuls","Nombre","2011","165"
"Evolution des Infrastructures sanitaires","Dispensaires seuls","Nombre","2012","164"
"Evolution des Infrastructures sanitaires","Dispensaires seuls","Nombre","2013","123"
"Evolution des Infrastructures sanitaires","Dispensaires seuls","Nombre","2014","127"
"Evolution des Infrastructures sanitaires","Dispensaires seuls","Nombre","2015","119"
"Evolution des Infrastructures sanitaires","Dispensaires seuls","Nombre","2016","134"
"Evolution des Infrastructures sanitaires","Dispensaires seuls","Nombre","2017","136"
"Evolution des Infrastructures sanitaires","Dispensaires seuls","Nombre","2018","172"
"Evolution des Infrastructures sanitaires","Dispensaires seuls","Nombre","2019","131"
"Evolution des Infrastructures sanitaires","Dispensaires seuls","Nombre","2020","111"
"Evolution des Infrastructures sanitaires","Dispensaires seuls","Nombre","2021","87"
"Evolution des Infrastructures sanitaires","Dispensaires seuls","Nombre","2022","51"
"Evolution des Infrastructures sanitaires","Dispensaires seuls","Nombre","2023","49"
"Evolution des Infrastructures sanitaires","Maternités seules","Nombre","1996","27"
"Evolution des Infrastructures sanitaires","Maternités seules","Nombre","1997","32"
"Evolution des Infrastructures sanitaires","Maternités seules","Nombre","1998","17"
"Evolution des Infrastructures sanitaires","Maternités seules","Nombre","1999","17"
"Evolution des Infrastructures sanitaires","Maternités seules","Nombre","2000","46"
"Evolution des Infrastructures sanitaires","Maternités seules","Nombre","2001","46"
"Evolution des Infrastructures sanitaires","Maternités seules","Nombre","2002","39"
"Evolution des Infrastructures sanitaires","Maternités seules","Nombre","2003","28"
"Evolution des Infrastructures sanitaires","Maternités seules","Nombre","2004","16"
"Evolution des Infrastructures sanitaires","Maternités seules","Nombre","2005","23"
"Evolution des Infrastructures sanitaires","Maternités seules","Nombre","2006","18"
"Evolution des Infrastructures sanitaires","Maternités seules","Nombre","2007","21"
"Evolution des Infrastructures sanitaires","Maternités seules","Nombre","2008","22"
"Evolution des Infrastructures sanitaires","Maternités seules","Nombre","2009","22"
"Evolution des Infrastructures sanitaires","Maternités seules","Nombre","2010","30"
"Evolution des Infrastructures sanitaires","Maternités seules","Nombre","2011","26"
"Evolution des Infrastructures sanitaires","Maternités seules","Nombre","2012","24"
"Evolution des Infrastructures sanitaires","Maternités seules","Nombre","2013","14"
"Evolution des Infrastructures sanitaires","Maternités seules","Nombre","2014","15"
"Evolution des Infrastructures sanitaires","Maternités seules","Nombre","2015","12"
"Evolution des Infrastructures sanitaires","Maternités seules","Nombre","2016","10"
"Evolution des Infrastructures sanitaires","Maternités seules","Nombre","2017","8"
"Evolution des Infrastructures sanitaires","Maternités seules","Nombre","2018","9"
"Evolution des Infrastructures sanitaires","Maternités seules","Nombre","2019","10"
"Evolution des Infrastructures sanitaires","Maternités seules","Nombre","2020","9"
"Evolution des Infrastructures sanitaires","Maternités seules","Nombre","2021","9"
"Evolution des Infrastructures sanitaires","Maternités seules","Nombre","2022","4"
"Evolution des Infrastructures sanitaires","Maternités seules","Nombre","2023","4"
"Evolution des Infrastructures sanitaires","Infrimerie","Nombre","2023","213"
