"indicateur","emploi","rubriques","Unit","Date","Value"
"Evolution des personnels de santé du secteur public à partir de 2017","Médecin Généraliste","Total","Nombre","2017","714"
"Evolution des personnels de santé du secteur public à partir de 2017","Médecin Généraliste","Total","Nombre","2018","955"
"Evolution des personnels de santé du secteur public à partir de 2017","Médecin Généraliste","Total","Nombre","2019","1026"
"Evolution des personnels de santé du secteur public à partir de 2017","Médecin Généraliste","Total","Nombre","2020","1026"
"Evolution des personnels de santé du secteur public à partir de 2017","Médecin Généraliste","Total","Nombre","2021","1224"
"Evolution des personnels de santé du secteur public à partir de 2017","Médecin Spécialiste","Total","Nombre","2017","649"
"Evolution des personnels de santé du secteur public à partir de 2017","Médecin Spécialiste","Total","Nombre","2018","732"
"Evolution des personnels de santé du secteur public à partir de 2017","Médecin Spécialiste","Total","Nombre","2019","884"
"Evolution des personnels de santé du secteur public à partir de 2017","Médecin Spécialiste","Total","Nombre","2020","884"
"Evolution des personnels de santé du secteur public à partir de 2017","Médecin Spécialiste","Total","Nombre","2021","1002"
"Evolution des personnels de santé du secteur public à partir de 2017","Chirurgien dentiste","Total","Nombre","2017","22"
"Evolution des personnels de santé du secteur public à partir de 2017","Chirurgien dentiste","Total","Nombre","2018","28"
"Evolution des personnels de santé du secteur public à partir de 2017","Chirurgien dentiste","Total","Nombre","2019","62"
"Evolution des personnels de santé du secteur public à partir de 2017","Chirurgien dentiste","Total","Nombre","2020","62"
"Evolution des personnels de santé du secteur public à partir de 2017","Chirurgien dentiste","Total","Nombre","2021","45"
"Evolution des personnels de santé du secteur public à partir de 2017","Pharmacien","Total","Nombre","2017","234"
"Evolution des personnels de santé du secteur public à partir de 2017","Pharmacien","Total","Nombre","2018","239"
"Evolution des personnels de santé du secteur public à partir de 2017","Pharmacien","Total","Nombre","2019","313"
"Evolution des personnels de santé du secteur public à partir de 2017","Pharmacien","Total","Nombre","2020","313"
"Evolution des personnels de santé du secteur public à partir de 2017","Pharmacien","Total","Nombre","2021","329"
"Evolution des personnels de santé du secteur public à partir de 2017","Attachés de santé","Total","Nombre","2017","2444"
"Evolution des personnels de santé du secteur public à partir de 2017","Attachés de santé","Total","Nombre","2018","2695"
"Evolution des personnels de santé du secteur public à partir de 2017","Attachés de santé","Total","Nombre","2019","2956"
"Evolution des personnels de santé du secteur public à partir de 2017","Attachés de santé","Total","Nombre","2020","2956"
"Evolution des personnels de santé du secteur public à partir de 2017","Attachés de santé","Total","Nombre","2021","2953"
"Evolution des personnels de santé du secteur public à partir de 2017","Infirmier Diplômé d'Etat","Total","Nombre","2017","5424"
"Evolution des personnels de santé du secteur public à partir de 2017","Infirmier Diplômé d'Etat","Total","Nombre","2018","6171"
"Evolution des personnels de santé du secteur public à partir de 2017","Infirmier Diplômé d'Etat","Total","Nombre","2019","6789"
"Evolution des personnels de santé du secteur public à partir de 2017","Infirmier Diplômé d'Etat","Total","Nombre","2020","6789"
"Evolution des personnels de santé du secteur public à partir de 2017","Infirmier Diplômé d'Etat","Total","Nombre","2021","7661"
"Evolution des personnels de santé du secteur public à partir de 2017","Sages Femme/ Maïeuticiens d’Etat","Total","Nombre","2017","3342"
"Evolution des personnels de santé du secteur public à partir de 2017","Sages Femme/ Maïeuticiens d’Etat","Total","Nombre","2018","3674"
"Evolution des personnels de santé du secteur public à partir de 2017","Sages Femme/ Maïeuticiens d’Etat","Total","Nombre","2019","4320"
"Evolution des personnels de santé du secteur public à partir de 2017","Sages Femme/ Maïeuticiens d’Etat","Total","Nombre","2020","4320"
"Evolution des personnels de santé du secteur public à partir de 2017","Sages Femme/ Maïeuticiens d’Etat","Total","Nombre","2021","4847"
"Evolution des personnels de santé du secteur public à partir de 2017","Infirmier Bréveté","Total","Nombre","2017","2099"
"Evolution des personnels de santé du secteur public à partir de 2017","Infirmier Bréveté","Total","Nombre","2018","2199"
"Evolution des personnels de santé du secteur public à partir de 2017","Infirmier Bréveté","Total","Nombre","2019","1824"
"Evolution des personnels de santé du secteur public à partir de 2017","Infirmier Bréveté","Total","Nombre","2020","1824"
"Evolution des personnels de santé du secteur public à partir de 2017","Infirmier Bréveté","Total","Nombre","2021","1604"
"Evolution des personnels de santé du secteur public à partir de 2017","Accoucheuse Breveté","Total","Nombre","2017","242"
"Evolution des personnels de santé du secteur public à partir de 2017","Accoucheuse Breveté","Total","Nombre","2018","471"
