"indicateur","personnel","Unit","Date","Value"
"Evolution des personnels de santé du secteur public","Médecins","Nombre","1995","365"
"Evolution des personnels de santé du secteur public","Médecins","Nombre","1996","361"
"Evolution des personnels de santé du secteur public","Médecins","Nombre","1997","500"
"Evolution des personnels de santé du secteur public","Médecins","Nombre","1998","129"
"Evolution des personnels de santé du secteur public","Médecins","Nombre","1999","406"
"Evolution des personnels de santé du secteur public","Médecins","Nombre","2000","251"
"Evolution des personnels de santé du secteur public","Médecins","Nombre","2001","326"
"Evolution des personnels de santé du secteur public","Médecins","Nombre","2002","490"
"Evolution des personnels de santé du secteur public","Médecins","Nombre","2004","359"
"Evolution des personnels de santé du secteur public","Médecins","Nombre","2006","392"
"Evolution des personnels de santé du secteur public","Médecins","Nombre","2007","441"
"Evolution des personnels de santé du secteur public","Médecins","Nombre","2008","473"
"Evolution des personnels de santé du secteur public","Médecins","Nombre","2009","483"
"Evolution des personnels de santé du secteur public","Médecins","Nombre","2010","662"
"Evolution des personnels de santé du secteur public","Médecins","Nombre","2011","738"
"Evolution des personnels de santé du secteur public","Médecins","Nombre","2012","674"
"Evolution des personnels de santé du secteur public","Médecins","Nombre","2013","697"
"Evolution des personnels de santé du secteur public","Médecins","Nombre","2014","857"
"Evolution des personnels de santé du secteur public","Médecins","Nombre","2015","1066"
"Evolution des personnels de santé du secteur public","Médecins","Nombre","2016","1059"
"Evolution des personnels de santé du secteur public","Chirurgiens dentistes","Nombre","1995","29"
"Evolution des personnels de santé du secteur public","Chirurgiens dentistes","Nombre","1996","31"
"Evolution des personnels de santé du secteur public","Chirurgiens dentistes","Nombre","1997","26"
"Evolution des personnels de santé du secteur public","Chirurgiens dentistes","Nombre","1998","11"
"Evolution des personnels de santé du secteur public","Chirurgiens dentistes","Nombre","1999","25"
"Evolution des personnels de santé du secteur public","Chirurgiens dentistes","Nombre","2000","17"
"Evolution des personnels de santé du secteur public","Chirurgiens dentistes","Nombre","2002","36"
"Evolution des personnels de santé du secteur public","Chirurgiens dentistes","Nombre","2004","30"
"Evolution des personnels de santé du secteur public","Chirurgiens dentistes","Nombre","2006","50"
"Evolution des personnels de santé du secteur public","Chirurgiens dentistes","Nombre","2007","38"
"Evolution des personnels de santé du secteur public","Chirurgiens dentistes","Nombre","2008","33"
"Evolution des personnels de santé du secteur public","Chirurgiens dentistes","Nombre","2009","31"
"Evolution des personnels de santé du secteur public","Chirurgiens dentistes","Nombre","2010","32"
"Evolution des personnels de santé du secteur public","Chirurgiens dentistes","Nombre","2011","36"
"Evolution des personnels de santé du secteur public","Chirurgiens dentistes","Nombre","2012","35"
"Evolution des personnels de santé du secteur public","Chirurgiens dentistes","Nombre","2013","33"
"Evolution des personnels de santé du secteur public","Chirurgiens dentistes","Nombre","2014","24"
"Evolution des personnels de santé du secteur public","Chirurgiens dentistes","Nombre","2015","23"
"Evolution des personnels de santé du secteur public","Chirurgiens dentistes","Nombre","2016","21"
"Evolution des personnels de santé du secteur public","Pharmaciens","Nombre","1995","66"
"Evolution des personnels de santé du secteur public","Pharmaciens","Nombre","1996","48"
"Evolution des personnels de santé du secteur public","Pharmaciens","Nombre","1997","104"
"Evolution des personnels de santé du secteur public","Pharmaciens","Nombre","1999","77"
"Evolution des personnels de santé du secteur public","Pharmaciens","Nombre","2000","77"
"Evolution des personnels de santé du secteur public","Pharmaciens","Nombre","2001","88"
"Evolution des personnels de santé du secteur public","Pharmaciens","Nombre","2002","60"
"Evolution des personnels de santé du secteur public","Pharmaciens","Nombre","2004","35"
"Evolution des personnels de santé du secteur public","Pharmaciens","Nombre","2006","61"
"Evolution des personnels de santé du secteur public","Pharmaciens","Nombre","2007","65"
"Evolution des personnels de santé du secteur public","Pharmaciens","Nombre","2008","78"
"Evolution des personnels de santé du secteur public","Pharmaciens","Nombre","2009","88"
"Evolution des personnels de santé du secteur public","Pharmaciens","Nombre","2010","184"
"Evolution des personnels de santé du secteur public","Pharmaciens","Nombre","2011","223"
"Evolution des personnels de santé du secteur public","Pharmaciens","Nombre","2012","203"
"Evolution des personnels de santé du secteur public","Pharmaciens","Nombre","2013","207"
"Evolution des personnels de santé du secteur public","Pharmaciens","Nombre","2014","217"
"Evolution des personnels de santé du secteur public","Pharmaciens","Nombre","2015","199"
"Evolution des personnels de santé du secteur public","Pharmaciens","Nombre","2016","176"
"Evolution des personnels de santé du secteur public","Infirmiers diplômés d'Etat","Nombre","1995","794"
"Evolution des personnels de santé du secteur public","Infirmiers diplômés d'Etat","Nombre","1996","1309"
"Evolution des personnels de santé du secteur public","Infirmiers diplômés d'Etat","Nombre","1997","1514"
"Evolution des personnels de santé du secteur public","Infirmiers diplômés d'Etat","Nombre","1998","821"
"Evolution des personnels de santé du secteur public","Infirmiers diplômés d'Etat","Nombre","1999","1051"
"Evolution des personnels de santé du secteur public","Infirmiers diplômés d'Etat","Nombre","2000","1226"
"Evolution des personnels de santé du secteur public","Infirmiers diplômés d'Etat","Nombre","2001","1560"
"Evolution des personnels de santé du secteur public","Infirmiers diplômés d'Etat","Nombre","2002","1698"
"Evolution des personnels de santé du secteur public","Infirmiers diplômés d'Etat","Nombre","2004","1984"
"Evolution des personnels de santé du secteur public","Infirmiers diplômés d'Etat","Nombre","2006","1963"
"Evolution des personnels de santé du secteur public","Infirmiers diplômés d'Etat","Nombre","2007","2338"
"Evolution des personnels de santé du secteur public","Infirmiers diplômés d'Etat","Nombre","2008","2575"
"Evolution des personnels de santé du secteur public","Infirmiers diplômés d'Etat","Nombre","2009","2757"
"Evolution des personnels de santé du secteur public","Infirmiers diplômés d'Etat","Nombre","2010","3054"
"Evolution des personnels de santé du secteur public","Infirmiers diplômés d'Etat","Nombre","2011","3214"
"Evolution des personnels de santé du secteur public","Infirmiers diplômés d'Etat","Nombre","2012","3158"
"Evolution des personnels de santé du secteur public","Infirmiers diplômés d'Etat","Nombre","2013","3436"
"Evolution des personnels de santé du secteur public","Infirmiers diplômés d'Etat","Nombre","2014","3718"
"Evolution des personnels de santé du secteur public","Infirmiers diplômés d'Etat","Nombre","2015","4295"
"Evolution des personnels de santé du secteur public","Infirmiers diplômés d'Etat","Nombre","2016","4580"
"Evolution des personnels de santé du secteur public","Infirmiers brevétés","Nombre","1995","1284"
"Evolution des personnels de santé du secteur public","Infirmiers brevétés","Nombre","1996","1279"
"Evolution des personnels de santé du secteur public","Infirmiers brevétés","Nombre","1997","1430"
"Evolution des personnels de santé du secteur public","Infirmiers brevétés","Nombre","1998","819"
"Evolution des personnels de santé du secteur public","Infirmiers brevétés","Nombre","1999","1191"
"Evolution des personnels de santé du secteur public","Infirmiers brevétés","Nombre","2000","1226"
"Evolution des personnels de santé du secteur public","Infirmiers brevétés","Nombre","2001","1560"
"Evolution des personnels de santé du secteur public","Infirmiers brevétés","Nombre","2002","1698"
"Evolution des personnels de santé du secteur public","Infirmiers brevétés","Nombre","2004","1735"
"Evolution des personnels de santé du secteur public","Infirmiers brevétés","Nombre","2006","1748"
"Evolution des personnels de santé du secteur public","Infirmiers brevétés","Nombre","2007","1924"
"Evolution des personnels de santé du secteur public","Infirmiers brevétés","Nombre","2008","2170"
"Evolution des personnels de santé du secteur public","Infirmiers brevétés","Nombre","2009","2348"
"Evolution des personnels de santé du secteur public","Infirmiers brevétés","Nombre","2010","2558"
"Evolution des personnels de santé du secteur public","Infirmiers brevétés","Nombre","2011","2852"
"Evolution des personnels de santé du secteur public","Infirmiers brevétés","Nombre","2012","2825"
"Evolution des personnels de santé du secteur public","Infirmiers brevétés","Nombre","2013","2650"
"Evolution des personnels de santé du secteur public","Infirmiers brevétés","Nombre","2014","2640"
"Evolution des personnels de santé du secteur public","Infirmiers brevétés","Nombre","2015","2518"
"Evolution des personnels de santé du secteur public","Infirmiers brevétés","Nombre","2016","2470"
"Evolution des personnels de santé du secteur public","Sages-femmes/Maïeuticiens d'Etat","Nombre","1995","357"
"Evolution des personnels de santé du secteur public","Sages-femmes/Maïeuticiens d'Etat","Nombre","1996","369"
"Evolution des personnels de santé du secteur public","Sages-femmes/Maïeuticiens d'Etat","Nombre","1997","460"
"Evolution des personnels de santé du secteur public","Sages-femmes/Maïeuticiens d'Etat","Nombre","1998","196"
"Evolution des personnels de santé du secteur public","Sages-femmes/Maïeuticiens d'Etat","Nombre","1999","347"
"Evolution des personnels de santé du secteur public","Sages-femmes/Maïeuticiens d'Etat","Nombre","2000","280"
"Evolution des personnels de santé du secteur public","Sages-femmes/Maïeuticiens d'Etat","Nombre","2001","406"
"Evolution des personnels de santé du secteur public","Sages-femmes/Maïeuticiens d'Etat","Nombre","2002","576"
"Evolution des personnels de santé du secteur public","Sages-femmes/Maïeuticiens d'Etat","Nombre","2004","504"
"Evolution des personnels de santé du secteur public","Sages-femmes/Maïeuticiens d'Etat","Nombre","2006","500"
"Evolution des personnels de santé du secteur public","Sages-femmes/Maïeuticiens d'Etat","Nombre","2007","604"
"Evolution des personnels de santé du secteur public","Sages-femmes/Maïeuticiens d'Etat","Nombre","2008","697"
"Evolution des personnels de santé du secteur public","Sages-femmes/Maïeuticiens d'Etat","Nombre","2009","833"
"Evolution des personnels de santé du secteur public","Sages-femmes/Maïeuticiens d'Etat","Nombre","2010","1057"
"Evolution des personnels de santé du secteur public","Sages-femmes/Maïeuticiens d'Etat","Nombre","2011","1274"
"Evolution des personnels de santé du secteur public","Sages-femmes/Maïeuticiens d'Etat","Nombre","2012","1316"
"Evolution des personnels de santé du secteur public","Sages-femmes/Maïeuticiens d'Etat","Nombre","2013","1580"
"Evolution des personnels de santé du secteur public","Sages-femmes/Maïeuticiens d'Etat","Nombre","2014","1743"
"Evolution des personnels de santé du secteur public","Sages-femmes/Maïeuticiens d'Etat","Nombre","2015","2374"
"Evolution des personnels de santé du secteur public","Sages-femmes/Maïeuticiens d'Etat","Nombre","2016","2571"
"Evolution des personnels de santé du secteur public","Agents itinérants de santé","Nombre","1995","659"
"Evolution des personnels de santé du secteur public","Agents itinérants de santé","Nombre","1996","622"
"Evolution des personnels de santé du secteur public","Agents itinérants de santé","Nombre","1997","828"
"Evolution des personnels de santé du secteur public","Agents itinérants de santé","Nombre","2004","1202"
"Evolution des personnels de santé du secteur public","Agents itinérants de santé","Nombre","2006","1278"
"Evolution des personnels de santé du secteur public","Agents itinérants de santé","Nombre","2007","1490"
"Evolution des personnels de santé du secteur public","Agents itinérants de santé","Nombre","2008","1583"
"Evolution des personnels de santé du secteur public","Agents itinérants de santé","Nombre","2009","1800"
"Evolution des personnels de santé du secteur public","Agents itinérants de santé","Nombre","2010","1976"
"Evolution des personnels de santé du secteur public","Agents itinérants de santé","Nombre","2011","2102"
"Evolution des personnels de santé du secteur public","Agents itinérants de santé","Nombre","2012","2099"
"Evolution des personnels de santé du secteur public","Agents itinérants de santé","Nombre","2013","2231"
"Evolution des personnels de santé du secteur public","Agents itinérants de santé","Nombre","2014","2812"
"Evolution des personnels de santé du secteur public","Agents itinérants de santé","Nombre","2015","2702"
"Evolution des personnels de santé du secteur public","Agents itinérants de santé","Nombre","2016","2601"
"Evolution des personnels de santé du secteur public","Accoucheuses auxiliaires","Nombre","1995","619"
"Evolution des personnels de santé du secteur public","Accoucheuses auxiliaires","Nombre","1996","687"
"Evolution des personnels de santé du secteur public","Accoucheuses auxiliaires","Nombre","1997","821"
"Evolution des personnels de santé du secteur public","Accoucheuses auxiliaires","Nombre","2004","1746"
"Evolution des personnels de santé du secteur public","Accoucheuses auxiliaires","Nombre","2006","1777"
"Evolution des personnels de santé du secteur public","Accoucheuses auxiliaires","Nombre","2007","2018"
"Evolution des personnels de santé du secteur public","Accoucheuses auxiliaires","Nombre","2008","2101"
"Evolution des personnels de santé du secteur public","Accoucheuses auxiliaires","Nombre","2009","2460"
"Evolution des personnels de santé du secteur public","Accoucheuses auxiliaires","Nombre","2011","2102"
"Evolution des personnels de santé du secteur public","Accoucheuses auxiliaires","Nombre","2012","2982"
"Evolution des personnels de santé du secteur public","Accoucheuses auxiliaires","Nombre","2013","2989"
"Evolution des personnels de santé du secteur public","Accoucheuses auxiliaires","Nombre","2014","3040"
"Evolution des personnels de santé du secteur public","Accoucheuses auxiliaires","Nombre","2015","3380"
"Evolution des personnels de santé du secteur public","Accoucheuses auxiliaires","Nombre","2016","3281"
