"indicateur","region","infrastructures","Unit","Date","Value"
"Infrastructures sanitaires par région à partir de 2017","Burkina Faso","Centre Hospitalier Universitaire","Nombre","2017","6"
"Infrastructures sanitaires par région à partir de 2017","Burkina Faso","Centre Hospitalier Universitaire","Nombre","2018","6"
"Infrastructures sanitaires par région à partir de 2017","Burkina Faso","Centre Hospitalier Universitaire","Nombre","2019","6"
"Infrastructures sanitaires par région à partir de 2017","Burkina Faso","Centre Hospitalier Universitaire","Nombre","2020","6"
"Infrastructures sanitaires par région à partir de 2017","Burkina Faso","Centre Hospitalier Universitaire","Nombre","2021","6"
"Infrastructures sanitaires par région à partir de 2017","Burkina Faso","Centre Hospitalier Universitaire","Nombre","2022","6"
"Infrastructures sanitaires par région à partir de 2017","Burkina Faso","Centre Hospitalier Universitaire","Nombre","2023","6"
"Infrastructures sanitaires par région à partir de 2017","Burkina Faso","Centre Hospitalier Régional","Nombre","2017","8"
"Infrastructures sanitaires par région à partir de 2017","Burkina Faso","Centre Hospitalier Régional","Nombre","2018","8"
"Infrastructures sanitaires par région à partir de 2017","Burkina Faso","Centre Hospitalier Régional","Nombre","2019","9"
"Infrastructures sanitaires par région à partir de 2017","Burkina Faso","Centre Hospitalier Régional","Nombre","2020","9"
"Infrastructures sanitaires par région à partir de 2017","Burkina Faso","Centre Hospitalier Régional","Nombre","2021","9"
"Infrastructures sanitaires par région à partir de 2017","Burkina Faso","Centre Hospitalier Régional","Nombre","2022","9"
"Infrastructures sanitaires par région à partir de 2017","Burkina Faso","Centre Hospitalier Régional","Nombre","2023","9"
"Infrastructures sanitaires par région à partir de 2017","Burkina Faso","Centre Médical avec Antenne chirurgicale","Nombre","2017","45"
"Infrastructures sanitaires par région à partir de 2017","Burkina Faso","Centre Médical avec Antenne chirurgicale","Nombre","2018","49"
"Infrastructures sanitaires par région à partir de 2017","Burkina Faso","Centre Médical avec Antenne chirurgicale","Nombre","2019","45"
"Infrastructures sanitaires par région à partir de 2017","Burkina Faso","Centre Médical avec Antenne chirurgicale","Nombre","2020","46"
"Infrastructures sanitaires par région à partir de 2017","Burkina Faso","Centre Médical avec Antenne chirurgicale","Nombre","2021","46"
"Infrastructures sanitaires par région à partir de 2017","Burkina Faso","Centre Médical avec Antenne chirurgicale","Nombre","2022","46"
"Infrastructures sanitaires par région à partir de 2017","Burkina Faso","Centre Médical avec Antenne chirurgicale","Nombre","2023","46"
"Infrastructures sanitaires par région à partir de 2017","Burkina Faso","Centre Médical","Nombre","2017","57"
"Infrastructures sanitaires par région à partir de 2017","Burkina Faso","Centre Médical","Nombre","2018","118"
"Infrastructures sanitaires par région à partir de 2017","Burkina Faso","Centre Médical","Nombre","2019","71"
"Infrastructures sanitaires par région à partir de 2017","Burkina Faso","Centre Médical","Nombre","2020","71"
"Infrastructures sanitaires par région à partir de 2017","Burkina Faso","Centre Médical","Nombre","2021","83"
"Infrastructures sanitaires par région à partir de 2017","Burkina Faso","Centre Médical","Nombre","2022","99"
"Infrastructures sanitaires par région à partir de 2017","Burkina Faso","Centre Médical","Nombre","2023","116"
"Infrastructures sanitaires par région à partir de 2017","Burkina Faso","Centre de Santé et de Promotion Sociale","Nombre","2017","1839"
"Infrastructures sanitaires par région à partir de 2017","Burkina Faso","Centre de Santé et de Promotion Sociale","Nombre","2018","1955"
"Infrastructures sanitaires par région à partir de 2017","Burkina Faso","Centre de Santé et de Promotion Sociale","Nombre","2019","1948"
"Infrastructures sanitaires par région à partir de 2017","Burkina Faso","Centre de Santé et de Promotion Sociale","Nombre","2020","2041"
"Infrastructures sanitaires par région à partir de 2017","Burkina Faso","Centre de Santé et de Promotion Sociale","Nombre","2021","2126"
"Infrastructures sanitaires par région à partir de 2017","Burkina Faso","Centre de Santé et de Promotion Sociale","Nombre","2022","2207"
"Infrastructures sanitaires par région à partir de 2017","Burkina Faso","Centre de Santé et de Promotion Sociale","Nombre","2023","2233"
"Infrastructures sanitaires par région à partir de 2017","Burkina Faso","Dispensaire","Nombre","2017","136"
"Infrastructures sanitaires par région à partir de 2017","Burkina Faso","Dispensaire","Nombre","2018","172"
"Infrastructures sanitaires par région à partir de 2017","Burkina Faso","Dispensaire","Nombre","2019","131"
"Infrastructures sanitaires par région à partir de 2017","Burkina Faso","Dispensaire","Nombre","2020","111"
"Infrastructures sanitaires par région à partir de 2017","Burkina Faso","Dispensaire","Nombre","2021","87"
"Infrastructures sanitaires par région à partir de 2017","Burkina Faso","Dispensaire","Nombre","2022","51"
"Infrastructures sanitaires par région à partir de 2017","Burkina Faso","Dispensaire","Nombre","2023","49"
"Infrastructures sanitaires par région à partir de 2017","Burkina Faso","Maternités isolées","Nombre","2017","8"
"Infrastructures sanitaires par région à partir de 2017","Burkina Faso","Maternités isolées","Nombre","2018","9"
"Infrastructures sanitaires par région à partir de 2017","Burkina Faso","Maternités isolées","Nombre","2019","10"
"Infrastructures sanitaires par région à partir de 2017","Burkina Faso","Maternités isolées","Nombre","2020","9"
"Infrastructures sanitaires par région à partir de 2017","Burkina Faso","Maternités isolées","Nombre","2021","8"
"Infrastructures sanitaires par région à partir de 2017","Burkina Faso","Maternités isolées","Nombre","2022","4"
"Infrastructures sanitaires par région à partir de 2017","Burkina Faso","Maternités isolées","Nombre","2023","4"
"Infrastructures sanitaires par région à partir de 2017","Burkina Faso","Formation Sanitaire Privée","Nombre","2017","519"
"Infrastructures sanitaires par région à partir de 2017","Burkina Faso","Formation Sanitaire Privée","Nombre","2020","641"
"Infrastructures sanitaires par région à partir de 2017","Burkina Faso","Formation Sanitaire Privée","Nombre","2021","738"
"Infrastructures sanitaires par région à partir de 2017","Burkina Faso","Formation Sanitaire Privée","Nombre","2022","860"
"Infrastructures sanitaires par région à partir de 2017","Burkina Faso","0fficines et Dépôts  privés","Nombre","2017","863"
"Infrastructures sanitaires par région à partir de 2017","Burkina Faso","0fficines et Dépôts  privés","Nombre","2018","629"
"Infrastructures sanitaires par région à partir de 2017","Burkina Faso","0fficines et Dépôts  privés","Nombre","2020","904"
"Infrastructures sanitaires par région à partir de 2017","Burkina Faso","0fficines et Dépôts  privés","Nombre","2021","908"
"Infrastructures sanitaires par région à partir de 2017","Burkina Faso","0fficines et Dépôts  privés","Nombre","2022","1123"
"Infrastructures sanitaires par région à partir de 2017","Burkina Faso","Infirmerie de garnison","Nombre","2017","19"
"Infrastructures sanitaires par région à partir de 2017","Burkina Faso","Infirmerie de garnison","Nombre","2020","2"
"Infrastructures sanitaires par région à partir de 2017","Burkina Faso","Infirmerie de garnison","Nombre","2021","18"
"Infrastructures sanitaires par région à partir de 2017","Burkina Faso","Infirmerie/SST","Nombre","2017","99"
"Infrastructures sanitaires par région à partir de 2017","Burkina Faso","Infirmerie/SST","Nombre","2020","175"
"Infrastructures sanitaires par région à partir de 2017","Burkina Faso","Infirmerie/SST","Nombre","2021","183"
"Infrastructures sanitaires par région à partir de 2017","Burkina Faso","Infirmerie/SST","Nombre","2022","234"
"Infrastructures sanitaires par région à partir de 2017","Burkina Faso","Infirmerie/SST","Nombre","2023","213"
"Infrastructures sanitaires par région à partir de 2017","Burkina Faso","Autres (CREN,…)","Nombre","2017","1"
"Infrastructures sanitaires par région à partir de 2017","Boucle du Mouhoun","Centre Hospitalier Universitaire","Nombre","2017","0"
"Infrastructures sanitaires par région à partir de 2017","Boucle du Mouhoun","Centre Hospitalier Universitaire","Nombre","2018","0"
"Infrastructures sanitaires par région à partir de 2017","Boucle du Mouhoun","Centre Hospitalier Universitaire","Nombre","2019","0"
"Infrastructures sanitaires par région à partir de 2017","Boucle du Mouhoun","Centre Hospitalier Universitaire","Nombre","2020","0"
"Infrastructures sanitaires par région à partir de 2017","Boucle du Mouhoun","Centre Hospitalier Universitaire","Nombre","2021","0"
"Infrastructures sanitaires par région à partir de 2017","Boucle du Mouhoun","Centre Hospitalier Universitaire","Nombre","2022","0"
"Infrastructures sanitaires par région à partir de 2017","Boucle du Mouhoun","Centre Hospitalier Universitaire","Nombre","2023","0"
"Infrastructures sanitaires par région à partir de 2017","Boucle du Mouhoun","Centre Hospitalier Régional","Nombre","2017","1"
"Infrastructures sanitaires par région à partir de 2017","Boucle du Mouhoun","Centre Hospitalier Régional","Nombre","2018","1"
"Infrastructures sanitaires par région à partir de 2017","Boucle du Mouhoun","Centre Hospitalier Régional","Nombre","2019","1"
"Infrastructures sanitaires par région à partir de 2017","Boucle du Mouhoun","Centre Hospitalier Régional","Nombre","2020","1"
"Infrastructures sanitaires par région à partir de 2017","Boucle du Mouhoun","Centre Hospitalier Régional","Nombre","2021","1"
"Infrastructures sanitaires par région à partir de 2017","Boucle du Mouhoun","Centre Hospitalier Régional","Nombre","2022","1"
"Infrastructures sanitaires par région à partir de 2017","Boucle du Mouhoun","Centre Hospitalier Régional","Nombre","2023","1"
"Infrastructures sanitaires par région à partir de 2017","Boucle du Mouhoun","Centre Médical avec Antenne chirurgicale","Nombre","2017","5"
"Infrastructures sanitaires par région à partir de 2017","Boucle du Mouhoun","Centre Médical avec Antenne chirurgicale","Nombre","2018","5"
"Infrastructures sanitaires par région à partir de 2017","Boucle du Mouhoun","Centre Médical avec Antenne chirurgicale","Nombre","2019","5"
"Infrastructures sanitaires par région à partir de 2017","Boucle du Mouhoun","Centre Médical avec Antenne chirurgicale","Nombre","2020","5"
"Infrastructures sanitaires par région à partir de 2017","Boucle du Mouhoun","Centre Médical avec Antenne chirurgicale","Nombre","2021","5"
"Infrastructures sanitaires par région à partir de 2017","Boucle du Mouhoun","Centre Médical avec Antenne chirurgicale","Nombre","2022","5"
"Infrastructures sanitaires par région à partir de 2017","Boucle du Mouhoun","Centre Médical avec Antenne chirurgicale","Nombre","2023","5"
"Infrastructures sanitaires par région à partir de 2017","Boucle du Mouhoun","Centre Médical","Nombre","2017","6"
"Infrastructures sanitaires par région à partir de 2017","Boucle du Mouhoun","Centre Médical","Nombre","2018","9"
"Infrastructures sanitaires par région à partir de 2017","Boucle du Mouhoun","Centre Médical","Nombre","2019","7"
"Infrastructures sanitaires par région à partir de 2017","Boucle du Mouhoun","Centre Médical","Nombre","2020","7"
"Infrastructures sanitaires par région à partir de 2017","Boucle du Mouhoun","Centre Médical","Nombre","2021","9"
