indicateur,tranche_age,Unit,Date,Value,annee,valeur
Création des entreprises enregistrées au CEFORE selon l’âge du promoteur,18 à 30 ans,Nombre,2010,649,2010,649
Création des entreprises enregistrées au CEFORE selon l’âge du promoteur,18 à 30 ans,Nombre,2012,1297,2012,1297
Création des entreprises enregistrées au CEFORE selon l’âge du promoteur,18 à 30 ans,Nombre,2013,1514,2013,1514
Création des entreprises enregistrées au CEFORE selon l’âge du promoteur,18 à 30 ans,Nombre,2014,1516,2014,1516
Création des entreprises enregistrées au CEFORE selon l’âge du promoteur,18 à 30 ans,Nombre,2015,1293,2015,1293
Création des entreprises enregistrées au CEFORE selon l’âge du promoteur,18 à 30 ans,Nombre,2016,2435,2016,2435
Création des entreprises enregistrées au CEFORE selon l’âge du promoteur,18 à 30 ans,Nombre,2017,2670,2017,2670
Création des entreprises enregistrées au CEFORE selon l’âge du promoteur,18 à 30 ans,Nombre,2018,4961,2018,4961
Création des entreprises enregistrées au CEFORE selon l’âge du promoteur,18 à 30 ans,Nombre,2019,5878,2019,5878
Création des entreprises enregistrées au CEFORE selon l’âge du promoteur,30 à 55 ans,Nombre,2010,3192,2010,3192
Création des entreprises enregistrées au CEFORE selon l’âge du promoteur,30 à 55 ans,Nombre,2012,3927,2012,3927
Création des entreprises enregistrées au CEFORE selon l’âge du promoteur,30 à 55 ans,Nombre,2013,4820,2013,4820
Création des entreprises enregistrées au CEFORE selon l’âge du promoteur,30 à 55 ans,Nombre,2014,5765,2014,5765
Création des entreprises enregistrées au CEFORE selon l’âge du promoteur,30 à 55 ans,Nombre,2015,5467,2015,5467
Création des entreprises enregistrées au CEFORE selon l’âge du promoteur,30 à 55 ans,Nombre,2016,7776,2016,7776
Création des entreprises enregistrées au CEFORE selon l’âge du promoteur,30 à 55 ans,Nombre,2017,9515,2017,9515
Création des entreprises enregistrées au CEFORE selon l’âge du promoteur,30 à 55 ans,Nombre,2018,6475,2018,6475
Création des entreprises enregistrées au CEFORE selon l’âge du promoteur,30 à 55 ans,Nombre,2019,6416,2019,6416
Création des entreprises enregistrées au CEFORE selon l’âge du promoteur,55 ans et plus,Nombre,2010,729,2010,729
Création des entreprises enregistrées au CEFORE selon l’âge du promoteur,55 ans et plus,Nombre,2011,912,2011,912
Création des entreprises enregistrées au CEFORE selon l’âge du promoteur,55 ans et plus,Nombre,2012,704,2012,704
Création des entreprises enregistrées au CEFORE selon l’âge du promoteur,55 ans et plus,Nombre,2013,846,2013,846
Création des entreprises enregistrées au CEFORE selon l’âge du promoteur,55 ans et plus,Nombre,2014,1280,2014,1280
Création des entreprises enregistrées au CEFORE selon l’âge du promoteur,55 ans et plus,Nombre,2015,804,2015,804
Création des entreprises enregistrées au CEFORE selon l’âge du promoteur,55 ans et plus,Nombre,2016,1450,2016,1450
Création des entreprises enregistrées au CEFORE selon l’âge du promoteur,55 ans et plus,Nombre,2017,424,2017,424
Création des entreprises enregistrées au CEFORE selon l’âge du promoteur,55 ans et plus,Nombre,2018,1075,2018,1075
Création des entreprises enregistrées au CEFORE selon l’âge du promoteur,55 ans et plus,Nombre,2019,843,2019,843
Création des entreprises enregistrées au CEFORE selon l’âge du promoteur,Ensemble,Nombre,2010,4570,2010,4570
Création des entreprises enregistrées au CEFORE selon l’âge du promoteur,Ensemble,Nombre,2011,4949,2011,4949
Création des entreprises enregistrées au CEFORE selon l’âge du promoteur,Ensemble,Nombre,2012,5928,2012,5928
Création des entreprises enregistrées au CEFORE selon l’âge du promoteur,Ensemble,Nombre,2013,7180,2013,7180
Création des entreprises enregistrées au CEFORE selon l’âge du promoteur,Ensemble,Nombre,2014,8561,2014,8561
Création des entreprises enregistrées au CEFORE selon l’âge du promoteur,Ensemble,Nombre,2015,7564,2015,7564
Création des entreprises enregistrées au CEFORE selon l’âge du promoteur,Ensemble,Nombre,2016,11661,2016,11661
Création des entreprises enregistrées au CEFORE selon l’âge du promoteur,Ensemble,Nombre,2017,12609,2017,12609
Création des entreprises enregistrées au CEFORE selon l’âge du promoteur,Ensemble,Nombre,2018,12511,2018,12511
Création des entreprises enregistrées au CEFORE selon l’âge du promoteur,Ensemble,Nombre,2019,13137,2019,13137
