province,prix_moyen,province_norm
BALÉ,287.05555555555554,BALÉ
BAM,296.25,BAM
BANWA,299.6923076923077,BANWA
BAZÈGA,353.54545454545456,BAZÈGA
BOUGOURIBA,380.5,BOUGOURIBA
BOULGOU,329.5,BOULGOU
BOULKIEMDÉ,405.6666666666667,BOULKIEMDÉ
COMOÉ,431.125,COMOÉ
GANZOURGOU,358.84615384615387,GANZOURGOU
GNAGNA,374.875,GNAGNA
GOURMA,383.2,GOURMA
HOUET,356.88,HOUET
IOBA,346.0,IOBA
KADIOGO,449.63157894736844,KADIOGO
KOMANDJARI,385.35714285714283,KOMANDJARI
KOMPIENGA,376.375,KOMPIENGA
KOSSI,344.95454545454544,KOSSI
KOULPÉLOGO,340.4,KOULPÉLOGO
KOURITTENGA,369.7894736842105,KOURITTENGA
KOURWÉOGO,323.0,KOURWÉOGO
KÉNÉDOUGOU,366.15384615384613,KÉNÉDOUGOU
LOROUM,377.42857142857144,LOROUM
LÉRABA,297.77777777777777,LÉRABA
MOUHOUN,454.8333333333333,MOUHOUN
NAHOURI,346.04347826086956,NAHOURI
NAMENTENGA,338.1666666666667,NAMENTENGA
NAYALA,271.57142857142856,NAYALA
NOUMBIEL,363.4,NOUMBIEL
OUBRITENGA,320.57142857142856,OUBRITENGA
OUDALAN,489.5,OUDALAN
PASSORÉ,324.375,PASSORÉ
PONI,406.3333333333333,PONI
SANGUIÉ,281.89473684210526,SANGUIÉ
SANMATENGA,349.9,SANMATENGA
SISSILI,296.1,SISSILI
SOUM,575.0909090909091,SOUM
SOUROU,371.6363636363636,SOUROU
SÉNO,384.61538461538464,SÉNO
TAPOA,322.63157894736844,TAPOA
TUY,243.3846153846154,TUY
YAGHA,630.875,YAGHA
YATENGA,352.1818181818182,YATENGA
ZIRO,231.33333333333334,ZIRO
ZONDOMA,289.3636363636364,ZONDOMA
ZOUNDWÉOGO,372.22222222222223,ZOUNDWÉOGO
