date_choc,choc_year,choc_month,choc_day,incident,alerte_id,localisation_du_premier_d_placement,zone_d_origine,besoins_prioritaires,s_v_rit,type_de_choc,d_placement,date_d_arriv_e,r_gion_d_accueil,commune_d_accueil,villages_d_accueil,pdi_m_nage,pdi_personne,hommes,femmes,gar_ons,filles,source_onglet,source_fichier,domaine,annee
2025-04-25,2025,4,25,I-59750,667_250425_KOSNOU_1,Boucle du Mouhoun_Kossi_Nouna,Boucle du Mouhoun_Kossi_Barani,"Vivres, Abris, NFI",Medium,Security Incident,D-2827,2025-05-04,Boucle du Mouhoun,Nouna,Nouna,100,1700,299.0,406.0,398.0,597.0,Incident Data,pdi-gcorr-burkinafaso-may2025.xlsx,pdi,2025
2025-04-30,2025,4,30,I-57106,666_250430_GOUDIA,Est_Gourma_Diabo,Est_Gourma_Diabo,"Selon les informations émanant de l'action sociale, les besoins immédiats exprimés par les ménages nouvellement déplacés sont les vivres, la protection des enfants et leurs éducations, les kits NFI (AME/hygiène/abris), ainsi que les soins de santé._x000D_ Une rencontre d'urgence avec les services techniques déconcentrés de l'Etat a été initiée par Monsieur le Président du CODESUR, afin d'échanger sur la situation humanitaire de la localité et de mieux coordonner les eventuelles interventions de acteurs humanitaires présents dans la zone.",Medium,Security Incident,D-2826,2025-05-01,Est,Diabo,Diabo,728,5100,1100.0,1200.0,1352.0,1448.0,Incident Data,pdi-gcorr-burkinafaso-may2025.xlsx,pdi,2025
2025-04-12,2025,4,12,I-35880,665_250412_YATTAN,Nord_Yatenga_Tangaye,Nord_Yatenga_Tangaye,"Relogement de certaines personnes déplacées dans les salles de classes du C.E.G de Namsiguia (fermé) et des familles hôtes. Mais compte tenu de la difficile cohabitation au sein du C.E.G avec les FDS, il serait judicieux que les populations civiles soient relogées sur un autre site. A la date du 25 avril 2025, aucune assistance n'a été apportée aux ménages déplacés. _x000D_ Les besoins prioritaires exprimés par les populations affectées sont entre autres: des vivres, des abris, kits AME et d'hygiène.",Medium,Security Incident,D-2821,2025-04-26,Nord,Tangaye,Namsiguia,466,3262,600.0,705.0,971.0,986.0,Incident Data,pdi-gcorr-burkinafaso-may2025.xlsx,pdi,2025
2025-04-14,2025,4,14,I-22639,664_250414_KOSSÔN,Boucle du Mouhoun_Kossi_Sônô,Boucle du Mouhoun_Kossi_Sônô,"Alimentaire, Abris, NFI",Medium,Security Incident,D-2814,2025-04-18,Boucle du Mouhoun,Sônô,Sônô,428,3000,576.0,624.0,936.0,864.0,Incident Data,pdi-gcorr-burkinafaso-may2025.xlsx,pdi,2025
2025-04-03,2025,4,3,I-22626,663_250403_YATOUA-1,Nord_Yatenga_Ouahigouya,Nord_Loroum_Bahn,"A la date du 05 mai 2025, les besoins primaires identifiés sont essentiellement les vivres, les abris , les kits AME, les kits d'hygiène, l'appui psychosocial et la santé.",Low,Security Incident,D-2813,2025-04-21,Nord,Ouahigouya,"Ouahigouya Secteur 6,8,9,10,11,12",497,3400,618.0,739.0,1010.0,1033.0,Incident Data,pdi-gcorr-burkinafaso-may2025.xlsx,pdi,2025
2025-04-13,2025,4,13,I-14741,662_250413_OUDGOR_1,Sahel_Oudalan_Gorom-Gorom,Sahel_Oudalan_Gorom-Gorom,"Les besoins immédiats exprimés par les ménages sont: Protection, Abris/AME, Assistance alimentaire, soins de santé, kits de dignité et kits d'hygiène, vêtements et appui psychosocial.",Medium,Security Incident,D-2812,2025-04-18,Sahel,Gorom-Gorom,"Allialkoum, Deibere, Touro",776,5012,958.0,1046.0,1440.0,1568.0,Incident Data,pdi-gcorr-burkinafaso-may2025.xlsx,pdi,2025
2025-04-02,2025,4,2,I-8083,661_250402_SOUDI-1,Boucle du Mouhoun_Sourou_Di,Boucle du Mouhoun_Sourou_Lanfièra,"Alimentaire, Abris, Soins de santé",High,Security Incident,D-1496,2025-04-09,Boucle du Mouhoun,Di,Di,1128,8854,1505.0,2037.0,2762.0,2550.0,Incident Data,pdi-gcorr-burkinafaso-may2025.xlsx,pdi,2025
2025-03-18,2025,3,18,I-8029,660_250318_YATOUA-1,Nord_Yatenga_Ouahigouya,Nord_Yatenga_Thiou,"A la date du 8 avril 2025, aucune assistance n'aurait été apportée aux ménages déplacés. Les besoins immédiats exprimés sont les vivres, Abris/AME, Santé, PSS",Low,Security Incident,D-1494,2025-04-09,Nord,Ouahigouya,Ouahigouya Secteur-1,144,912,115.0,195.0,291.0,311.0,Incident Data,pdi-gcorr-burkinafaso-may2025.xlsx,pdi,2025
2025-04-06,2025,4,6,I-7979,659_250406_SOUTOU-2,Boucle du Mouhoun_Sourou_Tougan,Boucle du Mouhoun_Sourou_Kassoum,"Alimentaire, abris, Soins de santé",Medium,Security Incident,D-1493,2025-04-08,Boucle du Mouhoun,Tougan,Tougan,1597,10290,1657.0,2322.0,3282.0,3029.0,Incident Data,pdi-gcorr-burkinafaso-may2025.xlsx,pdi,2025
2025-03-19,2025,3,19,I-6990,658_250319_BANTAN,Boucle du Mouhoun_Banwa_Tansila,Boucle du Mouhoun_Banwa_Tansila,"Alimentaires, Abris, NFI",Medium,Security Incident,D-1488,2025-04-03,Boucle du Mouhoun,Tansila,Tansila,250,1600,240.0,293.0,555.0,512.0,Incident Data,pdi-gcorr-burkinafaso-may2025.xlsx,pdi,2025
2025-04-02,2025,4,2,I-6989,657_250402_MOUDÉD_8,Boucle du Mouhoun_Mouhoun_Dédougou,Boucle du Mouhoun_Sourou_Tougan,"Alimentaire, Abris, Wash, santé, nutrition, AME, Protection et Education",High,Security Incident,D-1487,2025-04-03,Boucle du Mouhoun,Dédougou,Dédougou,3226,20723,3179.0,4675.0,6713.0,6197.0,Incident Data,pdi-gcorr-burkinafaso-may2025.xlsx,pdi,2025
