commune_norm,nb_pdi,nb_incidents
Bagassi,759,I-71
Balavé,2350,I-97I-61
Bani,4318,I-118
Bané,1539,I-1381
Bilanga,6396,I-90I-41I-41
Bissiga,1300,I-6490I-1379
Bogandé,37994,I-107I-102I-92
Bomborokui,4933,I-47
Boromo,139,I-56
Boussouma,4859,I-64
Dargo,2556,I-6489
Di,8854,I-8083
Diabo,5100,I-57106
Diapaga,1371,I-65I-40
Diapangou,4500,I-6943
Djibasso,10174,I-6948I-1358I-119I-51I-49
Dori,21658,I-1386I-1382I-1375I-114I-110I-72I-67I-55I-48
Doumbala,4739,I-51
Douroula,2302,I-115
Dourtenga,1830,I-6496
Dédougou,26507,I-6989I-116I-87
Fada-Ngourma,6560,I-101I-52I-34
Gayéri,4915,I-60I-59I-58I-57I-54
Gorom-Gorom,44327,I-14741I-6963I-6960I-6946I-6497I-6493I-1382I-1373I-1369I-1359I-106I-74
Kantchari,5235,I-6947
Kaya,24678,I-6983I-6983I-6983I-6983I-6491I-6491I-6491I-91I-64
Komin-Yanga,2096,I-1379I-43
Kongoussi,440,I-82
Korsimoro,183,I-64
Kouka,1555,I-1363I-46
Koundougou,1434,I-73
Kôlôkô,1531,I-120
Mangodara,777,I-89
Mani,28903,I-1361I-33
Mané,958,I-64
Matiakoali,2393,I-40
Morlaba,6098,I-1384
Nouna,23907,I-59750I-1370I-109I-104I-100I-99I-98I-93I-86I-85I-69I-50
Ouahigouya,49206,I-22626I-8029I-6940I-108I-94I-83I-70
Ouargaye,1069,I-6496
Pibaoré,2046,I-6495
Pissila,3955,I-91
Piéla,44511,I-1374I-1364I-103I-68I-42I-35
Poura,228,I-37
Rambo,2304,I-66
Sanaba,1640,I-6945I-96
Sangha,8823,I-117I-63
Senguènèga,3415,I-53
Solenzo,6960,I-6492I-1371I-1365I-97I-95I-95I-61I-46
Soudougui,8504,I-1385I-32
Sônô,6000,I-22639I-93
Tangaye,3262,I-35880
Tansila,7284,I-6990I-6939I-6541I-45
Tibga,8161,I-6944I-44
Tikaré,536,I-66
Toma,7575,I-6942I-105
Tougan,11924,I-7979I-6938
Tougouri,616,I-1360
Yaba,2027,I-6942
Yalgo,3943,I-1367I-1360I-1360
Yé,12809,I-115I-62I-62
Zogoré,2366,I-108
