tranche_d_age,sexe,valeur
0 - 4,Ensemble,3319064.0
0 - 4,Femme,1653059.0
0 - 4,Homme,1666005.0
10-14,Ensemble,2687405.0
10-14,Femme,1328748.0
10-14,Homme,1358657.0
15 - 19,Ensemble,2148646.0
15 - 19,Femme,1135139.0
15 - 19,Homme,1013507.0
20 - 24,Ensemble,1717424.0
20 - 24,Femme,948549.0
20 - 24,Homme,768875.0
25 - 29,Ensemble,1499868.0
25 - 29,Femme,832648.0
25 - 29,Homme,667220.0
30 - 34,Ensemble,1322258.0
30 - 34,Femme,708364.0
30 - 34,Homme,613894.0
35 - 39,Ensemble,1074177.0
35 - 39,Femme,565008.0
35 - 39,Homme,509169.0
40 - 44,Ensemble,841502.0
40 - 44,Femme,434405.0
40 - 44,Homme,407097.0
45 - 49,Ensemble,632569.0
45 - 49,Femme,325840.0
45 - 49,Homme,306729.0
5 - 9,Ensemble,3279794.0
5 - 9,Femme,1629617.0
5 - 9,Homme,1650177.0
50 - 54,Ensemble,542047.0
50 - 54,Femme,283246.0
50 - 54,Homme,258801.0
55 - 59,Ensemble,408417.0
55 - 59,Femme,213018.0
55 - 59,Homme,195399.0
60 - 64,Ensemble,344309.0
60 - 64,Femme,180631.0
60 - 64,Homme,163678.0
65 - 69,Ensemble,231275.0
65 - 69,Femme,117424.0
65 - 69,Homme,113851.0
70 - 74,Ensemble,196255.0
70 - 74,Femme,103898.0
70 - 74,Homme,92357.0
75 - 79,Ensemble,107642.0
75 - 79,Femme,56119.0
75 - 79,Homme,51523.0
80 ou +,Ensemble,152503.0
80 ou +,Femme,88595.0
80 ou +,Homme,63908.0
Total,Ensemble,20505155.0
Total,Femme,10604308.0
Total,Homme,9900847.0
