annee,theme,indicateur,rubrique,region,unite,valeur
1994,economie,Evolution des indices de pauvreté,Seuil de pauvreté,,FCFA,41099.0
1998,economie,Evolution des indices de pauvreté,Seuil de pauvreté,,FCFA,72690.0
2003,economie,Evolution des indices de pauvreté,Seuil de pauvreté,,FCFA,82672.0
2009,economie,Evolution des indices de pauvreté,Seuil de pauvreté,,FCFA,130735.0
2014,economie,Evolution des indices de pauvreté,Seuil de pauvreté,,FCFA,153530.0
2018,economie,Evolution des indices de pauvreté,Seuil de pauvreté,,FCFA,164955.0
2021,economie,Evolution des indices de pauvreté,Seuil de pauvreté,,FCFA,247806.0
1994,economie,Evolution des indices de pauvreté,Incidence P0,,%,44.5
1998,economie,Evolution des indices de pauvreté,Incidence P0,,%,45.3
2003,economie,Evolution des indices de pauvreté,Incidence P0,,%,46.4
2009,economie,Evolution des indices de pauvreté,Incidence P0,,%,46.7
2014,economie,Evolution des indices de pauvreté,Incidence P0,,%,40.1
2018,economie,Evolution des indices de pauvreté,Incidence P0,,%,36.2
2021,economie,Evolution des indices de pauvreté,Incidence P0,,%,43.2
1994,economie,Evolution des indices de pauvreté,Profondeur P1,,%,13.9
1998,economie,Evolution des indices de pauvreté,Profondeur P1,,%,13.7
2003,economie,Evolution des indices de pauvreté,Profondeur P1,,%,15.6
2009,economie,Evolution des indices de pauvreté,Profondeur P1,,%,15.1
2014,economie,Evolution des indices de pauvreté,Profondeur P1,,%,9.7
2018,economie,Evolution des indices de pauvreté,Profondeur P1,,%,12.3
2021,economie,Evolution des indices de pauvreté,Profondeur P1,,%,13.0
1994,economie,Evolution des indices de pauvreté,Sévérité P2,,%,6.0
1998,economie,Evolution des indices de pauvreté,Sévérité P2,,%,5.9
2003,economie,Evolution des indices de pauvreté,Sévérité P2,,%,7.1
2009,economie,Evolution des indices de pauvreté,Sévérité P2,,%,6.7
2014,economie,Evolution des indices de pauvreté,Sévérité P2,,%,3.3
2018,economie,Evolution des indices de pauvreté,Sévérité P2,,%,5.0
2021,economie,Evolution des indices de pauvreté,Sévérité P2,,%,5.4
2003,economie,Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté,Incidence de pauvreté (AA_PO),,%,19.9
2003,economie,Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté,Incidence de pauvreté (AA_PO),,%,52.3
2003,economie,Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté,Incidence de pauvreté (AA_PO),,%,46.4
2003,economie,Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté,Incidence de pauvreté (AA_CTR),,%,7.8
2003,economie,Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté,Incidence de pauvreté (AA_CTR),,%,92.2
2003,economie,Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté,Incidence de pauvreté (AA_CTR),,%,100.0
2003,economie,Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté,Profondeur de pauvreté (AA_P1),,%,5.5
2003,economie,Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté,Profondeur de pauvreté (AA_P1),,%,17.9
2003,economie,Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté,Profondeur de pauvreté (AA_P1),,%,15.6
2003,economie,Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté,Profondeur de pauvreté (AA_CTR),,%,6.4
2003,economie,Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté,Profondeur de pauvreté (AA_CTR),,%,93.6
2003,economie,Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté,Profondeur de pauvreté (AA_CTR),,%,100.0
2003,economie,Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté,Sévérité de pauvreté (AA_P2),,%,2.2
2003,economie,Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté,Sévérité de pauvreté (AA_P2),,%,8.2
2003,economie,Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté,Sévérité de pauvreté (AA_P2),,%,7.1
2003,economie,Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté,Sévérité de pauvreté (AA_CTR),,%,5.6
2003,economie,Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté,Sévérité de pauvreté (AA_CTR),,%,94.4
2003,economie,Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté,Sévérité de pauvreté (AA_CTR),,%,100.0
2003,economie,Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté,Incidence de pauvreté (NA_PO),,%,21.7
2009,economie,Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté,Incidence de pauvreté (NA_PO),,%,25.2
2014,economie,Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté,Incidence de pauvreté (NA_PO),,%,47.5
2018,economie,Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté,Incidence de pauvreté (NA_PO),,%,44.6
2003,economie,Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté,Incidence de pauvreté (NA_PO),,%,54.6
2009,economie,Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté,Incidence de pauvreté (NA_PO),,%,52.8
2014,economie,Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté,Incidence de pauvreté (NA_PO),,%,13.7
2018,economie,Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté,Incidence de pauvreté (NA_PO),,%,10.0
2003,economie,Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté,Incidence de pauvreté (NA_PO),,%,48.6
2009,economie,Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté,Incidence de pauvreté (NA_PO),,%,46.7
2014,economie,Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté,Incidence de pauvreté (NA_PO),,%,40.1
2018,economie,Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté,Incidence de pauvreté (NA_PO),,%,36.2
2003,economie,Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté,Incidence de pauvreté (NA_CTR),,%,8.1
2009,economie,Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté,Incidence de pauvreté (NA_CTR),,%,12.0
2014,economie,Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté,Incidence de pauvreté (NA_CTR),,%,92.5
2018,economie,Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté,Incidence de pauvreté (NA_CTR),,%,93.3
2003,economie,Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté,Incidence de pauvreté (NA_CTR),,%,91.9
2009,economie,Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté,Incidence de pauvreté (NA_CTR),,%,88.0
2014,economie,Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté,Incidence de pauvreté (NA_CTR),,%,7.5
2018,economie,Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté,Incidence de pauvreté (NA_CTR),,%,6.7
2003,economie,Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté,Incidence de pauvreté (NA_CTR),,%,100.0
2009,economie,Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté,Incidence de pauvreté (NA_CTR),,%,100.0
2014,economie,Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté,Incidence de pauvreté (NA_CTR),,%,100.0
2018,economie,Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté,Incidence de pauvreté (NA_CTR),,%,100.0
2003,economie,Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté,Profondeur de pauvreté (NA_P1),,%,6.0
2009,economie,Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté,Profondeur de pauvreté (NA_P1),,%,6.8
2014,economie,Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté,Profondeur de pauvreté (NA_P1),,%,11.6
2018,economie,Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté,Profondeur de pauvreté (NA_P1),,%,11.2
2003,economie,Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté,Profondeur de pauvreté (NA_P1),,%,19.3
2009,economie,Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté,Profondeur de pauvreté (NA_P1),,%,17.5
2014,economie,Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté,Profondeur de pauvreté (NA_P1),,%,2.9
2018,economie,Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté,Profondeur de pauvreté (NA_P1),,%,2.2
2003,economie,Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté,Profondeur de pauvreté (NA_P1),,%,16.9
