domaine,sous_domaine,fichier_source,indicateur,categorie_1,categorie_2,unite,annee,valeur,pays,region,milieu,sexe
Sante,Epidemiologie,cas de deces epidemies.csv,Evolution des cas et des décès des maladies épidémiques,Cas de méningite,,Nombre,2024,1984.0,Burkina Faso,,,
Sante,Epidemiologie,cas de deces epidemies.csv,Evolution des cas et des décès des maladies épidémiques,Décès de méningite,,Nombre,2024,64.0,Burkina Faso,,,
Sante,Epidemiologie,cas de deces epidemies.csv,Evolution des cas et des décès des maladies épidémiques,Cas de choléra,,Nombre,2024,0.0,Burkina Faso,,,
Sante,Epidemiologie,cas de deces epidemies.csv,Evolution des cas et des décès des maladies épidémiques,Décès de choléra,,Nombre,2024,0.0,Burkina Faso,,,
Sante,Epidemiologie,cas de deces epidemies.csv,Evolution des cas et des décès des maladies épidémiques,Cas de dengue,,Nombre,2024,83869.0,Burkina Faso,,,
Sante,Epidemiologie,cas de deces epidemies.csv,Evolution des cas et des décès des maladies épidémiques,Décès de dengue,,Nombre,2024,99.0,Burkina Faso,,,
Sante,Epidemiologie,cas de deces epidemies.csv,Evolution des cas et des décès des maladies épidémiques,Cas de diarrhée sanguinolente,,Nombre,2024,393.0,Burkina Faso,,,
Sante,Epidemiologie,cas de deces epidemies.csv,Evolution des cas et des décès des maladies épidémiques,Décès de diarrhée sanguinolente,,Nombre,2024,1.0,Burkina Faso,,,
Sante,Epidemiologie,cas de deces epidemies.csv,Evolution des cas et des décès des maladies épidémiques,Cas d'ictère fébrile,,Nombre,2024,1602.0,Burkina Faso,,,
Sante,Epidemiologie,cas de deces epidemies.csv,Evolution des cas et des décès des maladies épidémiques,Décès d'ictère fébrile,,Nombre,2024,8.0,Burkina Faso,,,
Sante,Epidemiologie,cas de deces epidemies.csv,Evolution des cas et des décès des maladies épidémiques,PFA,,Nombre,2024,1314.0,Burkina Faso,,,
Sante,Epidemiologie,cas de deces epidemies.csv,Evolution des cas et des décès des maladies épidémiques,PFA,,Nombre,2024,2.0,Burkina Faso,,,
Sante,Epidemiologie,cas de deces epidemies.csv,Evolution des cas et des décès des maladies épidémiques,Cas de rougeole,,Nombre,2024,10776.0,Burkina Faso,,,
Sante,Epidemiologie,cas de deces epidemies.csv,Evolution des cas et des décès des maladies épidémiques,Décès de rougeole,,Nombre,2024,46.0,Burkina Faso,,,
Sante,Epidemiologie,cas de deces epidemies.csv,Evolution des cas et des décès des maladies épidémiques,Cas de TNN,,Nombre,2024,7.0,Burkina Faso,,,
Sante,Epidemiologie,cas de deces epidemies.csv,Evolution des cas et des décès des maladies épidémiques,Décès de TNN,,Nombre,2024,3.0,Burkina Faso,,,
