province,nb_evenements,nb_deces,province_norm
Bale,28,37,Bale
Bam,586,1493,Bam
Banwa,186,1073,Banwa
Bazega,20,4,Bazega
Bougouriba,40,53,Bougouriba
Boulgou,313,783,Boulgou
Boulkiemde,81,14,Boulkiemde
Comoe,457,934,Comoe
Ganzourgou,27,7,Ganzourgou
Gnagna,346,1101,Gnagna
Gourma,1041,2835,Gourma
Houet,290,459,Houet
Ioba,14,20,Ioba
Kadiogo,747,272,Kadiogo
Kenedougou,77,237,Kenedougou
Komandjari,314,1278,Komandjari
Kompienga,393,1314,Kompienga
Kossi,615,2126,Kossi
Koulpelogo,588,1863,Koulpelogo
Kourittenga,33,10,Kourittenga
Kourweogo,13,0,Kourweogo
Leraba,20,9,Leraba
Loroum,465,1414,Loroum
Mouhoun,199,685,Mouhoun
Nahouri,48,63,Nahouri
Namentenga,401,1662,Namentenga
Nayala,146,396,Nayala
Noumbiel,23,10,Noumbiel
Oubritenga,14,4,Oubritenga
Oudalan,1001,3233,Oudalan
Passore,72,94,Passore
Poni,207,387,Poni
Sanguie,78,159,Sanguie
Sanmatenga,916,3136,Sanmatenga
Seno,855,2716,Seno
Sissili,37,75,Sissili
Soum,1481,5675,Soum
Sourou,403,1214,Sourou
Tapoa,725,1772,Tapoa
Tuy,141,214,Tuy
Yagha,503,2346,Yagha
Yatenga,807,2920,Yatenga
Ziro,21,26,Ziro
Zondoma,111,189,Zondoma
Zoundweogo,35,27,Zoundweogo
